year,total,stock,capture,taxa,E1
1951,123300,Argyrosomus regius,200,Argyrosomus regius,302913040.3
1951,123300,Boops boops,8700,Boops boops,302913040.3
1951,123300,Dentex dentex,100,Dentex dentex,302913040.3
1951,123300,Diplodus spp,1000,Diplodus spp,302913040.3
1951,123300,Epinephelus spp,1200,Epinephelus spp,302913040.3
1951,123300,Gobiidae,21100,Gobiidae,302913040.3
1951,123300,Mugilidae,10600,Mugilidae,302913040.3
1951,123300,Mullus spp,10100,Mullus spp,302913040.3
1951,123300,Pagellus acarne,500,Pagellus acarne,302913040.3
1951,123300,Pagellus spp,1700,Pagellus spp,302913040.3
1951,123300,Pagrus pagrus,200,Pagrus pagrus,302913040.3
1951,123300,Pagrus spp,500,Pagrus spp,302913040.3
1951,123300,Sparidae,1000,Sparidae,302913040.3
1951,123300,Conger conger,600,Conger conger,302913040.3
1951,123300,Lophius spp,300,Lophius spp,302913040.3
1951,123300,Scorpaenidae,300,Scorpaenidae,302913040.3
1952,135700,Argyrosomus regius,300,Argyrosomus regius,233831681.9
1952,135700,Boops boops,8300,Boops boops,233831681.9
1952,135700,Dentex dentex,200,Dentex dentex,233831681.9
1952,135700,Dentex macrophthalmus,100,Dentex macrophthalmus,233831681.9
1952,135700,Dicentrarchus spp,0,Dicentrarchus spp,233831681.9
1952,135700,Diplodus spp,1000,Diplodus spp,233831681.9
1952,135700,Epinephelus spp,1200,Epinephelus spp,233831681.9
1952,135700,Gobiidae,20000,Gobiidae,233831681.9
1952,135700,Mugilidae,9100,Mugilidae,233831681.9
1952,135700,Mullus spp,10600,Mullus spp,233831681.9
1952,135700,Pagellus acarne,900,Pagellus acarne,233831681.9
1952,135700,Pagellus spp,1400,Pagellus spp,233831681.9
1952,135700,Pagrus pagrus,300,Pagrus pagrus,233831681.9
1952,135700,Pagrus spp,500,Pagrus spp,233831681.9
1952,135700,Sarpa salpa,0,Sarpa salpa,233831681.9
1952,135700,Sparidae,1900,Sparidae,233831681.9
1952,135700,Conger conger,700,Conger conger,233831681.9
1952,135700,Lophius spp,300,Lophius spp,233831681.9
1952,135700,Scorpaenidae,300,Scorpaenidae,233831681.9
1953,132700,Argyrosomus regius,300,Argyrosomus regius,315117673.3
1953,132700,Boops boops,10100,Boops boops,315117673.3
1953,132700,Dentex dentex,200,Dentex dentex,315117673.3
1953,132700,Dentex macrophthalmus,300,Dentex macrophthalmus,315117673.3
1953,132700,Dicentrarchus spp,0,Dicentrarchus spp,315117673.3
1953,132700,Diplodus spp,800,Diplodus spp,315117673.3
1953,132700,Epinephelus spp,1600,Epinephelus spp,315117673.3
1953,132700,Gobiidae,14100,Gobiidae,315117673.3
1953,132700,Mugilidae,10800,Mugilidae,315117673.3
1953,132700,Mullus spp,11600,Mullus spp,315117673.3
1953,132700,Pagellus acarne,700,Pagellus acarne,315117673.3
1953,132700,Pagellus spp,1400,Pagellus spp,315117673.3
1953,132700,Pagrus pagrus,300,Pagrus pagrus,315117673.3
1953,132700,Pagrus spp,1000,Pagrus spp,315117673.3
1953,132700,Sarpa salpa,0,Sarpa salpa,315117673.3
1953,132700,Sparidae,0,Sparidae,315117673.3
1953,132700,Conger conger,700,Conger conger,315117673.3
1953,132700,Lophius spp,200,Lophius spp,315117673.3
1953,132700,Scorpaenidae,400,Scorpaenidae,315117673.3
1954,141800,Argyrosomus regius,300,Argyrosomus regius,349642573.2
1954,141800,Boops boops,11600,Boops boops,349642573.2
1954,141800,Dentex dentex,200,Dentex dentex,349642573.2
1954,141800,Dentex macrophthalmus,300,Dentex macrophthalmus,349642573.2
1954,141800,Dicentrarchus spp,0,Dicentrarchus spp,349642573.2
1954,141800,Diplodus spp,800,Diplodus spp,349642573.2
1954,141800,Epinephelus spp,1200,Epinephelus spp,349642573.2
1954,141800,Gobiidae,23100,Gobiidae,349642573.2
1954,141800,Mugilidae,10500,Mugilidae,349642573.2
1954,141800,Mullus spp,9500,Mullus spp,349642573.2
1954,141800,Pagellus acarne,700,Pagellus acarne,349642573.2
1954,141800,Pagellus spp,1300,Pagellus spp,349642573.2
1954,141800,Pagrus pagrus,300,Pagrus pagrus,349642573.2
1954,141800,Pagrus spp,1000,Pagrus spp,349642573.2
1954,141800,Sarpa salpa,0,Sarpa salpa,349642573.2
1954,141800,Sparidae,300,Sparidae,349642573.2
1954,141800,Conger conger,400,Conger conger,349642573.2
1954,141800,Lophius spp,300,Lophius spp,349642573.2
1954,141800,Scorpaenidae,400,Scorpaenidae,349642573.2
1955,177100,Argyrosomus regius,300,Argyrosomus regius,466607713.3
1955,177100,Boops boops,13200,Boops boops,466607713.3
1955,177100,Dentex dentex,200,Dentex dentex,466607713.3
1955,177100,Dentex macrophthalmus,300,Dentex macrophthalmus,466607713.3
1955,177100,Dicentrarchus spp,0,Dicentrarchus spp,466607713.3
1955,177100,Diplodus spp,800,Diplodus spp,466607713.3
1955,177100,Epinephelus spp,1200,Epinephelus spp,466607713.3
1955,177100,Gobiidae,43800,Gobiidae,466607713.3
1955,177100,Mugilidae,10000,Mugilidae,466607713.3
1955,177100,Mullus spp,12500,Mullus spp,466607713.3
1955,177100,Pagellus acarne,700,Pagellus acarne,466607713.3
1955,177100,Pagellus spp,1400,Pagellus spp,466607713.3
1955,177100,Pagrus pagrus,300,Pagrus pagrus,466607713.3
1955,177100,Pagrus spp,1000,Pagrus spp,466607713.3
1955,177100,Sarpa salpa,100,Sarpa salpa,466607713.3
1955,177100,Sparidae,300,Sparidae,466607713.3
1955,177100,Conger conger,300,Conger conger,466607713.3
1955,177100,Lophius spp,300,Lophius spp,466607713.3
1955,177100,Scorpaenidae,300,Scorpaenidae,466607713.3
1956,215200,Argyrosomus regius,200,Argyrosomus regius,388051099
1956,215200,Boops boops,14000,Boops boops,388051099
1956,215200,Dentex dentex,200,Dentex dentex,388051099
1956,215200,Dentex macrophthalmus,400,Dentex macrophthalmus,388051099
1956,215200,Dicentrarchus spp,0,Dicentrarchus spp,388051099
1956,215200,Diplodus spp,800,Diplodus spp,388051099
1956,215200,Epinephelus spp,1200,Epinephelus spp,388051099
1956,215200,Gobiidae,55600,Gobiidae,388051099
1956,215200,Mugilidae,10300,Mugilidae,388051099
1956,215200,Mullus spp,12100,Mullus spp,388051099
1956,215200,Pagellus acarne,800,Pagellus acarne,388051099
1956,215200,Pagellus spp,1300,Pagellus spp,388051099
1956,215200,Pagrus pagrus,200,Pagrus pagrus,388051099
1956,215200,Pagrus spp,1000,Pagrus spp,388051099
1956,215200,Sarpa salpa,0,Sarpa salpa,388051099
1956,215200,Sparidae,400,Sparidae,388051099
1956,215200,Conger conger,500,Conger conger,388051099
1956,215200,Lophius spp,300,Lophius spp,388051099
1956,215200,Scorpaenidae,400,Scorpaenidae,388051099
1957,248700,Argyrosomus regius,200,Argyrosomus regius,390261557
1957,248700,Boops boops,14200,Boops boops,390261557
1957,248700,Dentex dentex,200,Dentex dentex,390261557
1957,248700,Dentex macrophthalmus,300,Dentex macrophthalmus,390261557
1957,248700,Dicentrarchus spp,0,Dicentrarchus spp,390261557
1957,248700,Diplodus spp,1000,Diplodus spp,390261557
1957,248700,Epinephelus spp,1500,Epinephelus spp,390261557
1957,248700,Gobiidae,75500,Gobiidae,390261557
1957,248700,Mugilidae,10600,Mugilidae,390261557
1957,248700,Mullus spp,12800,Mullus spp,390261557
1957,248700,Pagellus acarne,700,Pagellus acarne,390261557
1957,248700,Pagellus spp,1200,Pagellus spp,390261557
1957,248700,Pagrus pagrus,200,Pagrus pagrus,390261557
1957,248700,Pagrus spp,900,Pagrus spp,390261557
1957,248700,Sarpa salpa,100,Sarpa salpa,390261557
1957,248700,Sparidae,300,Sparidae,390261557
1957,248700,Conger conger,1100,Conger conger,390261557
1957,248700,Lophius spp,300,Lophius spp,390261557
1957,248700,Scorpaenidae,300,Scorpaenidae,390261557
1958,305000,Argyrosomus regius,300,Argyrosomus regius,344359116.2
1958,305000,Boops boops,14400,Boops boops,344359116.2
1958,305000,Dentex dentex,600,Dentex dentex,344359116.2
1958,305000,Dentex macrophthalmus,400,Dentex macrophthalmus,344359116.2
1958,305000,Dicentrarchus spp,400,Dicentrarchus spp,344359116.2
1958,305000,Diplodus spp,1000,Diplodus spp,344359116.2
1958,305000,Epinephelus spp,1500,Epinephelus spp,344359116.2
1958,305000,Gobiidae,97100,Gobiidae,344359116.2
1958,305000,Mugilidae,9800,Mugilidae,344359116.2
1958,305000,Mullus spp,16100,Mullus spp,344359116.2
1958,305000,Pagellus acarne,900,Pagellus acarne,344359116.2
1958,305000,Pagellus spp,1300,Pagellus spp,344359116.2
1958,305000,Pagrus pagrus,700,Pagrus pagrus,344359116.2
1958,305000,Pagrus spp,600,Pagrus spp,344359116.2
1958,305000,Sarpa salpa,0,Sarpa salpa,344359116.2
1958,305000,Sparidae,200,Sparidae,344359116.2
1958,305000,Conger conger,1200,Conger conger,344359116.2
1958,305000,Lophius spp,300,Lophius spp,344359116.2
1958,305000,Scorpaenidae,600,Scorpaenidae,344359116.2
1959,324500,Argyrosomus regius,300,Argyrosomus regius,345392336.9
1959,324500,Boops boops,16000,Boops boops,345392336.9
1959,324500,Dentex dentex,800,Dentex dentex,345392336.9
1959,324500,Dentex macrophthalmus,600,Dentex macrophthalmus,345392336.9
1959,324500,Dicentrarchus spp,500,Dicentrarchus spp,345392336.9
1959,324500,Diplodus spp,1000,Diplodus spp,345392336.9
1959,324500,Epinephelus spp,1500,Epinephelus spp,345392336.9
1959,324500,Gobiidae,80500,Gobiidae,345392336.9
1959,324500,Mugilidae,9300,Mugilidae,345392336.9
1959,324500,Mullus spp,14700,Mullus spp,345392336.9
1959,324500,Pagellus acarne,1200,Pagellus acarne,345392336.9
1959,324500,Pagellus spp,1200,Pagellus spp,345392336.9
1959,324500,Pagrus pagrus,600,Pagrus pagrus,345392336.9
1959,324500,Pagrus spp,500,Pagrus spp,345392336.9
1959,324500,Sarpa salpa,100,Sarpa salpa,345392336.9
1959,324500,Sciaena umbra,0,Sciaena umbra,345392336.9
1959,324500,Serranidae,100,Serranidae,345392336.9
1959,324500,Sparidae,200,Sparidae,345392336.9
1959,324500,Spondyliosoma cantharus,200,Spondyliosoma cantharus,345392336.9
1959,324500,Umbrina cirrosa,400,Umbrina cirrosa,345392336.9
1959,324500,Conger conger,400,Conger conger,345392336.9
1959,324500,Lophius spp,1000,Lophius spp,345392336.9
1959,324500,Scorpaenidae,800,Scorpaenidae,345392336.9
1960,288000,Argyrosomus regius,500,Argyrosomus regius,353118583.9
1960,288000,Boops boops,16500,Boops boops,353118583.9
1960,288000,Dentex dentex,1000,Dentex dentex,353118583.9
1960,288000,Dentex macrophthalmus,300,Dentex macrophthalmus,353118583.9
1960,288000,Dicentrarchus spp,500,Dicentrarchus spp,353118583.9
1960,288000,Diplodus spp,1000,Diplodus spp,353118583.9
1960,288000,Epinephelus spp,1800,Epinephelus spp,353118583.9
1960,288000,Gobiidae,59400,Gobiidae,353118583.9
1960,288000,Mugilidae,9900,Mugilidae,353118583.9
1960,288000,Mullus spp,13800,Mullus spp,353118583.9
1960,288000,Pagellus acarne,500,Pagellus acarne,353118583.9
1960,288000,Pagellus spp,1500,Pagellus spp,353118583.9
1960,288000,Pagrus pagrus,400,Pagrus pagrus,353118583.9
1960,288000,Pagrus spp,1000,Pagrus spp,353118583.9
1960,288000,Sarpa salpa,300,Sarpa salpa,353118583.9
1960,288000,Sciaena umbra,0,Sciaena umbra,353118583.9
1960,288000,Serranidae,100,Serranidae,353118583.9
1960,288000,Sparidae,400,Sparidae,353118583.9
1960,288000,Spondyliosoma cantharus,300,Spondyliosoma cantharus,353118583.9
1960,288000,Umbrina cirrosa,400,Umbrina cirrosa,353118583.9
1960,288000,Conger conger,800,Conger conger,353118583.9
1960,288000,Lophius spp,1100,Lophius spp,353118583.9
1960,288000,Scorpaenidae,700,Scorpaenidae,353118583.9
1961,267800,Argyrosomus regius,500,Argyrosomus regius,573582781.1
1961,267800,Boops boops,16200,Boops boops,573582781.1
1961,267800,Dentex dentex,1200,Dentex dentex,573582781.1
1961,267800,Dentex macrophthalmus,600,Dentex macrophthalmus,573582781.1
1961,267800,Dicentrarchus spp,700,Dicentrarchus spp,573582781.1
1961,267800,Diplodus spp,1500,Diplodus spp,573582781.1
1961,267800,Epinephelus spp,1900,Epinephelus spp,573582781.1
1961,267800,Gobiidae,53600,Gobiidae,573582781.1
1961,267800,Mugilidae,11800,Mugilidae,573582781.1
1961,267800,Mullus spp,14400,Mullus spp,573582781.1
1961,267800,Pagellus acarne,500,Pagellus acarne,573582781.1
1961,267800,Pagellus spp,1800,Pagellus spp,573582781.1
1961,267800,Pagrus pagrus,800,Pagrus pagrus,573582781.1
1961,267800,Pagrus spp,1000,Pagrus spp,573582781.1
1961,267800,Sarpa salpa,200,Sarpa salpa,573582781.1
1961,267800,Sciaena umbra,0,Sciaena umbra,573582781.1
1961,267800,Serranidae,200,Serranidae,573582781.1
1961,267800,Sparidae,500,Sparidae,573582781.1
1961,267800,Spondyliosoma cantharus,300,Spondyliosoma cantharus,573582781.1
1961,267800,Umbrina cirrosa,300,Umbrina cirrosa,573582781.1
1961,267800,Conger conger,900,Conger conger,573582781.1
1961,267800,Lophius spp,1300,Lophius spp,573582781.1
1961,267800,Polyprion americanus,400,Polyprion americanus,573582781.1
1961,267800,Scorpaenidae,900,Scorpaenidae,573582781.1
1962,281400,Argyrosomus regius,900,Argyrosomus regius,291340567
1962,281400,Boops boops,16000,Boops boops,291340567
1962,281400,Dentex dentex,1300,Dentex dentex,291340567
1962,281400,Dentex macrophthalmus,300,Dentex macrophthalmus,291340567
1962,281400,Dicentrarchus spp,800,Dicentrarchus spp,291340567
1962,281400,Diplodus spp,1500,Diplodus spp,291340567
1962,281400,Epinephelus spp,2000,Epinephelus spp,291340567
1962,281400,Gobiidae,63800,Gobiidae,291340567
1962,281400,Mugilidae,12300,Mugilidae,291340567
1962,281400,Mullus spp,13300,Mullus spp,291340567
1962,281400,Pagellus acarne,300,Pagellus acarne,291340567
1962,281400,Pagellus spp,3200,Pagellus spp,291340567
1962,281400,Pagrus pagrus,1800,Pagrus pagrus,291340567
1962,281400,Pagrus spp,600,Pagrus spp,291340567
1962,281400,Sarpa salpa,200,Sarpa salpa,291340567
1962,281400,Sciaena umbra,0,Sciaena umbra,291340567
1962,281400,Serranidae,200,Serranidae,291340567
1962,281400,Sparidae,600,Sparidae,291340567
1962,281400,Spondyliosoma cantharus,400,Spondyliosoma cantharus,291340567
1962,281400,Umbrina cirrosa,500,Umbrina cirrosa,291340567
1962,281400,Conger conger,300,Conger conger,291340567
1962,281400,Lophius spp,1500,Lophius spp,291340567
1962,281400,Polyprion americanus,800,Polyprion americanus,291340567
1962,281400,Scorpaenidae,1000,Scorpaenidae,291340567
1963,268200,Argyrosomus regius,900,Argyrosomus regius,295235150.9
1963,268200,Boops boops,16900,Boops boops,295235150.9
1963,268200,Dentex dentex,900,Dentex dentex,295235150.9
1963,268200,Dentex macrophthalmus,300,Dentex macrophthalmus,295235150.9
1963,268200,Dicentrarchus spp,1100,Dicentrarchus spp,295235150.9
1963,268200,Diplodus spp,1500,Diplodus spp,295235150.9
1963,268200,Epinephelus spp,2400,Epinephelus spp,295235150.9
1963,268200,Gobiidae,37000,Gobiidae,295235150.9
1963,268200,Mugilidae,11700,Mugilidae,295235150.9
1963,268200,Mullus spp,14700,Mullus spp,295235150.9
1963,268200,Pagellus acarne,500,Pagellus acarne,295235150.9
1963,268200,Pagellus spp,3600,Pagellus spp,295235150.9
1963,268200,Pagrus pagrus,800,Pagrus pagrus,295235150.9
1963,268200,Pagrus spp,700,Pagrus spp,295235150.9
1963,268200,Plectorhinchus mediterraneus,100,Plectorhinchus mediterraneus,295235150.9
1963,268200,Sarpa salpa,300,Sarpa salpa,295235150.9
1963,268200,Sciaena umbra,0,Sciaena umbra,295235150.9
1963,268200,Serranidae,200,Serranidae,295235150.9
1963,268200,Sparidae,500,Sparidae,295235150.9
1963,268200,Spondyliosoma cantharus,400,Spondyliosoma cantharus,295235150.9
1963,268200,Umbrina cirrosa,500,Umbrina cirrosa,295235150.9
1963,268200,Conger conger,400,Conger conger,295235150.9
1963,268200,Lophius spp,1700,Lophius spp,295235150.9
1963,268200,Polyprion americanus,300,Polyprion americanus,295235150.9
1963,268200,Scorpaenidae,1000,Scorpaenidae,295235150.9
1964,298200,Argyrosomus regius,1300,Argyrosomus regius,305776732.2
1964,298200,Boops boops,19700,Boops boops,305776732.2
1964,298200,Dentex dentex,1300,Dentex dentex,305776732.2
1964,298200,Dentex macrophthalmus,300,Dentex macrophthalmus,305776732.2
1964,298200,Dicentrarchus spp,700,Dicentrarchus spp,305776732.2
1964,298200,Diplodus spp,1500,Diplodus spp,305776732.2
1964,298200,Epinephelus spp,2000,Epinephelus spp,305776732.2
1964,298200,Gobiidae,84700,Gobiidae,305776732.2
1964,298200,Mugilidae,12500,Mugilidae,305776732.2
1964,298200,Mullus spp,14100,Mullus spp,305776732.2
1964,298200,Pagellus acarne,600,Pagellus acarne,305776732.2
1964,298200,Pagellus spp,5100,Pagellus spp,305776732.2
1964,298200,Pagrus pagrus,700,Pagrus pagrus,305776732.2
1964,298200,Pagrus spp,900,Pagrus spp,305776732.2
1964,298200,Plectorhinchus mediterraneus,100,Plectorhinchus mediterraneus,305776732.2
1964,298200,Sarpa salpa,200,Sarpa salpa,305776732.2
1964,298200,Sciaena umbra,0,Sciaena umbra,305776732.2
1964,298200,Serranidae,200,Serranidae,305776732.2
1964,298200,Sparidae,400,Sparidae,305776732.2
1964,298200,Spondyliosoma cantharus,600,Spondyliosoma cantharus,305776732.2
1964,298200,Umbrina cirrosa,700,Umbrina cirrosa,305776732.2
1964,298200,Conger conger,200,Conger conger,305776732.2
1964,298200,Lophius spp,2400,Lophius spp,305776732.2
1964,298200,Polyprion americanus,200,Polyprion americanus,305776732.2
1964,298200,Scorpaenidae,1200,Scorpaenidae,305776732.2
1965,330300,Argyrosomus regius,1100,Argyrosomus regius,383797535.4
1965,330300,Boops boops,20700,Boops boops,383797535.4
1965,330300,Dentex dentex,1100,Dentex dentex,383797535.4
1965,330300,Dentex macrophthalmus,200,Dentex macrophthalmus,383797535.4
1965,330300,Dicentrarchus spp,500,Dicentrarchus spp,383797535.4
1965,330300,Diplodus spp,1000,Diplodus spp,383797535.4
1965,330300,Epinephelus spp,2100,Epinephelus spp,383797535.4
1965,330300,Gobiidae,57100,Gobiidae,383797535.4
1965,330300,Mugilidae,11700,Mugilidae,383797535.4
1965,330300,Mullus spp,16200,Mullus spp,383797535.4
1965,330300,Pagellus acarne,400,Pagellus acarne,383797535.4
1965,330300,Pagellus spp,4800,Pagellus spp,383797535.4
1965,330300,Pagrus pagrus,700,Pagrus pagrus,383797535.4
1965,330300,Pagrus spp,900,Pagrus spp,383797535.4
1965,330300,Plectorhinchus mediterraneus,100,Plectorhinchus mediterraneus,383797535.4
1965,330300,Sarpa salpa,0,Sarpa salpa,383797535.4
1965,330300,Sciaena umbra,0,Sciaena umbra,383797535.4
1965,330300,Sciaenidae,200,Sciaenidae,383797535.4
1965,330300,Serranidae,100,Serranidae,383797535.4
1965,330300,Sparidae,400,Sparidae,383797535.4
1965,330300,Spondyliosoma cantharus,600,Spondyliosoma cantharus,383797535.4
1965,330300,Umbrina cirrosa,600,Umbrina cirrosa,383797535.4
1965,330300,Conger conger,200,Conger conger,383797535.4
1965,330300,Lophius spp,2000,Lophius spp,383797535.4
1965,330300,Perciformes,1600,Perciformes,383797535.4
1965,330300,Polyprion americanus,0,Polyprion americanus,383797535.4
1965,330300,Scorpaenidae,1600,Scorpaenidae,383797535.4
1966,302600,Argyrosomus regius,500,Argyrosomus regius,426242769.9
1966,302600,Boops boops,21800,Boops boops,426242769.9
1966,302600,Dentex dentex,1000,Dentex dentex,426242769.9
1966,302600,Dentex macrophthalmus,200,Dentex macrophthalmus,426242769.9
1966,302600,Dicentrarchus spp,700,Dicentrarchus spp,426242769.9
1966,302600,Diplodus spp,1500,Diplodus spp,426242769.9
1966,302600,Epinephelus spp,1900,Epinephelus spp,426242769.9
1966,302600,Gobiidae,49600,Gobiidae,426242769.9
1966,302600,Mugilidae,12300,Mugilidae,426242769.9
1966,302600,Mullus spp,18000,Mullus spp,426242769.9
1966,302600,Pagellus acarne,500,Pagellus acarne,426242769.9
1966,302600,Pagellus spp,5600,Pagellus spp,426242769.9
1966,302600,Pagrus pagrus,900,Pagrus pagrus,426242769.9
1966,302600,Pagrus spp,1000,Pagrus spp,426242769.9
1966,302600,Plectorhinchus mediterraneus,500,Plectorhinchus mediterraneus,426242769.9
1966,302600,Sarpa salpa,100,Sarpa salpa,426242769.9
1966,302600,Sciaena umbra,0,Sciaena umbra,426242769.9
1966,302600,Sciaenidae,200,Sciaenidae,426242769.9
1966,302600,Serranidae,100,Serranidae,426242769.9
1966,302600,Sparidae,800,Sparidae,426242769.9
1966,302600,Spondyliosoma cantharus,300,Spondyliosoma cantharus,426242769.9
1966,302600,Synodontidae,600,Synodontidae,426242769.9
1966,302600,Umbrina cirrosa,100,Umbrina cirrosa,426242769.9
1966,302600,Conger conger,200,Conger conger,426242769.9
1966,302600,Lophius spp,2000,Lophius spp,426242769.9
1966,302600,Perciformes,1800,Perciformes,426242769.9
1966,302600,Polyprion americanus,100,Polyprion americanus,426242769.9
1966,302600,Scorpaenidae,1100,Scorpaenidae,426242769.9
1967,300300,Argyrosomus regius,700,Argyrosomus regius,432290427
1967,300300,Boops boops,21800,Boops boops,432290427
1967,300300,Dentex dentex,2000,Dentex dentex,432290427
1967,300300,Dentex macrophthalmus,200,Dentex macrophthalmus,432290427
1967,300300,Dicentrarchus spp,500,Dicentrarchus spp,432290427
1967,300300,Diplodus spp,2700,Diplodus spp,432290427
1967,300300,Epinephelus spp,1900,Epinephelus spp,432290427
1967,300300,Gobiidae,34500,Gobiidae,432290427
1967,300300,Mugilidae,15700,Mugilidae,432290427
1967,300300,Mullus spp,17100,Mullus spp,432290427
1967,300300,Pagellus acarne,100,Pagellus acarne,432290427
1967,300300,Pagellus spp,4900,Pagellus spp,432290427
1967,300300,Pagrus pagrus,900,Pagrus pagrus,432290427
1967,300300,Pagrus spp,1000,Pagrus spp,432290427
1967,300300,Plectorhinchus mediterraneus,100,Plectorhinchus mediterraneus,432290427
1967,300300,Sarpa salpa,100,Sarpa salpa,432290427
1967,300300,Sciaena umbra,500,Sciaena umbra,432290427
1967,300300,Sciaenidae,200,Sciaenidae,432290427
1967,300300,Serranidae,100,Serranidae,432290427
1967,300300,Sparidae,1700,Sparidae,432290427
1967,300300,Spondyliosoma cantharus,400,Spondyliosoma cantharus,432290427
1967,300300,Synodontidae,800,Synodontidae,432290427
1967,300300,Umbrina cirrosa,1700,Umbrina cirrosa,432290427
1967,300300,Conger conger,500,Conger conger,432290427
1967,300300,Lophius spp,2400,Lophius spp,432290427
1967,300300,Perciformes,1700,Perciformes,432290427
1967,300300,Polyprion americanus,100,Polyprion americanus,432290427
1967,300300,Scorpaenidae,1900,Scorpaenidae,432290427
1968,293100,Argyrosomus regius,500,Argyrosomus regius,461858301
1968,293100,Boops boops,21400,Boops boops,461858301
1968,293100,Dentex dentex,1900,Dentex dentex,461858301
1968,293100,Dentex macrophthalmus,300,Dentex macrophthalmus,461858301
1968,293100,Dicentrarchus spp,700,Dicentrarchus spp,461858301
1968,293100,Diplodus spp,3100,Diplodus spp,461858301
1968,293100,Epinephelus spp,1900,Epinephelus spp,461858301
1968,293100,Gobiidae,27500,Gobiidae,461858301
1968,293100,Mugilidae,14000,Mugilidae,461858301
1968,293100,Mullus spp,15700,Mullus spp,461858301
1968,293100,Oblada melanura,300,Oblada melanura,461858301
1968,293100,Pagellus acarne,200,Pagellus acarne,461858301
1968,293100,Pagellus spp,5100,Pagellus spp,461858301
1968,293100,Pagrus pagrus,1100,Pagrus pagrus,461858301
1968,293100,Pagrus spp,1000,Pagrus spp,461858301
1968,293100,Plectorhinchus mediterraneus,100,Plectorhinchus mediterraneus,461858301
1968,293100,Sarpa salpa,300,Sarpa salpa,461858301
1968,293100,Saurida undosquamis,100,Saurida undosquamis,461858301
1968,293100,Sciaena umbra,0,Sciaena umbra,461858301
1968,293100,Sciaenidae,200,Sciaenidae,461858301
1968,293100,Serranidae,200,Serranidae,461858301
1968,293100,Sparidae,2400,Sparidae,461858301
1968,293100,Spondyliosoma cantharus,300,Spondyliosoma cantharus,461858301
1968,293100,Synodontidae,900,Synodontidae,461858301
1968,293100,Umbrina cirrosa,1500,Umbrina cirrosa,461858301
1968,293100,Conger conger,3600,Conger conger,461858301
1968,293100,Lophius spp,2200,Lophius spp,461858301
