stock,taxa,variable,year,mean,sd,lower,upper,status
Labridae,Labridae,b_div_bmsy,2018,0.697302536094404,0.258729984988259,0.462458315984011,1.04820560320868,overfished
Aphia.minuta,Aphia minuta,b_div_bmsy,2018,0.790306085829406,0.280811165944712,0.51121029669798,1.2567943249399,overfished
Eutrigla.gurnardus,Eutrigla gurnardus,b_div_bmsy,2018,0.727125794057803,0.252225856981507,0.491823798946436,1.08591431832843,overfished
Dactylopterus.volitans,Dactylopterus volitans,b_div_bmsy,2018,0.983293652764733,0.238032947782148,0.655971716689367,1.41165447847417,fully fished
Sparisoma.cretense,Sparisoma cretense,b_div_bmsy,2018,0.789622094759212,0.258649967193398,0.522326961636094,1.18330453912323,overfished
Xyrichtys.novacula,Xyrichtys novacula,b_div_bmsy,2018,0.791899558294519,0.247944752763467,0.530883881491682,1.16804303706462,overfished
Muraena.helena,Muraena helena,b_div_bmsy,2018,0.810613845141204,0.270056341199466,0.524075879541105,1.2312707048322,fully fished
Saurida.undosquamis,Saurida undosquamis,b_div_bmsy,2016,0.632616604730943,0.218664238669768,0.436592181634722,0.900894166724934,overfished
Perciformes,Perciformes,b_div_bmsy,2018,0.629732131345065,0.262625916289296,0.41729664005195,0.960092839243356,overfished
Ammodytes.spp,Ammodytes spp,b_div_bmsy,2018,0.847779084965286,0.254482662717105,0.567343262658838,1.2786148877021,fully fished
Triglidae,Triglidae,b_div_bmsy,2018,0.645556154362527,0.220393854122949,0.457284202189004,0.91167696201588,overfished
Pagellus.spp,Pagellus spp,b_div_bmsy,2018,0.591184642070872,0.173219470473387,0.435717683401529,0.762037953024696,overfished
Diplodus.annularis,Diplodus annularis,b_div_bmsy,2018,0.985564241049971,0.267127153517262,0.623425880230928,1.4880496381313,fully fished
Trachinus.spp,Trachinus spp,b_div_bmsy,2018,0.681027022268046,0.260611317219497,0.451628838915925,1.03568248430535,overfished
Boops.boops,Boops boops,b_div_bmsy,2018,0.77299045404018,0.183526060351887,0.577311685944491,1.03006834661446,overfished
Trichiurus.lepturus,Trichiurus lepturus,b_div_bmsy,2018,1.04856404723761,0.244373736822924,0.70300921880646,1.52744443809468,fully fished
Diplodus.sargus,Diplodus sargus,b_div_bmsy,2018,0.881782168010054,0.250669042074339,0.595638183910317,1.30677017809083,fully fished
Mugil.soiuy,Mugil soiuy,b_div_bmsy,2018,0.670646293455684,0.267499027191358,0.432042485566431,1.02700274954794,overfished
Diplodus.spp,Diplodus spp,b_div_bmsy,2018,0.584357424028906,0.242906370379911,0.39836092372754,0.867553663568835,overfished
Uranoscopus.scaber,Uranoscopus scaber,b_div_bmsy,2018,0.829838710430693,0.220940003080486,0.566578741180603,1.15373437364787,fully fished
Umbrina.cirrosa,Umbrina cirrosa,b_div_bmsy,2018,0.637507379661111,0.260576723140636,0.41112835146283,0.959771182120842,overfished
Gobiidae,Gobiidae,b_div_bmsy,2018,0.683861914587349,0.247333785876055,0.454254485410663,1.00240611971752,overfished
Lophius.spp,Lophius spp,b_div_bmsy,2018,0.893593654064399,0.240114220843752,0.613419232548783,1.29857823167651,fully fished
Aspitrigla.cuculus,Aspitrigla cuculus,b_div_bmsy,2018,0.942614409143033,0.253155139112601,0.612813304813107,1.38302396389538,fully fished
Epinephelus.spp,Epinephelus spp,b_div_bmsy,2018,0.659247091098553,0.205527258907484,0.479775637475593,0.916879235120833,overfished
Oblada.melanura,Oblada melanura,b_div_bmsy,2018,0.917680335078867,0.233272190597265,0.628711507186119,1.33167765259108,fully fished
Helicolenus.dactylopterus,Helicolenus dactylopterus,b_div_bmsy,2018,0.743915096695778,0.259023700137315,0.491342910734105,1.11321017360169,overfished
Mugilidae,Mugilidae,b_div_bmsy,2018,0.709764804163999,0.21158083321415,0.503223636031425,0.989371475479062,overfished
Pagrus.pagrus,Pagrus pagrus,b_div_bmsy,2018,0.885049524934931,0.232166463720267,0.60773441518676,1.28774770170847,fully fished
Synodontidae,Synodontidae,b_div_bmsy,2018,0.852822119618064,0.241243475291789,0.575877772726723,1.2608846969935,fully fished
Zeus.faber,Zeus faber,b_div_bmsy,2018,0.698963527385036,0.263005184318438,0.453595292694094,1.06596705325324,overfished
