"","variable","year","mean","sd","lower","upper"
"1","b_t",1997,11244.9049132923,11659.6466323775,3092.24235443819,28090.8552378787
"2","b_t",1998,10340.4921813666,11340.9386084599,2473.62000534923,26877.3536864336
"3","b_t",1999,11202.1934222746,13522.3240738985,2476.47435545512,30411.3372534427
"4","b_t",2000,9773.70808297814,11438.0215471713,2125.36978457107,27915.5179936092
"5","b_t",2001,6815.1882881661,7882.28386582761,1479.29055645489,19317.334003472
"6","b_t",2002,10893.5849033139,12487.8215043674,2402.32566661685,30217.4795443187
"7","b_t",2003,9940.82892510135,11319.4417060387,2187.20211625422,27151.7598709717
"8","b_t",2004,12951.1640310615,14748.8824432763,2979.41445328613,33643.6840476946
"9","b_t",2005,14608.3500102631,16909.3485416032,3216.59881851587,39593.5504661593
"10","b_t",2006,12423.8581410569,13798.0241241516,2729.69326075368,32555.3443100972
"11","b_t",2007,13707.2731251172,15059.6725958911,3246.72162015006,37547.765450878
"12","b_t",2008,19329.225535103,21462.7436985053,4459.9195911958,53668.6171264898
"13","b_t",2009,15923.5396720604,17527.4064150519,3733.63772553259,42214.155512517
"14","b_t",2010,17234.0844137104,18437.4658508618,4111.88294435698,46039.6292478523
"15","b_t",2011,18146.1416951713,20640.2115396693,4145.47839988134,48219.2765561864
"16","b_t",2012,18177.3470598141,21112.3011937639,4204.7059274605,48864.21434305
"17","b_t",2013,19103.2669137763,20219.4524673677,4466.17291834191,52214.7599488416
"18","b_t",2014,19091.9857926762,21666.3565458403,4050.99802643136,51302.578524056
"19","b_t",2015,12085.1449851188,13870.5619890906,2580.38279997863,32457.5418467833
"20","b_t",2016,11975.5018340335,15505.3014376724,1981.7876387233,32661.4863255963
"21","b_t",2017,10076.2251558444,13464.5062291139,1692.96446076586,29468.0143296018
"22","b_t",2018,7093.31309145444,7695.4703744712,1703.61431243888,19197.1251284139
"23","bmsy",1997,8034.67727343067,8278.88959270275,2287.92162311759,20217.0997667086
"24","ck",1997,0.0166526870197247,0.0104152930967606,0.00405597260602838,0.0358403909649559
"25","ck",1998,0.0287360391864761,0.0179727313803856,0.00699902589942701,0.0618465283114788
"26","ck",1999,0.03736700501987,0.0233709015829749,0.00910120682328319,0.0804223407018523
"27","ck",2000,0.031274558549239,0.0195604284987942,0.00761731440644354,0.0673100025439416
"28","ck",2001,0.0107633220981147,0.00673183578205257,0.00262154326975005,0.0231651307456422
"29","ck",2002,0.0434594514905009,0.0271813746671556,0.0105850992401228,0.093534678859763
"30","ck",2003,0.0241667043335029,0.0151148765672501,0.00588610658679728,0.0520122746930458
"31","ck",2004,0.040920932127738,0.025593677548747,0.00996681073310631,0.0880712046273002
"32","ck",2005,0.0520904173238948,0.032579544869745,0.012687280163979,0.112110491250137
"33","ck",2006,0.0338130779120019,0.0211481256172029,0.00823560291346006,0.0727734767764044
"34","ck",2007,0.0498565202846635,0.0311823714055454,0.0121431862778045,0.107302633925569
"35","ck",2008,0.0985960920497112,0.061666156078991,0.0240143256125217,0.212201339188855
"36","ck",2009,0.056050507529805,0.0350563523744624,0.0136518102349248,0.120633511052778
"37","ck",2010,0.0796079672162447,0.0497901816332944,0.0193895275800381,0.171334551930033
"38","ck",2011,0.0836695981966654,0.0523304970227482,0.0203787891912645,0.180076110701974
"39","ck",2012,0.072195490676977,0.0451541060475413,0.0175841251395498,0.155381207171242
"40","ck",2013,0.0913866970594646,0.0571570962627105,0.0222583862525947,0.196685072368661
"41","ck",2014,0.0915897786084856,0.0572841120321832,0.0223078493331561,0.197122150307258
"42","ck",2015,0.0422409621963747,0.0264192800503195,0.0102883207567549,0.0909122112281809
"43","ck",2016,0.0384839535394856,0.0240694883150747,0.00937325376637045,0.082826269364136
"44","ck",2017,0.0119818113922409,0.0074939303988887,0.00291832175311798,0.0257875983772244
"45","ck",2018,0.0176680947648298,0.011050371944124,0.00430328800883498,0.038025780657941
"46","crashed",1997,0,0,0,0
"47","delta",1997,100,0,100,100
"48","dep_t",1997,0.699501569054,0.0687219275149524,0.598475560353777,0.81353499554293
"49","dep_t",1998,0.635977434221807,0.178187303644296,0.39466808797185,0.946593759289768
"50","dep_t",1999,0.670213610390052,0.2071026037301,0.39028077908193,1.03979354473063
"51","dep_t",2000,0.589820260695996,0.195637081974893,0.337274630326927,0.926107466840424
"52","dep_t",2001,0.410981463919042,0.126487728048436,0.238737053018566,0.635373582738174
"53","dep_t",2002,0.664987075501631,0.220893129135673,0.383241078872343,1.05955683495395
"54","dep_t",2003,0.602110454791777,0.185895416122075,0.339829952843047,0.919144330296883
"55","dep_t",2004,0.788060069108319,0.230977683523861,0.47266398188513,1.18974031783689
"56","dep_t",2005,0.88517269212197,0.272931975754808,0.519196533423297,1.37144062562555
"57","dep_t",2006,0.758540809658747,0.217243750778177,0.454746484374567,1.13397912410331
"58","dep_t",2007,0.843516220303566,0.227196609279095,0.520968414260428,1.24323470874157
"59","dep_t",2008,1.17590906480808,0.310391014206596,0.719381595751057,1.67938901585261
"60","dep_t",2009,0.969752935687204,0.258746753821048,0.599971412949072,1.41651484915096
"61","dep_t",2010,1.06194423071364,0.273557400061639,0.661444680074777,1.53088652878428
"62","dep_t",2011,1.10573461628694,0.283625938651394,0.701966311453963,1.58917467814008
"63","dep_t",2012,1.0966215238076,0.284879853218433,0.681338045897885,1.59046392711845
"64","dep_t",2013,1.17113482674674,0.291255255740443,0.741990696312657,1.66226957960196
"65","dep_t",2014,1.15351046128581,0.343332891001266,0.670229679897306,1.74165623770111
"66","dep_t",2015,0.728824635202485,0.213405287156426,0.432365102062821,1.09916976902504
"67","dep_t",2016,0.704676213411503,0.335608623927383,0.314404144836408,1.32915677762494
"68","dep_t",2017,0.592184983609409,0.310739137351373,0.265450516284058,1.13916385683701
"69","dep_t",2018,0.43782060909578,0.113056690789829,0.283671633627198,0.639307464901064
"70","growth_t",1997,0.125281033254194,0.0305880256854124,0.0804427023320403,0.175821267166233
"71","growth_t",1998,0.122062522245606,0.0645009508465445,0.0296794345716016,0.190111115917533
"72","growth_t",1999,0.108602192313425,0.0813661521912274,-0.0253622753575447,0.185900569500187
"73","growth_t",2000,0.123722032656763,0.077847799305079,0.0382665351990691,0.188019628716228
"74","growth_t",2001,0.137870131537802,0.0327633097682965,0.0928121335645489,0.190740578265918
"75","growth_t",2002,0.105413870783561,0.101085737092902,-0.0394263216942916,0.185863973175287
"76","growth_t",2003,0.125483399247726,0.0587348049920736,0.0413969797193916,0.190215996534652
"77","growth_t",2004,0.0698241243954842,0.118562870479434,-0.134564496858822,0.176225370802052
"78","growth_t",2005,0.0188762510173286,0.1817802572541,-0.296465008965458,0.172852076974107
"79","growth_t",2006,0.0840183214397756,0.107413643925578,-0.0850093216194919,0.180046017195479
"80","growth_t",2007,0.0522045540713386,0.12429481346548,-0.173910989998459,0.173715338845839
"81","growth_t",2008,-0.175279141286248,0.273507305819512,-0.70064454655423,0.126050555843003
"82","growth_t",2009,-0.0158911647849443,0.178613382246867,-0.334988125144952,0.163298689533832
"83","growth_t",2010,-0.0790013172419012,0.213788632117392,-0.471910911680403,0.143496373716714
"84","growth_t",2011,-0.110424482856662,0.232676422299954,-0.551969256771061,0.13655954429886
"85","growth_t",2012,-0.102917898571367,0.226497542559572,-0.533035857067729,0.139567851135287
"86","growth_t",2013,-0.161087625928787,0.246517648461028,-0.630883562250512,0.122757930571234
"87","growth_t",2014,-0.173539950707467,0.320852233048853,-0.791895671895372,0.138577332480676
"88","growth_t",2015,0.0944676327685092,0.0956415660120527,-0.0645874484078294,0.183835027632537
"89","growth_t",2016,0.0559441616140199,0.227485106818813,-0.281131074146408,0.181473639588188
"90","growth_t",2017,0.0847370891668476,0.216362472298289,-0.0883259638546102,0.187127627766503
"91","growth_t",2018,0.142353783194899,0.03058514138162,0.100041855959857,0.193011472618263
"92","index_hat_t",1997,11244.9049132923,11659.6466323775,3092.24235443819,28090.8552378787
"93","index_hat_t",1998,10340.4921813666,11340.9386084599,2473.62000534923,26877.3536864336
"94","index_hat_t",1999,11202.1934222746,13522.3240738985,2476.47435545512,30411.3372534427
"95","index_hat_t",2000,9773.70808297814,11438.0215471713,2125.36978457107,27915.5179936092
"96","index_hat_t",2001,6815.1882881661,7882.28386582761,1479.29055645489,19317.334003472
"97","index_hat_t",2002,10893.5849033139,12487.8215043674,2402.32566661685,30217.4795443187
"98","index_hat_t",2003,9940.82892510135,11319.4417060387,2187.20211625422,27151.7598709717
"99","index_hat_t",2004,12951.1640310615,14748.8824432763,2979.41445328613,33643.6840476946
"100","index_hat_t",2005,14608.3500102631,16909.3485416032,3216.59881851587,39593.5504661593
"101","index_hat_t",2006,12423.8581410569,13798.0241241516,2729.69326075368,32555.3443100972
"102","index_hat_t",2007,13707.2731251172,15059.6725958911,3246.72162015006,37547.765450878
"103","index_hat_t",2008,19329.225535103,21462.7436985053,4459.9195911958,53668.6171264898
"104","index_hat_t",2009,15923.5396720604,17527.4064150519,3733.63772553259,42214.155512517
"105","index_hat_t",2010,17234.0844137104,18437.4658508618,4111.88294435698,46039.6292478523
"106","index_hat_t",2011,18146.1416951713,20640.2115396693,4145.47839988134,48219.2765561864
"107","index_hat_t",2012,18177.3470598141,21112.3011937639,4204.7059274605,48864.21434305
"108","index_hat_t",2013,19103.2669137763,20219.4524673677,4466.17291834191,52214.7599488416
"109","index_hat_t",2014,19091.9857926762,21666.3565458403,4050.99802643136,51302.578524056
"110","index_hat_t",2015,12085.1449851188,13870.5619890906,2580.38279997863,32457.5418467833
"111","index_hat_t",2016,11975.5018340335,15505.3014376724,1981.7876387233,32661.4863255963
"112","index_hat_t",2017,10076.2251558444,13464.5062291139,1692.96446076586,29468.0143296018
"113","index_hat_t",2018,7093.31309145444,7695.4703744712,1703.61431243888,19197.1251284139
"114","k",1997,16069.3545468613,16557.7791854055,4575.84324623517,40434.1995334172
"115","log_b",1997,9.04456199126145,0.702158561739715,8.03665160524021,10.243199147985
"116","log_b",1998,8.91666581434404,0.764536979116576,7.81343794514,10.1990389325716
"117","log_b",1999,8.96014563337484,0.800793513200121,7.81459119412512,10.322564074475
"118","log_b",2000,8.82794350524776,0.799051481147747,7.66170105330976,10.236931907046
"119","log_b",2001,8.4724793675175,0.793263523095092,7.29931785433856,9.86875807000777
"120","log_b",2002,8.9469149245497,0.791605408188629,7.78418999013138,10.3161758029369
"121","log_b",2003,8.85156242763591,0.793569228307058,7.69037761316698,10.2091971226356
"122","log_b",2004,9.12630817037795,0.780466788916231,7.99948205174825,10.4235805774653
"123","log_b",2005,9.23861102192879,0.792125544162739,8.07607977585546,10.5864211287895
"124","log_b",2006,9.09012480521926,0.778974293844472,7.91194446639814,10.3906968216932
"125","log_b",2007,9.20050218320575,0.765000951543211,8.08540091979758,10.533369026562
"126","log_b",2008,9.53257334731702,0.778589107745637,8.40288601146291,10.8905836319735
"127","log_b",2009,9.34066721837178,0.777565852454408,8.22513701848087,10.650510858576
"128","log_b",2010,9.43331610196009,0.759814291289918,8.32163633478543,10.737249965248
"129","log_b",2011,9.47417126989895,0.768912935651222,8.3297734639813,10.7835120467688
"130","log_b",2012,9.46491852425215,0.776640933559012,8.34395963586169,10.7968005466889
"131","log_b",2013,9.53290927045174,0.767770311321601,8.4042870730535,10.8631198743655
"132","log_b",2014,9.50465313309111,0.800312296224485,8.30671762162541,10.8454962343913
"133","log_b",2015,9.04825831787223,0.798621368345456,7.85569255191119,10.3876877473188
"134","log_b",2016,8.95608755350613,0.892338967025795,7.59175454379142,10.393951865463
"135","log_b",2017,8.77301088407047,0.896647408144305,7.43423636892022,10.2910567643034
