"","variable","year","mean","sd","lower","upper"
"1","b_t",1951,56041.6582188794,49801.6878823508,15375.4565672922,139502.89049882
"2","b_t",1952,64876.883942525,62869.4055526668,16285.8944094242,167641.88854575
"3","b_t",1953,58459.9793232684,56295.2195400632,15215.3789561879,151945.861438736
"4","b_t",1954,51699.2028110436,47782.7722389865,12875.3341870557,133020.408986303
"5","b_t",1955,43678.872115249,44052.0353423671,10319.88372555,112493.237786908
"6","b_t",1956,37878.0094857536,36155.8613890733,9340.41207966605,99801.9661384113
"7","b_t",1957,39395.937846849,36187.7928259999,9950.29411817095,101671.359925703
"8","b_t",1958,50371.6575979304,46582.26214079,12698.4755248755,128324.173294112
"9","b_t",1959,59522.1848018923,55322.7501541453,14724.0742198393,153090.652667645
"10","b_t",1960,76603.5710992231,73123.8045711518,18807.2264622852,197936.279336025
"11","b_t",1961,82341.7005037581,75362.419231231,19648.4002288221,213237.785742071
"12","b_t",1962,140805.937265933,133136.462369178,35346.4836960198,366591.222414836
"13","b_t",1963,170086.231740949,154201.178517027,42654.7817351278,438349.283063292
"14","b_t",1964,193241.730392104,182066.982660026,46739.0655220964,494099.242116659
"15","b_t",1965,149036.953007258,140428.59270747,35728.787459377,380030.729400337
"16","b_t",1966,94561.5273578717,88658.9291696193,23152.3243286093,247765.953914563
"17","b_t",1967,85412.9408180444,80118.8980389942,20278.5261220864,226403.566639827
"18","b_t",1968,61995.8079098358,56670.2684055625,15721.2171092592,159063.287486816
"19","b_t",1969,41727.5763274699,41795.4117270533,10168.1508649942,105174.868622895
"20","b_t",1970,24422.2294569323,24357.3852371605,5912.76329407013,60757.9399939854
"21","b_t",1971,20930.7183813613,20832.0795631032,5007.22727852362,53972.0903151302
"22","b_t",1972,22224.2212964057,20410.2390021136,5380.77244958621,56262.3840245259
"23","b_t",1973,19011.6715449899,17671.5992688659,4676.35762583621,48814.8118997632
"24","b_t",1974,19402.798848825,18676.9131407954,4902.00349596463,49678.5406419814
"25","b_t",1975,21289.1262037887,20145.4013876482,5234.18902862833,56000.5236396819
"26","b_t",1976,25714.3730466083,23941.0504022402,6250.40676425238,68595.1895263273
"27","b_t",1977,36048.1782589849,34977.2277466117,8914.03470881751,92795.5529030195
"28","b_t",1978,46276.5869055561,44785.1808463067,11412.3892358278,118360.055577339
"29","b_t",1979,46560.971881459,44360.1613197644,11218.4433345706,115855.466674579
"30","b_t",1980,45927.4919383301,43981.7711127933,11440.5743003348,118943.702124735
"31","b_t",1981,47343.2705512162,44244.3600950185,11657.874283546,121361.019226609
"32","b_t",1982,41557.6942760197,39014.0037001283,10533.67758723,103902.164477844
"33","b_t",1983,45770.2793542615,42577.0067185662,11537.3154156333,115728.958510869
"34","b_t",1984,51708.6175324428,48875.4418474531,12644.4494459651,131811.029947774
"35","b_t",1985,73785.3465136004,68296.0756349775,18870.1997101902,187466.503391844
"36","b_t",1986,81039.8580180849,76835.0300079478,20440.1723984584,201623.726090932
"37","b_t",1987,61408.3625508871,56917.9282016698,15439.5604795292,152971.310484123
"38","b_t",1988,54512.7461282541,50698.8455623495,13597.1170235452,140909.372457013
"39","b_t",1989,48564.5878539104,45893.9860077559,12101.8292170722,123350.107509604
"40","b_t",1990,39793.2246885398,37128.2759059372,9992.07243444614,103582.763056423
"41","b_t",1991,54853.433801374,48823.2393126693,13916.9905951878,144228.207911729
"42","b_t",1992,61886.2228953505,55716.2833678857,15215.7768042172,160352.4390076
"43","b_t",1993,61577.2832469265,56794.1244666073,15724.4241725684,159065.368382911
