"","variable","year","mean","sd","lower","upper"
"1","b_t",1994,6029.43842279723,4958.4634521982,1880.86996813821,13665.4451928393
"2","b_t",1995,3187.35797401472,3263.74783265217,753.100938755931,7908.52052662035
"3","b_t",1996,2219.49215312649,2353.3214136436,480.730878418304,5768.2075847199
"4","b_t",1997,2368.81349127117,2576.61019621626,488.226205706043,6184.28231821943
"5","b_t",1998,2353.15314566407,2963.30685727875,465.718877375159,6159.41244711658
"6","b_t",1999,2079.9659886118,2207.44363900946,425.934120272919,5470.62963157781
"7","b_t",2000,2765.93231164875,3099.79022404345,558.540033059786,7660.92909800564
"8","b_t",2001,3230.53837455967,3563.3475494187,691.080610079131,8850.53200985531
"9","b_t",2002,4400.61316334896,4788.79381244112,894.95549444842,11946.9661425917
"10","b_t",2003,5260.44428615019,5635.24786051184,1127.39957246914,13570.030587518
"11","b_t",2004,5797.6960485396,6476.35683897291,1218.89431032918,16026.173750863
"12","b_t",2005,5021.83548956069,5377.44394964451,1034.35092251472,13869.0174390923
"13","b_t",2006,4574.60051038006,5459.52548374038,946.50284441731,11515.9600359016
"14","b_t",2007,3933.76614266117,4252.8936968417,949.140836854102,10143.4799309566
"15","b_t",2008,6598.44392285178,6684.48581116064,1559.96764810421,16975.6082825084
"16","b_t",2009,11292.618664754,10610.8031964839,2820.15578003172,29449.2127411189
"17","b_t",2010,11393.7407273398,10682.4269684612,2781.53131309814,28788.448674622
"18","b_t",2011,10789.4428176686,10722.6868741363,2627.3949616739,25229.550681992
"19","b_t",2012,11435.2137007095,11577.9319759545,2707.45749271452,28563.278619378
"20","b_t",2013,10827.4724015251,11054.2418148686,2589.59152061096,27345.0147627069
"21","b_t",2014,9527.715595158,9481.89466160709,2232.72731666204,25104.117306719
"22","b_t",2015,8736.82640493149,9475.59807110533,1793.78989548987,23246.1501689521
"23","b_t",2016,7035.57886434885,8531.19135555084,1265.98194275977,19921.4613751532
"24","b_t",2017,5356.71675448779,6511.6434414988,1046.65283832953,14527.8948027809
"25","b_t",2018,3322.50156300842,3049.18319912845,899.377851028561,8184.1324702104
"26","bmsy",1994,4322.43953015235,3532.52411636949,1390.25981756549,9760.21959708982
"27","ck",1994,0.00395210744060274,0.00237993294972838,0.00117825229201667,0.00827183578854668
"28","ck",1995,0.0101380147389375,0.0061050453927815,0.00302247327082536,0.0212190570227936
