"","variable","year","mean","sd","lower","upper"
"1","b_t",1951,158010.542215064,37482.4393502883,112216.003551047,223311.12401778
"2","b_t",1952,158213.271521163,39052.9322882687,108793.956550486,227347.85501961
"3","b_t",1953,152684.210885736,36629.817430279,106515.4658859,216927.300386982
"4","b_t",1954,152377.337791847,36667.6422736177,106862.31477719,214845.527861783
"5","b_t",1955,148472.502336337,36256.4353557955,104121.158643132,212837.2375694
"6","b_t",1956,163677.354731054,40274.4263927551,113662.905667142,233144.071983439
"7","b_t",1957,173466.319405797,43941.4359948481,119868.072462179,251789.559447076
"8","b_t",1958,188693.601469617,46309.8608101474,133831.962300891,267818.852018241
"9","b_t",1959,201514.658631376,50195.8047722023,139178.770872101,290295.790540611
"10","b_t",1960,198867.620186461,49105.1402137332,140350.492912743,282636.433112685
"11","b_t",1961,177266.734398224,44222.5151944725,124607.919341275,254180.220752816
"12","b_t",1962,224175.008622665,55615.0581034119,155251.568387956,322113.828110554
"13","b_t",1963,249973.329569155,62456.2194466106,176639.034492425,357622.895463404
"14","b_t",1964,265290.326719614,66206.1718790939,184665.258797196,377966.396739798
"15","b_t",1965,247764.164903587,61750.8186046912,170617.85667124,355860.62638792
"16","b_t",1966,237030.510375245,58472.1194824934,165145.118779917,338698.995809002
"17","b_t",1967,229697.735033866,57288.717693937,159609.26324593,333832.085638054
"18","b_t",1968,223306.837174467,55720.2145711564,154610.630679333,320694.427382083
"19","b_t",1969,230876.103827794,57695.4336572636,158921.827911557,331664.839341321
"20","b_t",1970,217126.900143087,54638.6118018745,149934.328430278,316042.493003382
"21","b_t",1971,220593.697476838,54220.1607132242,154968.46733575,313498.26402024
"22","b_t",1972,242709.660678299,61279.5343930625,168534.088455904,351052.870519523
"23","b_t",1973,272685.70940986,68404.891811092,185612.100826117,395259.495916014
"24","b_t",1974,290224.521155608,72466.136814605,197432.69223391,415920.835755538
"25","b_t",1975,281143.685111028,70672.848859872,195310.541207725,401771.518564395
"26","b_t",1976,277953.710215183,69674.1268004678,193165.99220357,401802.303612176
"27","b_t",1977,290480.442932021,73980.1699140068,198654.757578652,418247.570757404
"28","b_t",1978,283517.678489085,72494.064796009,194342.991916823,407466.86629278
"29","b_t",1979,279613.644296609,72049.472918617,190251.838792322,409001.926300515
"30","b_t",1980,250564.539359433,63644.4854549106,171893.07335909,361116.64470306
"31","b_t",1981,211275.306572493,53278.7200547152,145138.715861773,304405.386671229
"32","b_t",1982,196558.083295462,47893.6759915296,137033.616940037,280053.080760126
"33","b_t",1983,179110.136787144,44051.2053955867,125935.882646985,255102.956641499
"34","b_t",1984,176122.419584281,42938.3028045153,125748.906786954,251624.188328748
"35","b_t",1985,182867.610344047,43622.4473642559,129779.023581513,262076.700601401
"36","b_t",1986,175081.438941728,42108.9034852649,123482.38238268,249194.569236984
"37","b_t",1987,153855.065059167,36413.4278862036,109797.209597981,216978.845107374
"38","b_t",1988,137047.788354511,32594.7470970271,95917.6085000386,193909.601675514
"39","b_t",1989,143310.958937134,34839.3314758663,101966.976882606,202394.655377064
"40","b_t",1990,139640.863065636,33465.611088556,98246.2288246565,198910.892498689
"41","b_t",1991,143959.963461797,33868.2164193812,101870.185731142,203230.963345013
"42","b_t",1992,148185.213675609,34669.3704907068,105688.559147283,207807.54178505
"43","b_t",1993,159367.976474044,37161.580735465,113527.95577042,224743.348634657
"44","b_t",1994,166815.587711457,39232.3264535505,118046.4697198,236166.441449969
"45","b_t",1995,153917.191397737,36505.6973151963,107587.046084717,219060.332160307
"46","b_t",1996,146267.373641369,34227.6085163852,105170.96106839,207046.924244038
"47","b_t",1997,146759.70380195,35988.1428256905,102856.628987676,209948.856036839
"48","b_t",1998,144467.178063314,34457.5244765837,101387.258652539,206743.523682068
"49","b_t",1999,139861.861915076,32972.8158008092,99107.4317036608,196383.765307575
"50","b_t",2000,143721.487537146,34338.778844915,101094.268796094,204885.843481141
"51","b_t",2001,138101.499387679,33343.3561415476,96564.6253661942,195179.245849361
"52","b_t",2002,145775.746452227,34499.1898279866,103583.00670429,206109.810774876
"53","b_t",2003,147030.123491332,35315.4251023623,104569.992832494,209363.969759567
"54","b_t",2004,146845.443489755,35408.4714294099,103455.018052938,208088.581020628
"55","b_t",2005,158828.603369824,37668.1165342635,112598.726636007,224918.939182438
"56","b_t",2006,155444.707321519,36907.4876797557,109749.64091301,220448.857876401
"57","b_t",2007,141147.080297133,33431.7377050321,100745.248850364,199711.433096679
"58","b_t",2008,148611.775464877,35340.7637088369,107161.087228301,208294.65702771
"59","b_t",2009,140197.504147127,33149.3413212299,99116.0443278323,197384.485768892
"60","b_t",2010,129021.217789699,29953.8368488872,90987.0169849801,180849.926070192
"61","b_t",2011,124493.447765877,28959.2520146367,89176.7337165526,177616.144441369
"62","b_t",2012,116299.881157478,27449.8243860071,81912.0511498971,165846.038670319
"63","b_t",2013,109350.845853934,25553.9841269109,77074.5347346238,155159.551996109
"64","b_t",2014,101606.322187868,24104.6356100619,71524.1420075009,142882.771381759
"65","b_t",2015,96748.4401743787,23169.7315095324,68725.2699264994,136184.458011192
"66","b_t",2016,99756.2330711331,25257.166356305,67934.5698760615,143926.162200136
"67","b_t",2017,103032.047422747,28773.9486419758,67189.4302094915,151772.568603375
"68","b_t",2018,106377.150446718,30673.2810149271,67576.2369718803,160054.044417715
"69","bmsy",1951,135454.635162387,26618.8253650139,101415.958420856,183709.942499252
"70","ck",1951,0.0332312104761624,0.00593316202984418,0.02367863201726,0.042892658627169
"71","ck",1952,0.0317033387301319,0.00566037297100077,0.0225899592808343,0.0409205823684486
"72","ck",1953,0.038578761587269,0.00688792373579612,0.0274889865947501,0.0497949255326905
"73","ck",1954,0.0443082806348832,0.00791088270645891,0.0315715093563467,0.057190211502892
"74","ck",1955,0.050419767619005,0.00900203894183255,0.0359262003020497,0.0650785165377737
"75","ck",1956,0.0534755111110659,0.00954761705951937,0.0381035457749012,0.0690226690552145
"76","ck",1957,0.0542394469840812,0.00968401158894108,0.0386478821431141,0.0700087071845747
"77","ck",1958,0.0550033828570964,0.00982040611836278,0.0391922185113269,0.0709947453139349
"78","ck",1959,0.0611148698412182,0.0109115623537364,0.0435469094570299,0.0788830503488166
"79","ck",1960,0.0630247095237563,0.0112525486772907,0.0449077503775621,0.0813481456722171
"80","ck",1961,0.0618788057142334,0.0110479568831581,0.0440912458252428,0.0798690884781768
"81","ck",1962,0.0611148698412182,0.0109115623537364,0.0435469094570299,0.0788830503488166
"82","ck",1963,0.0645525812697867,0.0115253377361341,0.0459964231139879,0.0833202219309375
"83","ck",1964,0.0752476834919999,0.013434861148038,0.0536171322689681,0.0971247557419804
"84","ck",1965,0.0790673628570761,0.0141168337951465,0.0563388141100325,0.102054946388781
"85","ck",1966,0.0832690101586598,0.0148670037069659,0.0593326641352033,0.107478156100263
"86","ck",1967,0.0832690101586598,0.0148670037069659,0.0593326641352033,0.107478156100263
"87","ck",1968,0.0817411384126293,0.0145942146481225,0.0582439913987775,0.105506079841542
"88","ck",1969,0.0813591704761217,0.0145260173834116,0.0579718232146711,0.105013060776862
"89","ck",1970,0.064162973974549,0.011455776526129,0.0457188115661993,0.0828173424849638
"90","ck",1971,0.0655227798285161,0.0116985587884997,0.0466877303016182,0.084572490355225
"91","ck",1972,0.0689490322189894,0.012310288252956,0.0491290789130529,0.0889948713654055
"92","ck",1973,0.0693080820793065,0.0123743936817842,0.049384917006113,0.0894583092862048
"93","ck",1974,0.0972986924665844,0.0173718892397955,0.0693294015374327,0.125586746345963
"94","ck",1975,0.0979480379586474,0.0174878245898039,0.0697920874504137,0.126424878755919
"95","ck",1976,0.103391081053881,0.0184596356119336,0.0736704840739304,0.13345040042761
"96","ck",1977,0.101844110911025,0.0181834366898546,0.0725682029282993,0.131453673215656
"97","ck",1978,0.10436127961261,0.0186328566642992,0.0743617912615607,0.134702668851898
"98","ck",1979,0.110633193130065,0.0197526557508514,0.0788307928445884,0.142798041893945
"99","ck",1980,0.101542356241184,0.0181295608507331,0.0723531900628552,0.131064188154559
"100","ck",1981,0.0838648801396117,0.0149733914399148,0.0597572465024093,0.108247265841164
"101","ck",1982,0.0863782291618318,0.0154221294417122,0.0615481131538297,0.111491331286759
"102","ck",1983,0.087394263872942,0.0156035341658431,0.0622720805235528,0.112802761998808
"103","ck",1984,0.089651694377702,0.0160065800002842,0.0638805944916218,0.115716504671067
"104","ck",1985,0.108673697615781,0.0194028037828847,0.0774345700601224,0.140268854092136
"105","ck",1986,0.110438389482446,0.0197178751458488,0.0786919870706941,0.142546602170958
"106","ck",1987,0.102726456844358,0.0183409723713367,0.0731969114335852,0.132592547255067
"107","ck",1988,0.0919702397523032,0.0164205373970791,0.0655326553691479,0.118709130393675
"108","ck",1989,0.100278042371344,0.0179038279045401,0.0714523133734629,0.129432295050468
"109","ck",1990,0.0938189645650001,0.0167506121582796,0.0668499493802231,0.121095342666727
"110","ck",1991,0.106255840577688,0.018971115097265,0.0757117454547286,0.137148043412711
"111","ck",1992,0.105507183422133,0.0188374484584317,0.07517829581388,0.136181726045938
"112","ck",1993,0.122787412869738,0.0219226927139507,0.0874911844628552,0.158485908532066
"113","ck",1994,0.127924881615765,0.0228399459243117,0.0911518465390868,0.165117014952014
"114","ck",1995,0.110625553771335,0.0197512918055571,0.0788253494809063,0.142788181512652
"115","ck",1996,0.110224487438002,0.0196796846776107,0.0785395728875945,0.142270511494738
"116","ck",1997,0.0978372672570602,0.0174680473830378,0.0697131586770228,0.126281903227162
"117","ck",1998,0.106591972361815,0.0190311286902105,0.0759512534567423,0.13758190018963
"118","ck",1999,0.0947280482538882,0.0169129216482915,0.0674977096583964,0.122268728040666
"119","ck",2000,0.0988265642126149,0.0176446782986389,0.0704180742738584,0.127558822604683
"120","ck",2001,0.090052760711035,0.0160781871282306,0.0641663710849336,0.116234174688981
"121","ck",2002,0.0975851684189652,0.0174230371883286,0.0695335276755125,0.125956510644473
"122","ck",2003,0.103391081053881,0.0184596356119336,0.0736704840739304,0.13345040042761
"123","ck",2004,0.0921459450030967,0.0164519081388461,0.0656578527338369,0.118935919163428
"124","ck",2005,0.115262644520538,0.0205792065991469,0.0821294712359584,0.148773432957868
"125","ck",2006,0.117428402720536,0.0209658850900574,0.0836726648398419,0.151568851054604
"126","ck",2007,0.10912441978086,0.0194832765552435,0.077755728517368,0.140850616588459
"127","ck",2008,0.124005890587197,0.0221402419883783,0.0883594009701548,0.160058639348396
"128","ck",2009,0.110942587158636,0.0198078955352672,0.0790512490737146,0.143197387336336
"129","ck",2010,0.109941831164986,0.0196292187017247,0.0783381684313558,0.141905677386874
"130","ck",2011,0.106145069876101,0.0189513378904988,0.0756328166813378,0.137005067883954
"131","ck",2012,0.0915653537396052,0.0163482482964856,0.0652441570939951,0.118186530185114
"132","ck",2013,0.089953449047543,0.0160604558394058,0.0640956073570659,0.116105989732164
"133","ck",2014,0.0804309883904082,0.0143602980301642,0.0573104545272924,0.103815024449689
"134","ck",2015,0.0760765539142214,0.0135828492124605,0.0542077372284791,0.0981946071123362
"135","ck",2016,0.0782944507375529,0.0139788366300041,0.0557880817894931,0.101057322311401
"136","ck",2017,0.076973338235554,0.0137429627505487,0.0548467336911241,0.0993521172723922
"137","ck",2018,0.0752896999650157,0.0134423628471562,0.0536470707692198,0.0971789878390952
"138","crashed",1951,0,0,0,0
"139","delta",1951,100,0,100,100
"140","dep_t",1951,0.580897729244852,0.0485090698194429,0.510349994846253,0.664138848147307
"141","dep_t",1952,0.581014342373602,0.0543936924579764,0.500493628570959,0.670216726637699
"142","dep_t",1953,0.561255235575074,0.0519912587953705,0.487126198678754,0.651413966288329
"143","dep_t",1954,0.56028249606032,0.0534175917117097,0.482468572411034,0.654130092816615
"144","dep_t",1955,0.545568636109958,0.0514543923771928,0.468050190747273,0.629244759500774
"145","dep_t",1956,0.601348606678782,0.0585550626112818,0.514681040471182,0.700014422942611
"146","dep_t",1957,0.63662178528175,0.0634629804097267,0.539522499464693,0.738205348639885
"147","dep_t",1958,0.693447795900451,0.0670815970660644,0.591954334043267,0.810307550577204
"148","dep_t",1959,0.740188353707086,0.0729434869356086,0.632442506507267,0.86239595696222
"149","dep_t",1960,0.730333003360338,0.0683878401824017,0.629261387036046,0.841312980280885
"150","dep_t",1961,0.650525043037996,0.0603585173304994,0.562601814043316,0.755478042294732
"151","dep_t",1962,0.823017728182482,0.0798361241004292,0.703046131687384,0.957003277783627
"152","dep_t",1963,0.91768773957115,0.0894564895160106,0.782604938056827,1.06314694543146
"153","dep_t",1964,0.973814739361972,0.0927574200140867,0.831618338689446,1.12674640001975
"154","dep_t",1965,0.909270322613566,0.0857598146249019,0.780117995234211,1.05129691251204
"155","dep_t",1966,0.870428629479083,0.0810196124710226,0.750132177280518,1.00698945224746
"156","dep_t",1967,0.843424829132423,0.0815418397051183,0.723044851881872,0.984917511681572
"157","dep_t",1968,0.819712448078226,0.0791459740062443,0.698652745253575,0.949092311449752
"158","dep_t",1969,0.847404785513203,0.0842754116098383,0.716340295229689,0.984489859710526
"159","dep_t",1970,0.796601253482413,0.0772333154105465,0.682563510944749,0.924302533972221
"160","dep_t",1971,0.81014190710601,0.0751889619702866,0.697848715364232,0.937143479596305
