"","variable","year","mean","sd","lower","upper"
"1","b_t",2005,746.292143404922,3082.88452187172,68.9090767585899,2273.68588710965
"2","b_t",2006,1097.1436780206,5201.83281996468,80.1098441590551,3289.84223445895
"3","b_t",2007,1032.84050990859,4688.11593842585,71.1513566797546,3241.98011804501
"4","b_t",2008,854.154060306,3676.35997833648,57.1008621910256,2655.91691756379
"5","b_t",2009,807.096687525869,3470.70942667622,52.980372873159,2542.20620479421
"6","b_t",2010,684.842126049511,3172.9815657459,47.6366737976905,2164.35034042634
"7","b_t",2011,780.745682039568,3586.25103252015,53.6121165067618,2436.86288665052
"8","b_t",2012,833.355235815932,3482.20751294396,60.0036357841675,2726.27708419068
"9","b_t",2013,1145.68814175316,4864.29750039278,78.3057952665168,3595.19142662469
"10","b_t",2014,859.976963568017,3975.58278539694,56.5894860972908,2612.16413150285
"11","b_t",2015,915.482907006794,4386.81609691297,57.7281839792691,2700.37505043148
"12","b_t",2016,858.40216101564,4102.72845323655,47.4332001934015,2591.74491679849
"13","b_t",2017,743.127230646013,4058.022809241,42.3620484304895,2060.04858983233
"14","b_t",2018,551.512310939995,2387.48479149069,37.2014084440095,1657.80746358128
"15","bmsy",2005,497.829133008217,2051.6199341243,48.5648347742428,1503.97874106789
"16","ck",2005,0.059221774787132,0.0391770748556547,0.00398942109115274,0.12354618373924
"17","ck",2006,0.118443549574264,0.0783541497113093,0.00797884218230548,0.24709236747848
"18","ck",2007,0.128313845372119,0.0848836621872518,0.00864374569749761,0.267683398101686
"19","ck",2008,0.0838975142817704,0.0555008560455108,0.00565167987913305,0.175023760297256
"20","ck",2009,0.0789623663828427,0.0522360998075396,0.00531922812153699,0.164728244985653
"21","ck",2010,0.0641569226860597,0.0424418310936259,0.0043218728487488,0.133841699050843
"22","ck",2011,0.0789623663828427,0.0522360998075396,0.00531922812153699,0.164728244985653
"23","ck",2012,0.074027218483915,0.0489713435695683,0.00498677636394093,0.15443272967405
"24","ck",2013,0.157924732765685,0.104472199615079,0.010638456243074,0.329456489971306
"25","ck",2014,0.0789623663828427,0.0522360998075396,0.00531922812153699,0.164728244985653
"26","ck",2015,0.103638105877481,0.0685598809973957,0.0069814869095173,0.21620582154367
"27","ck",2016,0.0838975142817704,0.0555008560455108,0.00565167987913305,0.175023760297256
"28","ck",2017,0.0838975142817704,0.0555008560455108,0.00565167987913305,0.175023760297256
"29","ck",2018,1.16469490414693,0.770482472161208,0.0784586147926706,2.42974161353838
"30","crashed",2005,0,0,0,0
"31","delta",2005,100,0,100,100
"32","dep_t",2005,0.735401824084001,0.0725414097344785,0.625919180249557,0.852737831383926
"33","dep_t",2006,0.976280268573814,0.194930948664211,0.704701559210409,1.32345935151078
"34","dep_t",2007,0.898680786627198,0.191315098575433,0.629296741532093,1.22387058046313
"35","dep_t",2008,0.754915141451513,0.169884866312544,0.512721326533832,1.04222640698202
"36","dep_t",2009,0.704151165497198,0.165278345546196,0.474529750012968,0.984834168232449
"37","dep_t",2010,0.609819516236054,0.140500771957673,0.41973825630048,0.849650149972576
"38","dep_t",2011,0.687966867726403,0.161521556402504,0.469207830047272,0.972241181381996
"39","dep_t",2012,0.750450912562699,0.160814874115595,0.516624764276189,1.02402263917552
"40","dep_t",2013,1.01525455086917,0.238005930038515,0.671346211862462,1.42377842576186
"41","dep_t",2014,0.742289099749785,0.164568118338414,0.509711368785468,1.02182514058156
"42","dep_t",2015,0.78093545041193,0.189485346981666,0.514981081892502,1.11273780785786
"43","dep_t",2016,0.704565026304879,0.248753367182367,0.410578841642199,1.11694069408867
"44","dep_t",2017,0.616815789745278,0.212488046112025,0.356865468739083,0.965493284259237
"45","dep_t",2018,0.506394026343814,0.128258257493674,0.31741069829459,0.72449483431116
"46","growth_t",2005,0.123831224687812,0.0343259372967634,0.0720666392504613,0.179284442078974
"47","growth_t",2006,-0.00985853908676296,0.14228685407724,-0.280045621908201,0.139127990148979
"48","growth_t",2007,0.0351236271781633,0.123025660984215,-0.179012150124545,0.16342488763928
"49","growth_t",2008,0.101490465697566,0.0776418573494745,-0.0311849411191303,0.188494995126075
"50","growth_t",2009,0.117381345232048,0.0647595859460713,0.0103684666007772,0.190374755560949
"51","growth_t",2010,0.142316530567566,0.0472568459332099,0.0790928120153507,0.203106502347099
"52","growth_t",2011,0.122480029872876,0.0647794813272681,0.0178069431980438,0.192069226927358
"53","growth_t",2012,0.105249541633607,0.0685352365544852,-0.0143023028941663,0.183565346450371
"54","growth_t",2013,-0.049307081653103,0.191773742169951,-0.404344120664619,0.140670068827583
"55","growth_t",2014,0.107838734326004,0.0707984094442004,-0.0137864995964633,0.189556535604837
"56","growth_t",2015,0.0872650850109246,0.0954162660144256,-0.0800239035429136,0.181934143364918
"57","growth_t",2016,0.0919593873939214,0.18496725385673,-0.0920990014609094,0.191947375390222
"58","growth_t",2017,0.12237860827557,0.111783329304839,0.0174356343573357,0.196493785981967
"59","growth_t",2018,0.152455380913338,0.0323667339275153,0.106106720218486,0.205634029568737
"60","index_hat_t",2005,746.292143404922,3082.88452187172,68.9090767585899,2273.68588710965
"61","index_hat_t",2006,1097.1436780206,5201.83281996468,80.1098441590551,3289.84223445895
"62","index_hat_t",2007,1032.84050990859,4688.11593842585,71.1513566797546,3241.98011804501
"63","index_hat_t",2008,854.154060306,3676.35997833648,57.1008621910256,2655.91691756379
"64","index_hat_t",2009,807.096687525869,3470.70942667622,52.980372873159,2542.20620479421
"65","index_hat_t",2010,684.842126049511,3172.9815657459,47.6366737976905,2164.35034042634
"66","index_hat_t",2011,780.745682039568,3586.25103252015,53.6121165067618,2436.86288665052
"67","index_hat_t",2012,833.355235815932,3482.20751294396,60.0036357841675,2726.27708419068
"68","index_hat_t",2013,1145.68814175316,4864.29750039278,78.3057952665168,3595.19142662469
