"","variable","year","mean","sd","lower","upper"
"1","b_t",2001,6562.05355257583,4324.33477600645,2281.9968088386,13976.778198206
"2","b_t",2002,4842.78131717739,4470.35978836327,1116.34821438893,12011.3765729772
"3","b_t",2003,4587.63876580996,4690.15141411098,913.884135279941,11900.4879256484
"4","b_t",2004,4382.87979877067,4223.8407135519,820.607098131022,12153.3655416943
"5","b_t",2005,3884.12793718495,3895.59685584011,684.998403159289,10365.5634111189
"6","b_t",2006,3206.42507835019,3082.98566973622,559.078238610226,8624.33549229734
"7","b_t",2007,2660.572292451,2474.75844615607,499.865033487517,6999.71002738965
"8","b_t",2008,2505.64283811766,2614.08218785807,443.233380232835,6434.68153129746
"9","b_t",2009,2529.18033653354,2831.27981577284,460.81698534903,7443.59330167479
"10","b_t",2010,2159.19606486202,2202.40588463507,394.965305213352,6238.52807122059
"11","b_t",2011,1999.40170566365,2063.56507547682,377.944119195363,5737.45344457803
"12","b_t",2012,1772.28087618624,1578.1431468736,353.655109686784,4854.89953426392
"13","b_t",2013,2338.05631693571,2229.76878553411,482.696275022867,5915.02563649176
"14","b_t",2014,3667.9648024671,3752.7532760139,768.686168498255,8781.35294050112
"15","b_t",2015,16197.0496887102,13531.3570992258,3977.82672679543,39263.3178437843
"16","b_t",2016,8435.46812822768,8116.60745634104,2290.89826195098,20537.4560968856
"17","b_t",2017,6061.62253913549,6190.81950972672,1886.33998612415,14859.3506888021
"18","b_t",2018,3270.59718617183,2518.5466200055,950.202138217324,7417.26677454959
"19","bmsy",2001,4371.39558315025,2816.57054921945,1583.34773785196,9058.64766758194
"20","ck",2001,0.0106691485927583,0.00628836543242407,0.00375331965018081,0.0214734923330029
"21","ck",2002,0.0042362795883011,0.00249685098052132,0.00149028868463061,0.00852623960280998
"22","ck",2003,0.00549147354039032,0.00323665867845357,0.00193185570229894,0.0110525328184574
"23","ck",2004,0.00549147354039032,0.00323665867845357,0.00193185570229894,0.0110525328184574
"24","ck",2005,0.00470697732033456,0.00277427886724591,0.00165587631625624,0.00947359955867775
"25","ck",2006,0.0039224811002788,0.00231189905603826,0.00137989693021353,0.00789466629889813
"26","ck",2007,0.0039224811002788,0.00231189905603826,0.00137989693021353,0.00789466629889813
"27","ck",2008,0.00329488412423419,0.00194199520707214,0.00115911342137937,0.00663151969107443
"28","ck",2009,0.00345178336824534,0.00203447116931367,0.00121430929858791,0.00694730634303035
"29","ck",2010,0.00329488412423419,0.00194199520707214,0.00115911342137937,0.00663151969107443
"30","ck",2011,0.00282418639220074,0.00166456732034755,0.000993525789753743,0.00568415973520665
"31","ck",2012,0.00172589168412267,0.00101723558465683,0.000607154649293954,0.00347365317151518
"32","ck",2013,0.00282418639220074,0.00166456732034755,0.000993525789753743,0.00568415973520665
"33","ck",2014,0.00219658941615613,0.00129466347138143,0.000772742280919578,0.00442101312738295
"34","ck",2015,0.158625135695275,0.0934931978261873,0.0558030318578352,0.31926030512744
"35","ck",2016,0.163802810747643,0.0965449045801578,0.0576244958057171,0.329681264641986
"36","ck",2017,0.198320644430096,0.116889616273294,0.0697675887915961,0.399154328072289
"37","ck",2018,0.205851808142631,0.121328462460888,0.0724169908976061,0.414312087366174
"38","crashed",2001,0,0,0,0
"39","delta",2001,100,0,100,100
"40","dep_t",2001,0.748591787959136,0.0726668323110147,0.639661748479976,0.871381136305632
"41","dep_t",2002,0.548157852811074,0.287456343646191,0.217544848326563,1.03104198170696
"42","dep_t",2003,0.515200012218251,0.309042432162073,0.183413173797706,1.07541734735514
"43","dep_t",2004,0.49874355076421,0.316549042933481,0.162743454164945,1.03707073213615
"44","dep_t",2005,0.439043301860637,0.290546470342354,0.134461585077646,0.940823653555771
"45","dep_t",2006,0.362864261192141,0.219336748150794,0.10500232918761,0.769815323201017
"46","dep_t",2007,0.301704228837152,0.177225277386343,0.0979382964923332,0.624837734679965
"47","dep_t",2008,0.279775798965808,0.172831030418549,0.0895831804819176,0.613494326524362
"48","dep_t",2009,0.278774270709246,0.195251761600954,0.0907810088813177,0.614504071121975
"49","dep_t",2010,0.240873259590043,0.152302305300566,0.0765701692756726,0.550583750457988
"50","dep_t",2011,0.225314483308672,0.151406222371066,0.0718892157839303,0.501027818831215
"51","dep_t",2012,0.204889537618774,0.127811648359403,0.0689519441272831,0.417744108727839
"52","dep_t",2013,0.264234209905676,0.158611184005077,0.0894904005450893,0.533376075395965
"53","dep_t",2014,0.414568870513348,0.230510058712897,0.142732098689991,0.814048980056688
"54","dep_t",2015,1.83233816900261,0.740285911395165,0.742829392613578,3.07816039843817
"55","dep_t",2016,1.01042590596389,0.600797968983874,0.349036002031007,2.13479730953349
"56","dep_t",2017,0.72986891554762,0.471468415792577,0.279382163990746,1.59904259503376
"57","dep_t",2018,0.368538680992864,0.0995261296482846,0.235211996363481,0.545891833673228
"58","growth_t",2001,0.0668488025585243,0.019619172653249,0.0373494174253135,0.0979867416855598
"59","growth_t",2002,0.0610629188075195,0.0902923382381279,-0.0122388394093098,0.110821749301862
"60","growth_t",2003,0.056629073593316,0.0983897305804062,-0.0282400648891259,0.112190486204478
"61","growth_t",2004,0.0543112543385442,0.11456821116303,-0.0160581355882289,0.108718935741198
"62","growth_t",2005,0.0593167814650501,0.105446342109921,0.0166451227878415,0.108123380904792
"63","growth_t",2006,0.066864019743289,0.0297455669844384,0.0276105589919336,0.105586248751137
"64","growth_t",2007,0.065312926825439,0.0248304951676027,0.0293460232379208,0.106660341822957
"65","growth_t",2008,0.0624820900691455,0.0245537269175387,0.0259840541694041,0.102926856972215
"66","growth_t",2009,0.0594814040849609,0.0503894198197883,0.0269170663588611,0.0979652552914785
"67","growth_t",2010,0.0581558655430902,0.0248297337717597,0.023431038117805,0.100679377668883
"68","growth_t",2011,0.0553596424656468,0.0247439295876534,0.0226976440467502,0.0960457319380115
"69","growth_t",2012,0.0532104181749297,0.0230111230631338,0.0221562396143984,0.0953997869622275
"70","growth_t",2013,0.061511797375969,0.0290023628269298,0.0267579167923644,0.1031245601202
"71","growth_t",2014,0.0694607921114488,0.0476319383444705,0.0316153783922315,0.111984244546751
"72","growth_t",2015,-0.723131864245381,0.746844462215879,-2.27038203395159,0.0675572693207159
"73","growth_t",2016,-0.120341551030307,0.417123983919796,-0.859283667027683,0.105328819947014
"74","growth_t",2017,-0.00823765472809258,0.314646786432657,-0.352627678979273,0.111312197534623
"75","growth_t",2018,0.0814328031378426,0.0188387784049172,0.0545394716291796,0.113441483160826
"76","index_hat_t",2001,6562.05355257583,4324.33477600645,2281.9968088386,13976.778198206
"77","index_hat_t",2002,4842.78131717739,4470.35978836327,1116.34821438893,12011.3765729772
"78","index_hat_t",2003,4587.63876580996,4690.15141411098,913.884135279941,11900.4879256484
"79","index_hat_t",2004,4382.87979877067,4223.8407135519,820.607098131022,12153.3655416943
"80","index_hat_t",2005,3884.12793718495,3895.59685584011,684.998403159289,10365.5634111189
"81","index_hat_t",2006,3206.42507835019,3082.98566973622,559.078238610226,8624.33549229734
"82","index_hat_t",2007,2660.572292451,2474.75844615607,499.865033487517,6999.71002738965
"83","index_hat_t",2008,2505.64283811766,2614.08218785807,443.233380232835,6434.68153129746
"84","index_hat_t",2009,2529.18033653354,2831.27981577284,460.81698534903,7443.59330167479
"85","index_hat_t",2010,2159.19606486202,2202.40588463507,394.965305213352,6238.52807122059
"86","index_hat_t",2011,1999.40170566365,2063.56507547682,377.944119195363,5737.45344457803
"87","index_hat_t",2012,1772.28087618624,1578.1431468736,353.655109686784,4854.89953426392
"88","index_hat_t",2013,2338.05631693571,2229.76878553411,482.696275022867,5915.02563649176
"89","index_hat_t",2014,3667.9648024671,3752.7532760139,768.686168498255,8781.35294050112
"90","index_hat_t",2015,16197.0496887102,13531.3570992258,3977.82672679543,39263.3178437843
"91","index_hat_t",2016,8435.46812822768,8116.60745634104,2290.89826195098,20537.4560968856
"92","index_hat_t",2017,6061.62253913549,6190.81950972672,1886.33998612415,14859.3506888021
"93","index_hat_t",2018,3270.59718617183,2518.5466200055,950.202138217324,7417.26677454959
"94","k",2001,8742.79116630049,5633.1410984389,3166.69547570392,18117.2953351639
"95","log_b",2001,8.61892567957347,0.574469370463204,7.7328058819199,9.54515247835404
"96","log_b",2002,8.19280647756028,0.754142318927487,7.01781809749237,9.39360689832542
"97","log_b",2003,8.09580175393758,0.80295270691721,6.81770334326767,9.3843346570749
"98","log_b",2004,8.04437945449648,0.827894414720611,6.7100443277933,9.40536134138783
"99","log_b",2005,7.90471503497683,0.851449956904606,6.52941646638832,9.24624384409472
"100","log_b",2006,7.71931194888097,0.850842205409105,6.3262894250302,9.06234319456017
"101","log_b",2007,7.54767741781098,0.82990915908749,6.21433812187608,8.85362384329498
"102","log_b",2008,7.46577554671678,0.848294356922324,6.09409644898464,8.76945729305656
"103","log_b",2009,7.44980899755269,0.853137213316808,6.13300071537717,8.91510886373594
"104","log_b",2010,7.3113187504758,0.849125418670089,5.97879790515277,8.73849949485227
"105","log_b",2011,7.24206029047444,0.835399266034074,5.93474631887536,8.65477057682525
"106","log_b",2012,7.15987274293659,0.804830314437454,5.86832212713048,8.48774367798979
"107","log_b",2013,7.42520089477703,0.809972020002312,6.17938709973443,8.6852511051576
"108","log_b",2014,7.88984488451488,0.787518253739493,6.64468252436814,9.08037535294534
"109","log_b",2015,9.426090006817,0.723078190548755,8.28849028074341,10.5780451122277
"110","log_b",2016,8.76402372783143,0.705449115318223,7.7366992724362,9.93000263418699
"111","log_b",2017,8.44647166924142,0.666025548169824,7.54239343849226,9.60638406247663
"112","log_b",2018,7.87995469394224,0.642217888663378,6.8566747269886,8.91156562292566
"113","log_b_div_bmsy",2001,0.398901002940072,0.0968058674767766,0.246331403506297,0.555471367429297
"114","log_b_div_bmsy",2002,-0.0272181990731173,0.487873337959402,-0.832203076774744,0.723717041201567
"115","log_b_div_bmsy",2003,-0.124222922695823,0.554720292622623,-1.00286671172803,0.765855949989443
"116","log_b_div_bmsy",2004,-0.175645222136923,0.59247291453397,-1.12243310204007,0.729546839289524
"117","log_b_div_bmsy",2005,-0.315309641656571,0.616994397419028,-1.31332957011539,0.632147298354517
"118","log_b_div_bmsy",2006,-0.500712727752431,0.620683928031684,-1.56062618769892,0.431542515127251
"119","log_b_div_bmsy",2007,-0.672347258822423,0.593755384398405,-1.63027138076684,0.222883686611831
"120","log_b_div_bmsy",2008,-0.754249129916622,0.597953378555911,-1.7194410026609,0.204561456489659
"121","log_b_div_bmsy",2009,-0.77021567908071,0.603967077984019,-1.70615832514246,0.206207085611763
"122","log_b_div_bmsy",2010,-0.908705926157601,0.603840912878687,-1.87640205680053,0.0963709814243491
"123","log_b_div_bmsy",2011,-0.977964386158965,0.59714263077064,-1.93948244246959,0.00205350490990803
"124","log_b_div_bmsy",2012,-1.06015193369681,0.58342133022447,-1.98119832323553,-0.179739033433107
"125","log_b_div_bmsy",2013,-0.794823781856366,0.56647585239396,-1.72047764086446,0.0646186532389466
"126","log_b_div_bmsy",2014,-0.330179792118516,0.546367871587007,-1.25363949203773,0.48741242575885
"127","log_b_div_bmsy",2015,1.2060653301836,0.452242726109102,0.395858299051024,1.81747898362875
"128","log_b_div_bmsy",2016,0.543999051198026,0.569808018807272,-0.359433074793399,1.45151867840012
"129","log_b_div_bmsy",2017,0.226446992608014,0.529362690959887,-0.582027490463236,1.16255211646801
"130","log_b_div_bmsy",2018,-0.340069982691158,0.264149292509278,-0.754120958783408,0.0878125854666389
"131","log_c_div_msy",2001,-2.28047381653137,0.605495517157235,-3.23411821179128,-1.38887075647078
"132","log_c_div_msy",2002,-3.20414465570315,0.605495517157235,-4.15778905096306,-2.31254159564256
"133","log_c_div_msy",2003,-2.94463346021807,0.605495517157235,-3.89827785547797,-2.05303040015748
"134","log_c_div_msy",2004,-2.94463346021807,0.605495517157235,-3.89827785547797,-2.05303040015748
"135","log_c_div_msy",2005,-3.09878414004532,0.605495517157235,-4.05242853530523,-2.20718107998474
"136","log_c_div_msy",2006,-3.28110569683928,0.605495517157235,-4.23475009209919,-2.38950263677869
"137","log_c_div_msy",2007,-3.28110569683928,0.605495517157235,-4.23475009209919,-2.38950263677869
"138","log_c_div_msy",2008,-3.45545908398406,0.605495517157235,-4.40910347924396,-2.56385602392347
"139","log_c_div_msy",2009,-3.40893906834916,0.605495517157235,-4.36258346360907,-2.51733600828858
"140","log_c_div_msy",2010,-3.45545908398406,0.605495517157235,-4.40910347924396,-2.56385602392347
"141","log_c_div_msy",2011,-3.60960976381131,0.605495517157235,-4.56325415907122,-2.71800670375073
"142","log_c_div_msy",2012,-4.10208624890911,0.605495517157235,-5.05573064416902,-3.21048318884852
"143","log_c_div_msy",2013,-3.60960976381131,0.605495517157235,-4.56325415907122,-2.71800670375073
"144","log_c_div_msy",2014,-3.86092419209222,0.605495517157235,-4.81456858735213,-2.96932113203163
"145","log_c_div_msy",2015,0.418713697312992,0.605495517157235,-0.534930697946917,1.31031675737358
"146","log_c_div_msy",2016,0.450833246735104,0.605495517157235,-0.502811148524804,1.34243630679569
"147","log_c_div_msy",2017,0.642055052999323,0.605495517157235,-0.311589342260585,1.53365811305991
"148","log_c_div_msy",2018,0.679326447796555,0.605495517157235,-0.274317947463354,1.57092950785714
"149","log_depletion",2001,-0.294246177619873,0.0968058674767766,-0.446815777053648,-0.137675813130648
"150","log_depletion",2002,-0.720365379633063,0.487873337959402,-1.52535025733469,0.0305698606416218
"151","log_depletion",2003,-0.817370103255768,0.554720292622623,-1.69601389228798,0.0727087694294971
"152","log_depletion",2004,-0.868792402696868,0.59247291453397,-1.81558028260002,0.0363996587295784
"153","log_depletion",2005,-1.00845682221652,0.616994397419028,-2.00647675067534,-0.0609998822054283
"154","log_depletion",2006,-1.19385990831238,0.620683928031684,-2.25377336825887,-0.261604665432694
"155","log_depletion",2007,-1.36549443938237,0.593755384398405,-2.32341856132679,-0.470263493948115
"156","log_depletion",2008,-1.44739631047657,0.597953378555911,-2.41258818322084,-0.488585724070286
"157","log_depletion",2009,-1.46336285964065,0.603967077984019,-2.3993055057024,-0.486940094948182
"158","log_depletion",2010,-1.60185310671755,0.603840912878687,-2.56954923736047,-0.596776199135596
"159","log_depletion",2011,-1.67111156671891,0.59714263077064,-2.63262962302953,-0.691093675650037
"160","log_depletion",2012,-1.75329911425675,0.58342133022447,-2.67434550379548,-0.872886213993053
"161","log_depletion",2013,-1.48797096241631,0.56647585239396,-2.41362482142441,-0.628528527320999
"162","log_depletion",2014,-1.02332697267846,0.546367871587007,-1.94678667259768,-0.205734754801096
"163","log_depletion",2015,0.512918149623654,0.452242726109102,-0.297288881508921,1.1243318030688
"164","log_depletion",2016,-0.149148129361919,0.569808018807272,-1.05258025535334,0.758371497840177
"165","log_depletion",2017,-0.466700187951931,0.529362690959887,-1.27517467102318,0.46940493590806
"166","log_depletion",2018,-1.0332171632511,0.264149292509278,-1.44726813934335,-0.605334595093306
"167","log_ihat",2001,8.61892567957347,0.574469370463204,7.7328058819199,9.54515247835404
"168","log_ihat",2002,8.19280647756028,0.754142318927487,7.01781809749237,9.39360689832542
"169","log_ihat",2003,8.09580175393758,0.80295270691721,6.81770334326767,9.3843346570749
"170","log_ihat",2004,8.04437945449648,0.827894414720611,6.7100443277933,9.40536134138783
"171","log_ihat",2005,7.90471503497683,0.851449956904606,6.52941646638832,9.24624384409472
"172","log_ihat",2006,7.71931194888097,0.850842205409105,6.3262894250302,9.06234319456017
"173","log_ihat",2007,7.54767741781098,0.82990915908749,6.21433812187608,8.85362384329498
"174","log_ihat",2008,7.46577554671678,0.848294356922324,6.09409644898464,8.76945729305656
"175","log_ihat",2009,7.44980899755269,0.853137213316808,6.13300071537717,8.91510886373594
"176","log_ihat",2010,7.3113187504758,0.849125418670089,5.97879790515277,8.73849949485227
"177","log_ihat",2011,7.24206029047444,0.835399266034074,5.93474631887536,8.65477057682525
"178","log_ihat",2012,7.15987274293659,0.804830314437454,5.86832212713048,8.48774367798979
"179","log_ihat",2013,7.42520089477703,0.809972020002312,6.17938709973443,8.6852511051576
"180","log_ihat",2014,7.88984488451488,0.787518253739493,6.64468252436814,9.08037535294534
"181","log_ihat",2015,9.426090006817,0.723078190548755,8.28849028074341,10.5780451122277
"182","log_ihat",2016,8.76402372783143,0.705449115318223,7.7366992724362,9.93000263418699
"183","log_ihat",2017,8.44647166924142,0.666025548169824,7.54239343849226,9.60638406247663
"184","log_ihat",2018,7.87995469394224,0.642217888663378,6.8566747269886,8.91156562292566
"185","log_sigma_ratio",2001,0.00219821544981236,0.0523207491508568,-0.0817404174586024,0.0842461727612581
"186","log_u_div_umsy",2001,-2.67937481947145,0.617804912007747,-3.65373438540346,-1.7518316250383
"187","log_u_div_umsy",2002,-3.17692645663003,0.78340249073511,-4.49030893530965,-1.97662017610877
"188","log_u_div_umsy",2003,-2.82041053752224,0.831066935466986,-4.17309597202283,-1.48407641579035
"189","log_u_div_umsy",2004,-2.76898823808114,0.854643018457229,-4.16135079292397,-1.41909979907373
"190","log_u_div_umsy",2005,-2.78347449838875,0.871381746793134,-4.21835178557936,-1.37121575610538
"191","log_u_div_umsy",2006,-2.78039296908685,0.868003462241853,-4.21425234146131,-1.37253450189942
