"","variable","year","mean","sd","lower","upper"
"1","b_t",1951,139653.459188074,217908.46823406,21846.2590383936,438236.310715994
"2","b_t",1952,167603.094961285,265811.722830518,21886.9221230731,556730.377446201
"3","b_t",1953,139266.393224474,224817.295781727,17924.2273170417,447954.894720355
"4","b_t",1954,94489.121147046,156781.031240624,11906.4292967299,299708.461723844
"5","b_t",1955,75080.2541141,120548.760226209,9572.30776310832,240274.573349374
"6","b_t",1956,100961.681146594,155643.616420534,12841.9542293807,319445.258540594
"7","b_t",1957,157237.955238485,248783.177898104,19913.8906889691,527872.802403773
"8","b_t",1958,177552.470054477,306918.610748922,22440.4350104389,569286.548637749
"9","b_t",1959,121667.809321898,225822.441868913,15548.5298582687,402099.402143073
"10","b_t",1960,133852.277078441,224887.320327006,16497.8632540322,434621.947810662
"11","b_t",1961,108794.20114582,172537.539105148,13637.7809896938,337695.072782039
"12","b_t",1962,85336.8572093057,141394.107971041,10503.6075101701,280408.173248631
"13","b_t",1963,79132.0117007306,124026.601718744,9703.8245492205,259400.237377603
"14","b_t",1964,56310.0282854326,89957.6965520992,7006.28727854032,187408.129982139
"15","b_t",1965,48047.9198611508,74484.8764476679,6038.10820675163,164106.259784262
"16","b_t",1966,54043.2378502351,85656.6308603161,6825.35530431659,179027.24534862
"17","b_t",1967,98810.4015343028,159164.640193939,12942.0049018049,314537.506226655
"18","b_t",1968,230901.492521465,382767.035080041,27525.1014253839,751931.378144426
"19","b_t",1969,138338.231857746,239029.520056713,16853.2101315663,437164.113105139
"20","b_t",1970,118148.375791545,191208.715244199,14816.4709012182,389424.06122774
"21","b_t",1971,129127.125346086,214721.101916991,16230.5862257125,436882.669599333
"22","b_t",1972,134254.947638938,222104.023524828,16580.4439815257,454285.844242473
"23","b_t",1973,153204.051379566,261462.456545816,19486.7969309326,507650.365208842
"24","b_t",1974,141069.731557068,239091.962776428,18189.6431779743,453975.91242019
"25","b_t",1975,139453.975913652,222357.75782708,18505.9776505821,445457.112183834
"26","b_t",1976,139962.879844323,229262.148484865,18187.6567375749,454281.821558964
"27","b_t",1977,166546.104435184,263049.122537988,20825.935472064,540917.082085081
"28","b_t",1978,180165.865588417,274908.132991285,23160.961946747,580270.690687122
"29","b_t",1979,192235.272266654,296820.568815238,25481.8892177964,612507.780087984
"30","b_t",1980,206735.282411256,338075.901608518,26938.6326399118,669446.626328358
"31","b_t",1981,196682.542863276,305372.785502546,26678.6744694137,647705.668377782
"32","b_t",1982,188528.958180654,307343.753906194,24389.5352820091,642141.419820609
"33","b_t",1983,173131.619125623,272027.829947089,22562.6943062394,555759.324716811
"34","b_t",1984,165102.368555175,255026.165186614,21195.1998569565,547354.202557797
"35","b_t",1985,169587.679029901,288302.847582074,21514.9408149686,536209.566973193
"36","b_t",1986,172919.994949783,286659.400853884,22383.7696742704,556375.331671084
"37","b_t",1987,151832.955914283,248508.057722901,19479.2049630776,487535.39932213
"38","b_t",1988,147893.549153896,236055.288903844,19562.4987223984,468136.860676121
"39","b_t",1989,170935.283874515,271708.921376269,22696.3807622011,554643.192932186
"40","b_t",1990,176310.494568169,297592.847324203,23299.4524589043,569581.147330251
"41","b_t",1991,175166.538961548,308462.421742641,22122.8742506,570428.241653145
"42","b_t",1992,182257.635617139,278544.239119501,23639.1612168697,588475.145175369
"43","b_t",1993,216530.577877271,369218.5524045,28558.9347819409,687062.726691849
"44","b_t",1994,267017.939888262,418039.819922399,33559.8173477722,861459.740768507
