"","variable","year","mean","sd","lower","upper"
"1","b_t",1951,312365.15069764,480784.852130378,49108.2368621506,882838.47286651
"2","b_t",1952,198789.846239422,323663.019452454,28212.2781415311,588259.812238025
"3","b_t",1953,144529.381166341,218995.804284077,20312.6380105107,423733.115990216
"4","b_t",1954,123548.543587246,218692.244374132,15953.9565552477,367860.653837951
"5","b_t",1955,107879.021895733,182507.642188434,14326.2486387022,321975.842437139
"6","b_t",1956,118809.609973563,188681.286925829,16292.4824487637,340949.737315608
"7","b_t",1957,147676.680440272,245180.149902242,20071.9471457207,435143.217571909
"8","b_t",1958,278188.434580141,446660.430057883,38111.2269828403,840382.039998555
"9","b_t",1959,408123.594036889,627135.102034246,56668.5933765337,1233137.21640104
"10","b_t",1960,492083.04782955,775078.322565305,66855.3316731547,1475532.20355175
"11","b_t",1961,513648.296174141,891049.94662803,68228.0954355943,1551572.90478217
"12","b_t",1962,682280.244816788,1067113.76020031,91391.731758753,2081330.40085971
"13","b_t",1963,651117.887254961,1095243.75710152,87617.8007284663,1949853.04561122
"14","b_t",1964,700209.215304561,1113988.91013013,95444.4386330533,2080124.23593967
"15","b_t",1965,601339.376909972,946322.861888787,81433.4520538301,1850513.35249474
"16","b_t",1966,567687.65745551,904063.481094581,78975.7105340691,1708127.26169437
"17","b_t",1967,751371.265552572,1263267.61429986,103169.210524423,2258973.22178557
"18","b_t",1968,775376.853138603,1198256.81858325,107136.966898919,2259454.69886111
"19","b_t",1969,840311.624871043,1366553.17424747,112101.722459174,2469268.24352033
"20","b_t",1970,781412.138290409,1226465.31546139,103080.502205571,2281135.23338026
"21","b_t",1971,733710.51522413,1080773.05587324,101997.697996656,2111742.650608
"22","b_t",1972,743567.125224349,1178744.02283324,102248.686856657,2175601.87431792
"23","b_t",1973,710445.214406668,1091960.57153925,95323.0196258085,2142952.18769457
"24","b_t",1974,625406.722547268,958373.013711765,87214.3288628952,1840319.54222525
"25","b_t",1975,596373.99359963,936545.81264559,83244.2713619124,1775214.49799232
"26","b_t",1976,585767.610955211,981179.286255539,80895.5130585678,1761890.30334021
"27","b_t",1977,670847.159826788,1090559.90459868,89834.9483043658,2015562.38969519
"28","b_t",1978,682995.436390353,1040491.42922072,93370.0718938284,2041893.56617818
"29","b_t",1979,659905.851450262,953631.603133266,96559.5247107726,2058216.25092829
"30","b_t",1980,662302.734618906,984134.127515506,92868.7683019575,2044071.48113722
"31","b_t",1981,610487.718947701,936429.188218829,84992.9574817079,1812509.68882623
"32","b_t",1982,597029.101588351,952010.841031985,84464.2426602023,1756414.41046057
"33","b_t",1983,670339.227055018,1093614.26796769,91379.4501217503,1998463.73521978
"34","b_t",1984,869029.652323104,1457517.84379312,122273.424072827,2547240.49606243
"35","b_t",1985,969470.507423973,1429603.4699721,137821.225400992,2892706.86057016
"36","b_t",1986,944704.400947286,1459612.84846962,129918.670838179,2804380.81450975
"37","b_t",1987,826499.541011186,1354958.36679606,114270.77423723,2476582.01470875
"38","b_t",1988,747261.604237747,1200577.41618144,108081.116238286,2195732.05659524
"39","b_t",1989,805135.384531089,1313002.36175285,107417.375729553,2342346.67727701
"40","b_t",1990,1011307.67407351,1665179.11023979,139579.973742384,2939241.29201744
"41","b_t",1991,835016.727138196,1333576.12572467,115883.841575194,2385470.6856629
"42","b_t",1992,856814.266363417,1286087.40591204,114925.976967451,2525950.8837509
"43","b_t",1993,687530.63335613,1157367.49809676,92545.5300624371,2062266.07673624
"44","b_t",1994,684798.261768826,1091947.14779556,88683.1255447018,2092411.46649867
"45","b_t",1995,594713.045328923,880861.762516039,78871.9585472728,1801045.29623006
"46","b_t",1996,459494.293885573,694520.251725808,61320.0832611209,1427631.31475701
"47","b_t",1997,366972.677555183,596810.725507386,50092.6439599332,1096263.83105303
"48","b_t",1998,293395.865622832,454995.655440846,41487.2401740646,893985.900418911
"49","b_t",1999,275577.836288367,466725.302525746,38102.12304298,832334.818087222
"50","b_t",2000,266590.617490673,463172.450903488,35637.2938532339,829113.141662207
"51","b_t",2001,214533.370279079,365502.440007116,28506.2356654468,623561.309258367
"52","b_t",2002,212812.940118368,340240.311347617,27937.7235665281,639671.503317656
"53","b_t",2003,211891.850966683,330087.046811098,29707.8080670082,647827.862861347
"54","b_t",2004,222616.942632283,337087.97192064,30451.9751372924,691063.458660238
"55","b_t",2005,233578.970355865,359764.592640388,30691.2306609414,712648.820969196
"56","b_t",2006,253113.319449452,396335.276676898,33432.3802622958,765580.875508642
"57","b_t",2007,305478.689986667,503966.060412143,41767.2352072311,887695.935603296
"58","b_t",2008,367229.976248828,586772.934214251,50291.4987585857,1123845.70130766
"59","b_t",2009,323408.181820516,517076.61213164,44423.9678317935,964169.132382703
"60","b_t",2010,277360.182067354,419327.639417644,38441.5196844059,843398.444731867
"61","b_t",2011,250203.739272284,390306.605967148,33653.9617096763,765039.955844016
"62","b_t",2012,240437.130349822,397068.77226254,32697.655748652,735227.393474179
"63","b_t",2013,228920.103232894,345863.947077815,31798.1341196393,677354.243179299
"64","b_t",2014,225132.098155906,342039.922046168,31191.347345746,682491.76627852
"65","b_t",2015,215185.641081307,343426.93034274,29052.0929228253,635765.715064778
"66","b_t",2016,220767.534748769,377222.492293371,28101.9188282025,648898.955979671
"67","b_t",2017,220011.189586292,422258.699190008,28072.2822948727,641410.354074846
"68","b_t",2018,208177.073624223,347788.342586322,28571.7495176153,629093.097360917
