"","variable","year","mean","sd","lower","upper"
"1","b_t",1959,221509.628895116,345683.759744435,31837.98693801,730340.219400454
"2","b_t",1960,205586.221837686,323797.731575422,27213.7672636878,711605.802519229
"3","b_t",1961,204858.538444401,330035.037888431,27377.0089322542,697021.877584068
"4","b_t",1962,257878.879309856,416466.711071867,32951.0746651142,849401.130096221
"5","b_t",1963,270511.24079899,433412.663388686,34959.9035506205,915534.709541492
"6","b_t",1964,295566.801853456,483876.261327602,38332.398698399,968796.684382718
"7","b_t",1965,290509.33031262,465228.992348703,37611.0828448499,967514.414494909
"8","b_t",1966,277283.327307088,439392.249838013,35759.9978763884,905019.509274094
"9","b_t",1967,240544.365988099,383831.498073318,31196.326544438,783077.371253827
"10","b_t",1968,231996.451474885,369722.167771113,29819.0900785439,769067.531918462
"11","b_t",1969,259629.015795152,411289.515085142,33405.8291896935,866782.922002654
"12","b_t",1970,270959.553093875,423266.160120356,35196.1410299286,918850.14315814
"13","b_t",1971,309821.545099727,487135.549988804,40530.0835283863,1040146.72925404
"14","b_t",1972,378652.889097531,599895.884684814,50360.6193548699,1221271.52595957
"15","b_t",1973,459763.574349386,739645.412380165,59501.5361315643,1514849.38951608
"16","b_t",1974,385458.454379602,611214.660706408,49731.2360662691,1253694.83803085
"17","b_t",1975,355931.056147136,570834.926028201,45646.9810338651,1138403.0396727
"18","b_t",1976,347690.729173856,569581.355007612,45242.6738076883,1156793.94449338
"19","b_t",1977,389266.626175522,616663.648748345,49715.8386957959,1286219.78493415
"20","b_t",1978,386586.028499875,601645.736185925,50731.5768202857,1261763.34646146
"21","b_t",1979,393004.312031443,620913.719157716,50408.0581318153,1291920.1671199
"22","b_t",1980,385614.605011914,614692.259739978,48960.9510360622,1314434.67833455
"23","b_t",1981,335028.548036951,530547.070643325,43018.7525121589,1092524.7339845
"24","b_t",1982,353416.492476883,559944.647800058,44941.5670840098,1173198.20636346
"25","b_t",1983,312793.719522527,495027.635268797,40684.6526305833,1024882.20672415
"26","b_t",1984,344118.32381251,549194.976239556,44588.1196213897,1117198.14183152
"27","b_t",1985,411856.127582044,649472.182777835,54670.2778457481,1381126.74873773
"28","b_t",1986,396307.694327184,611594.116276575,52003.0426690547,1360585.00435501
"29","b_t",1987,359398.727894302,565914.568527266,47446.2769377801,1244236.49349489
"30","b_t",1988,307459.101128638,498898.850455776,39178.0678120324,1007290.70587068
"31","b_t",1989,307975.49865707,508323.614615551,39732.1032018702,1042982.30008056
"32","b_t",1990,283675.325166092,455535.618649511,36648.5744180027,930213.160112703
"33","b_t",1991,288902.151112293,454564.046794763,37847.7940079913,962741.113118609
"34","b_t",1992,317405.04113573,511757.955731807,41968.9275083553,1101320.71025925
"35","b_t",1993,357753.815070275,592914.980407509,46393.1206539584,1234599.18090253
"36","b_t",1994,370698.727367531,610505.206245718,48366.4129271409,1252991.76929448
"37","b_t",1995,451625.417132873,723969.735051345,60275.6858732166,1596552.15957935
"38","b_t",1996,361943.180525377,571489.280968981,48105.5169794878,1223855.82284446
"39","b_t",1997,345230.47348913,534631.508879584,44448.7001261524,1188847.50698825
"40","b_t",1998,325660.274443895,504305.979763913,42510.674035148,1103305.97861295
"41","b_t",1999,352807.89129979,559659.339590897,47522.9220508251,1192290.14872798
"42","b_t",2000,405407.455104629,661410.886709015,53186.5384669688,1316969.12131124
"43","b_t",2001,445031.948963666,703431.617736388,59116.5167782932,1399612.08385631
"44","b_t",2002,528698.093981955,829599.226744163,70161.4714314252,1777368.17566898
"45","b_t",2003,514836.308360601,825421.487960617,68193.1505347603,1706269.05780099
"46","b_t",2004,486110.795936319,759599.789418346,61422.2161393797,1713234.95306696
"47","b_t",2005,329217.315630855,524987.820631995,42517.3361107377,1066856.48829545
"48","b_t",2006,327970.603379148,529076.077753462,42639.8493500076,1059989.83463396
"49","b_t",2007,272387.736155504,440732.041019051,34223.7832522247,924551.430711247
"50","b_t",2008,239587.831886411,383351.864472112,30847.9669668589,782288.301308199
"51","b_t",2009,230995.011511521,373807.249297676,29908.7457920383,788356.619935919
"52","b_t",2010,207064.948061683,331920.507235456,27125.7334188223,689132.82816576
"53","b_t",2011,182310.538827527,301164.072777419,23223.2151377121,633598.328193642
"54","b_t",2012,169035.417796406,273604.306718774,21452.648503572,574126.568334659
"55","b_t",2013,156002.388957887,249211.114166067,19979.6223712843,504804.6692267
"56","b_t",2014,143999.461476343,228360.048408971,18543.1858318469,468696.015739148
"57","b_t",2015,130725.200862773,214451.682246659,16539.7316497688,425882.735539697
"58","b_t",2016,144150.190038685,243273.705338341,17155.73476037,481209.532735364
"59","b_t",2017,153138.055877202,256965.348361087,18504.0264925038,508073.063894901
"60","b_t",2018,159193.42573202,265157.097271521,19748.8855062486,548945.657042161
"61","bmsy",1959,171460.34450586,268807.280150828,25556.8464963902,569446.534486116
"62","ck",1959,0.00453455262063498,0.00373162149080754,0.000526827446159378,0.0117385471397164
"63","ck",1960,0.00529031139074081,0.00435355840594213,0.000614632020519274,0.0136949716630025
"64","ck",1961,0.0075575877010583,0.00621936915134591,0.000878045743598963,0.0195642452328607
"65","ck",1962,0.00680182893095247,0.00559743223621131,0.000790241169239067,0.0176078207095746
"66","ck",1963,0.00604607016084664,0.00497549532107672,0.00070243659487917,0.0156513961862886
"67","ck",1964,0.0075575877010583,0.00621936915134591,0.000878045743598963,0.0195642452328607
"68","ck",1965,0.00906910524126996,0.00746324298161509,0.00105365489231876,0.0234770942794329
"69","ck",1966,0.00982486401137579,0.00808517989674968,0.00114145946667865,0.0254335188027189
"70","ck",1967,0.0075575877010583,0.00621936915134591,0.000878045743598963,0.0195642452328607
"71","ck",1968,0.0075575877010583,0.00621936915134591,0.000878045743598963,0.0195642452328607
"72","ck",1969,0.00831334647116413,0.0068413060664805,0.000965850317958859,0.0215206697561468
"73","ck",1970,0.00740643594703714,0.00609498176831899,0.000860484828726984,0.0191729603282035
"74","ck",1971,0.0087894744963308,0.00723312632301529,0.00102116719980559,0.022753217205817
"75","ck",1972,0.011018962868143,0.00906784022266233,0.00128019069416729,0.0285246695495109
"76","ck",1973,0.0130141660212224,0.0107097536786176,0.00151199477047741,0.0336896302909862
"77","ck",1974,0.0112230177360716,0.00923576318974867,0.00130389792924446,0.0290529041707982
"78","ck",1975,0.0115782243580213,0.00952807353986193,0.00134516607919361,0.0299724236967426
"79","ck",1976,0.0111776722098652,0.00919844697484059,0.00129862965478287,0.028935518699401
"80","ck",1977,0.013346699880069,0.0109834059212769,0.00155062878319577,0.034550457081232
"81","ck",1978,0.0136943489143176,0.0112694969022388,0.00159101888740132,0.0354504123619436
"82","ck",1979,0.0141780345271854,0.0116675365279249,0.00164721381499165,0.0367025240568467
"83","ck",1980,0.0154023637347568,0.012675074330443,0.00178945722545469,0.0398719317845702
"84","ck",1981,0.012190388961807,0.0100318424411209,0.00141628778442513,0.0315571275606043
"85","ck",1982,0.016717383994741,0.0137572445627771,0.00194223718484091,0.0432761104550879
"86","ck",1983,0.0140873434747727,0.0115929040981088,0.00163667726606847,0.0364677531140524
"87","ck",1984,0.0171708392568045,0.0141304067118579,0.00199491992945684,0.0444499651690596
"88","ck",1985,0.0275776375211617,0.0226944780332612,0.00320398891839262,0.0713899308547088
"89","ck",1986,0.0250911911675136,0.0206483055824684,0.00291511186874856,0.0649532941730976
"90","ck",1987,0.0254615129648654,0.0209530546708844,0.00295813611018491,0.0659119421895078
"91","ck",1988,0.0217507374036458,0.0178993444175735,0.00252701565007782,0.0563058977801731
"92","ck",1989,0.0214786642464077,0.0176754471281251,0.00249540600330825,0.0556015849517902
"93","ck",1990,0.01892419960345,0.0155733003549701,0.0021986265419718,0.0489888700630832
"94","ck",1991,0.0211385727998601,0.0173955755163145,0.0024558939448463,0.0547211939163114
"95","ck",1992,0.0234738673994871,0.0193173605840804,0.00272721007961838,0.0607665456932654
"96","ck",1993,0.0301698901026247,0.0248277216521729,0.00350515860844706,0.07810046696958
"97","ck",1994,0.0237308253813231,0.0195288191352261,0.00275706363490074,0.0614317300311827
"98","ck",1995,0.0426928129232783,0.035133216335953,0.00496008040559054,0.11051842132043
"99","ck",1996,0.0283711842297729,0.0233475117941525,0.00329618372147051,0.0734441766041591
"100","ck",1997,0.0228617027957014,0.0188135916828214,0.00265608837438686,0.0591818418294037
"101","ck",1998,0.0221210592009976,0.0182040935059895,0.00257003989151416,0.0572645457965833
"102","ck",1999,0.0250080577028019,0.0205798925218036,0.00290545336556897,0.0647380874755361
"103","ck",2000,0.0279479593185136,0.0229992271216772,0.00324701315982896,0.0723485788711189
"104","ck",2001,0.0333667497001724,0.0274585148031922,0.00387657195798942,0.0863761427030801
"105","ck",2002,0.043811335903035,0.0360536829703522,0.00509003117564319,0.113413929614894
"106","ck",2003,0.0436299537982096,0.0359044181107199,0.00506895807779681,0.112944387729305
"107","ck",2004,0.0408865494627254,0.0336467871087813,0.00475022747287039,0.105842566709776
"108","ck",2005,0.019438115567122,0.0159962174572617,0.00225833365253653,0.0503192387389178
"109","ck",2006,0.0258847378761247,0.0213013393433597,0.00300730667182645,0.067007539922548
"110","ck",2007,0.0242145109941908,0.0199268587609123,0.00281325856249108,0.0626838417260857
"111","ck",2008,0.0174051244755373,0.0143232071555496,0.00202213934750841,0.0450564567712782
"112","ck",2009,0.0181684408333442,0.0149513634398356,0.00211082196761191,0.0470324455397972
"113","ck",2010,0.019309636576204,0.0158904881816888,0.00224340687489535,0.0499866465699591
"114","ck",2011,0.0144274349213203,0.0118727757099193,0.00167618932453042,0.0373481441495311
"115","ck",2012,0.0131199722490372,0.0107968248467365,0.0015242874108878,0.0339635297242462
"116","ck",2013,0.0126514018115716,0.010411223959353,0.00146984857478466,0.0327505465198088
"117","ck",2014,0.0117822792259499,0.00969599650694826,0.00136887331427078,0.0305006583180299
"118","ck",2015,0.00937896633701335,0.00771823711682027,0.00108965476780631,0.0242792283339802
"119","ck",2016,0.00954583787345272,0.00785556078768198,0.00110904201782498,0.0247112068687217
"120","ck",2017,0.00831425338168826,0.00684205239077866,0.000965955683448091,0.0215230174655747
"121","ck",2018,0.00797325502461651,0.00656143445466993,0.000926338259496906,0.0206402787206681
"122","crashed",1959,0,0,0,0
"123","delta",1959,100,0,100,100
"124","dep_t",1959,0.644302636950877,0.0560630538740325,0.559884635920374,0.738279158549708
"125","dep_t",1960,0.585148737900978,0.0810639459944375,0.465774698933054,0.723209574446819
"126","dep_t",1961,0.581150755397169,0.0847649355478725,0.451903378902161,0.724279098226424
"127","dep_t",1962,0.729923410734353,0.110574991336075,0.566482177511904,0.90844305573158
"128","dep_t",1963,0.763909119125163,0.112547831318411,0.597837554622562,0.945986724045129
"129","dep_t",1964,0.833097572630445,0.12450132425136,0.651508615325304,1.04804536200408
"130","dep_t",1965,0.824767636624819,0.121919668841846,0.645067059553327,1.03377632850379
"131","dep_t",1966,0.784066188438797,0.117165556364743,0.601726317215052,0.982107396838233
"132","dep_t",1967,0.682075282932561,0.0997365558093743,0.532225401868272,0.845247670029681
"133","dep_t",1968,0.658655775560422,0.0983985041849331,0.513514034285131,0.823057743499927
"134","dep_t",1969,0.736422828146474,0.109740068234766,0.571986645643972,0.922601530368478
"135","dep_t",1970,0.774967482918427,0.113761170570012,0.601768037032505,0.971381440005738
"136","dep_t",1971,0.879154992630501,0.129717151072785,0.688802683610553,1.08916403982834
"137","dep_t",1972,1.08288989397462,0.158695859408769,0.843507551503528,1.3491263486212
"138","dep_t",1973,1.29603709598702,0.193881014436684,1.01665963395136,1.63001501568787
"139","dep_t",1974,1.09386225288585,0.162856958932213,0.845780158039272,1.36023289505156
"140","dep_t",1975,1.01211810225928,0.142677476830496,0.796263345884961,1.24880336927141
"141","dep_t",1976,0.982793524975941,0.138722147673565,0.772385557791391,1.20812491696133
"142","dep_t",1977,1.10926268631187,0.157181110423341,0.878134542825714,1.36779615372801
"143","dep_t",1978,1.10801689924088,0.158766962903696,0.869587667168781,1.36894383387596
"144","dep_t",1979,1.11733356788131,0.16572918694043,0.866418482311868,1.40422054209487
