"","variable","year","mean","sd","lower","upper"
"1","b_t",1971,27435.2620411453,16205.0055531148,11282.4196325257,56262.9017054538
"2","b_t",1972,14775.2823712791,9579.69745361981,5366.39945257554,31869.3793661059
"3","b_t",1973,11865.8676392188,7919.06839862126,4117.57507983878,26046.1522317209
"4","b_t",1974,9429.52424679758,6083.68695811209,3259.51086436936,20300.401077856
"5","b_t",1975,8261.04829457093,5447.45034983537,2816.07881108746,18729.0311343031
"6","b_t",1976,8108.45027864119,5431.28246409601,2805.59700240387,17364.2332376428
"7","b_t",1977,9885.19580359313,6697.81156832058,3511.76039999294,21636.3944581211
"8","b_t",1978,10543.217072786,7200.23047756989,3540.40100915592,23193.342085898
"9","b_t",1979,10521.2601499217,6914.07880417777,3623.83200727893,22913.7717802236
"10","b_t",1980,12781.0074070383,8597.84540932882,4540.22844972885,28369.973963536
"11","b_t",1981,13272.8525006977,8893.69700560312,4603.82106682034,29271.4261298043
"12","b_t",1982,19228.763298231,12938.5610221817,6668.38487154574,42183.2666789135
"13","b_t",1983,18744.2049982115,12312.6360868009,6307.27281289231,40472.6324440644
"14","b_t",1984,21184.2017343467,14733.9197948513,7125.61092195192,47311.7273962196
"15","b_t",1985,20421.6613400563,13923.89366987,7033.41639340708,44557.6372954286
"16","b_t",1986,18971.5895062939,12591.3740451873,6549.89861338161,42522.5325324802
"17","b_t",1987,18056.958637774,12047.3090379956,6084.76684916203,39197.476827182
"18","b_t",1988,18400.7017109122,12566.2142288181,6443.16154170567,41358.9141305533
"19","b_t",1989,21338.0492851704,14115.2246422654,7351.68946465756,45884.5977944023
"20","b_t",1990,21111.4832736403,14438.8628812162,7203.34568807083,45569.5483505499
"21","b_t",1991,20309.7384415407,13479.0024248263,6848.70827825492,44293.3451342028
"22","b_t",1992,21126.6069208974,13827.4126876341,7238.10504165544,45069.9977955819
"23","b_t",1993,23460.5442178482,15606.8496421578,8184.88553021215,51719.364111027
"24","b_t",1994,24789.2827324382,17409.1780713228,8410.79223019224,56763.1564506336
"25","b_t",1995,28767.7545449556,19032.393823528,10028.0305240689,64371.5045330662
"26","b_t",1996,30982.1663007989,20926.6854815898,10895.9154181448,67606.7683630294
"27","b_t",1997,34846.268426769,23691.2069098785,12222.6083585941,77479.5245751634
"28","b_t",1998,33315.5127999761,22263.5954908244,11676.8503862973,71588.429421291
"29","b_t",1999,44668.8607254761,30477.06914487,15184.2908938938,99249.9181308825
"30","b_t",2000,50165.3689766486,34876.3759907115,16832.3170237986,112784.845228746
"31","b_t",2001,45934.9298191269,30726.8833286417,15975.1406834133,100290.835113845
"32","b_t",2002,46232.3539482722,30018.8995217017,15804.2362110607,100488.637432835
"33","b_t",2003,41450.8463164272,27287.4584001154,14154.2684370309,90543.1910778803
"34","b_t",2004,45868.4671398804,30541.4478791263,16216.4750257304,99762.9972283032
"35","b_t",2005,49991.822230435,32484.1395225446,18592.9864740872,107353.402350433
"36","b_t",2006,51074.2219151296,33652.4732914514,18048.9402548709,112891.460175186
"37","b_t",2007,43550.160199253,28929.5863604968,15461.7522166901,97309.3662013821
"38","b_t",2008,49742.2740545783,32585.1802449929,17588.4854881887,109237.568467925
"39","b_t",2009,64665.613505197,41870.5870259743,23302.7650459302,143114.55004201
"40","b_t",2010,61417.0441097641,40167.2896494814,21523.2942070422,130468.840630913
"41","b_t",2011,61839.0014178204,41176.376831285,22524.3498043968,135165.148214216
"42","b_t",2012,59340.3167931978,39576.8067397014,21194.2498602959,127902.573454883
"43","b_t",2013,57464.4794657015,38154.0959812557,20275.7057856604,124996.367810548
"44","b_t",2014,54297.4421689591,36644.1361676922,18615.3501399178,120476.713994521
"45","b_t",2015,52362.4323509779,35724.0577107068,17803.1898836159,116708.950820347
"46","b_t",2016,37633.6227200411,27731.0577497933,11467.4957923335,86371.1256006209
"47","b_t",2017,27685.4603174066,20960.8516101804,8349.25518942136,64970.2169396005
"48","b_t",2018,19668.1554157675,13039.3885379754,6653.32872080137,44134.7765487783
"49","bmsy",1971,21250.6925917738,12104.9217443415,8882.19288547625,42655.3074186558
"50","ck",1971,0.00481427372696967,0.00228839737262795,0.00187549955040584,0.00900678805840346
"51","ck",1972,0.00364079450602082,0.00173060051304989,0.00141834653499442,0.00681138346916761
"52","ck",1973,0.00327972397649809,0.00155897071010279,0.00127768406871398,0.00613587436478735
"53","ck",1974,0.00318945634411741,0.00151606325936602,0.00124251845214387,0.00596699708869229
"54","ck",1975,0.00300892107935605,0.00143024835789247,0.00117218721900365,0.00562924253650216
"55","ck",1976,0.0028885642361818,0.00137303842357677,0.0011252997302435,0.00540407283504207
"56","ck",1977,0.00421248951109847,0.00200234770104946,0.00164106210660511,0.00788093955110302
"57","ck",1978,0.00460364925141475,0.00218827998757548,0.00179344644507558,0.0086127410808483
"58","ck",1979,0.00382132977078218,0.00181641541452344,0.00148867776813463,0.00714913802135774
"59","ck",1980,0.00640900189902838,0.00304642900231096,0.00249675877647777,0.0119902866027496
"60","ck",1981,0.0048744521485568,0.0023170023397858,0.00189894329478591,0.0091193729091335
"61","ck",1982,0.0139012153866249,0.00660774741346322,0.00541550495179686,0.02600710051864
"62","ck",1983,0.0101099748266363,0.0048056344825187,0.00393854905585226,0.0189142549226473
"63","ck",1984,0.0150746946075738,0.00716554427304128,0.00587265796720828,0.0282025051078758
"64","ck",1985,0.014442821180909,0.00686519211788386,0.00562649865121752,0.0270203641752104
"65","ck",1986,0.0131489851167859,0.0062501853239901,0.00512245814704595,0.0245997898845144
"66","ck",1987,0.0138410369650378,0.00657914244630537,0.00539206120741679,0.0258945156679099
"67","ck",1988,0.0155260327694772,0.00738008152672515,0.00604848605005883,0.0290468914883511
"68","ck",1989,0.0198588791237499,0.00943963916209031,0.00773643564542408,0.0371530007409143
"69","ck",1990,0.0188659351675624,0.00896765720398579,0.00734961386315288,0.0352953507038685
"70","ck",1991,0.0177827235789942,0.0084527677951445,0.00692762646431157,0.0332688233907278
"71","ck",1992,0.0189562027999431,0.00901056465472257,0.00738477947972299,0.0354642279799636
"72","ck",1993,0.0232288707326287,0.0110415173229299,0.00904928533070817,0.0434577523817967
"73","ck",1994,0.0189261135891495,0.00899626217114364,0.00737305760753295,0.0354079355545986
"74","ck",1995,0.026628951552301,0.0126576979673484,0.0103738568881823,0.0498187964480441
"75","ck",1996,0.0300591215827669,0.0142881810953458,0.0117101503178465,0.0562361329396566
"76","ck",1997,0.0307511734310188,0.0146171382176611,0.0119797533782173,0.0575308587230521
"77","ck",1998,0.0247634204831003,0.011770943985455,0.00964710081240003,0.0463286660754128
"78","ck",1999,0.0445621211852631,0.0211819781803875,0.017360092713444,0.083369081965597
"79","ck",2000,0.047510863843032,0.0225836215711221,0.0185088361880676,0.0888857396513691
"80","ck",2001,0.0415832893167006,0.019766032306074,0.0161996273666304,0.0777961318544598
"81","ck",2002,0.0423656087973331,0.020137896879126,0.0165043960435714,0.0792597349139504
"82","ck",2003,0.0336397376672006,0.0159901766412378,0.0131050531084608,0.0629349315580941
"83","ck",2004,0.0408310590468616,0.0194084702166008,0.0159065805618795,0.0763888212203343
"84","ck",2005,0.0489250567503293,0.0232558382993316,0.0190597641809993,0.0915314836435251
"85","ck",2006,0.0527764757319051,0.0250865561974339,0.020560163821324,0.0987369140902479
"86","ck",2007,0.0436594448614562,0.0207529036730198,0.0170084365477429,0.0816803092046463
"87","ck",2008,0.0495870193877876,0.0235704929380679,0.0193176453691801,0.0927699170015556
"88","ck",2009,0.0896658481648102,0.0426214010651956,0.0349311791263087,0.167751427587764
"89","ck",2010,0.0876197818308481,0.0416488321818288,0.0341340918173863,0.163923542662943
"90","ck",2011,0.0840993441680015,0.0399754416030946,0.032762632771152,0.157337328895235
"91","ck",2012,0.0709503590512156,0.0337252562791045,0.027640174624106,0.132737539010721
"92","ck",2013,0.0701379503597895,0.0333390892224735,0.0273236840749751,0.131217643525865
"93","ck",2014,0.0618634173915603,0.0294059062382692,0.024100169222715,0.115737226550484
"94","ck",2015,0.0717928569534353,0.0341257258193144,0.0279683870454271,0.134313726920942
"95","ck",2016,0.0794914824270757,0.037785159267818,0.0309675452639698,0.148716706874836
"96","ck",2017,0.0665007665590639,0.0316102050074531,0.0259067441646434,0.124413015147742
"97","ck",2018,0.0708600914188349,0.0336823488283677,0.0276050090075359,0.132568661734626
"98","crashed",1971,0,0,0,0
"99","delta",1971,100,0,100,100
"100","dep_t",1971,0.644312585569607,0.0640048456527314,0.550548979251307,0.753079685945635
"101","dep_t",1972,0.343991026416866,0.0775246730932721,0.239651444920871,0.479262573414684
"102","dep_t",1973,0.274269627008453,0.0648042825755663,0.183786120147646,0.387154998079265
"103","dep_t",1974,0.219129927164195,0.0522066643590565,0.145017783383708,0.308184773264823
