"","variable","year","mean","sd","lower","upper"
"1","b_t",1951,66747.4764203469,112160.040010245,20512.0374800509,189872.270924412
"2","b_t",1952,60803.1046238005,110954.867998953,15073.2439195001,176683.302019901
"3","b_t",1953,45576.3266790967,84227.123286013,10679.2401726617,138964.039080618
"4","b_t",1954,38096.2178239865,68965.3517050214,9469.95264380005,113926.913048406
"5","b_t",1955,33335.4987019503,63485.6310573278,8096.81196771494,104350.785323487
"6","b_t",1956,34932.0551797432,63018.177883811,8568.91134428706,110522.574747021
"7","b_t",1957,40128.3065245052,72897.0170732771,9635.5832048366,122950.807677471
"8","b_t",1958,45126.4024357888,86495.4844891776,10686.584231197,135800.862635282
"9","b_t",1959,46620.7688179766,84277.9452751558,11120.6532505226,147846.024446975
"10","b_t",1960,47478.717227541,87827.2501011304,11594.9054255144,145518.935023924
"11","b_t",1961,51575.5760108927,93922.8038749644,12451.8517496958,155170.205439909
"12","b_t",1962,69638.301194611,130895.582535517,16861.5022163478,203622.680755944
"13","b_t",1963,74962.4887351894,148000.609400823,18019.5068699874,224054.938273764
"14","b_t",1964,69734.4513507942,130364.963103993,16566.6457171052,205587.450478842
"15","b_t",1965,55801.4060597076,107746.933630901,13054.7436867251,170839.636094954
"16","b_t",1966,64609.6462132766,115886.589407768,15981.2089634219,188250.215610652
"17","b_t",1967,87247.5937830915,145256.225199433,21708.0378059124,273992.281299586
"18","b_t",1968,101840.751523985,187353.589594062,25075.2205633623,291385.12674334
"19","b_t",1969,112718.287471566,196070.81320195,27656.8454937233,356597.097412496
"20","b_t",1970,131284.746163982,223556.584309523,32720.3861931336,399470.487727635
"21","b_t",1971,133071.841718467,243985.944283336,33954.4931315917,407669.174314342
"22","b_t",1972,143737.562524845,260271.519600442,36095.5221164188,430387.216843691
"23","b_t",1973,145797.393345887,263206.037145673,36877.1007130627,433849.787959892
"24","b_t",1974,114973.931487049,214829.627695474,27893.2567390113,339355.953564848
"25","b_t",1975,73456.9411354858,136484.630698916,18242.1561217607,233501.618309891
"26","b_t",1976,65665.5639995791,115279.185177502,16368.7426441626,207875.102182236
"27","b_t",1977,70856.6854262407,124549.453664868,17176.3422666314,224936.819950439
"28","b_t",1978,75221.0170104689,135045.236661581,18434.370325962,241960.790597083
"29","b_t",1979,74378.4400992883,130192.683153294,17507.9886454724,233444.160672347
"30","b_t",1980,81966.274306014,148765.628901038,19950.3604451736,245002.806965783
"31","b_t",1981,81359.7114512633,148650.4947243,19286.4315477929,247621.938083446
"32","b_t",1982,69039.9013342051,124310.564427279,16374.9919851273,209715.786950079
"33","b_t",1983,73529.3041263771,130797.758519941,18686.3984487749,226734.425786731
"34","b_t",1984,80490.25449368,144526.741826105,19287.2074755477,254149.042715559
"35","b_t",1985,82477.1969498515,156143.135070292,19310.8650220752,255043.855992975
"36","b_t",1986,80344.6395426939,144762.737228922,19774.6094211872,248701.236698251
"37","b_t",1987,78154.3287978767,133105.514796118,19906.1186447597,244828.834614073
"38","b_t",1988,78192.3219620892,127755.232509902,20630.5426646239,240634.327902448
"39","b_t",1989,76195.8825940312,141946.82995548,18204.2163317324,239806.305072929
"40","b_t",1990,66717.8844871637,120175.256377147,16501.3420513974,204796.533300716
"41","b_t",1991,64100.4103910516,113258.398171278,16692.3989408998,205077.106745482
"42","b_t",1992,68334.57581783,124629.193772921,17641.1484385015,208095.943850794
"43","b_t",1993,74863.1588204971,129253.023074305,19398.5686774143,230086.189151841
"44","b_t",1994,88841.0415170254,156700.297400274,22271.8019085434,274241.496955801
"45","b_t",1995,96870.4096728753,166297.898129112,24482.9987764738,305301.132279919
"46","b_t",1996,97692.2244570071,183748.88177517,24672.4580319214,301135.840918398
"47","b_t",1997,101295.609455056,192649.530196715,25561.3646876232,319738.696395187
"48","b_t",1998,89391.516145005,163997.868338788,22805.7419959919,272613.136760927
