"","variable","year","mean","sd","lower","upper"
"1","b_t",1951,12869.2292508235,2390.11162247624,9948.49377980166,17295.0289021149
"2","b_t",1952,14177.4152376692,2769.80009468655,10869.8564629473,19384.2881646446
"3","b_t",1953,13788.9758133808,2798.28470657626,9753.62313138108,18694.7217566672
"4","b_t",1954,10786.2273570741,2204.5000496122,7956.87162918328,14934.4928583219
"5","b_t",1955,9468.04251778945,1872.1984689274,7235.00529256109,12999.5475028401
"6","b_t",1956,10155.3730284517,2116.58062606656,7719.32814940357,13867.6351382221
"7","b_t",1957,11733.6813160003,2317.47607371339,8840.86289439788,15836.7523502936
"8","b_t",1958,12591.2011858772,2762.856758762,9022.23961151945,17384.3735375719
"9","b_t",1959,13300.2510484956,2838.55652858359,9396.83866851752,18561.7922077739
"10","b_t",1960,13945.4063116386,3034.07962406629,10473.0001553461,19976.6389152385
"11","b_t",1961,13313.7477619938,2668.55922011166,10074.5709295931,18164.1639109483
"12","b_t",1962,17480.2673802705,3850.75566194687,12899.9708573565,24394.0713327754
"13","b_t",1963,20190.4308713062,3969.30196147338,15335.0537441787,27357.6796254437
"14","b_t",1964,17633.9565127803,3767.47211953593,13127.7081241266,24563.7246129428
"15","b_t",1965,16117.6297688122,3247.84992360411,12112.0263390485,22218.6962457492
"16","b_t",1966,14004.0963070765,3071.26622454114,10339.9837836188,19540.0212469314
"17","b_t",1967,13503.3485609261,2760.00678098397,10063.7779219464,18625.4151302849
"18","b_t",1968,13456.2672158537,2689.56266771309,10062.9196391827,18344.5197456809
"19","b_t",1969,14354.463759888,2951.00376706273,10751.2019584684,19652.1773187153
"20","b_t",1970,14229.7801815132,3015.43161050594,10943.2898667581,19617.3639656981
"21","b_t",1971,15143.2066199732,3134.73627957977,11669.3881830596,21041.7502707766
"22","b_t",1972,13972.1987077314,2918.05668188311,10169.3172393394,19102.4023357056
"23","b_t",1973,14004.2436984866,3117.80190901586,10074.9972250459,19669.453287163
"24","b_t",1974,12478.0028554156,2607.51901601822,9418.58991383468,17124.4193467099
"25","b_t",1975,11702.4733862875,2383.5155424917,8742.17108978998,15753.9029221333
"26","b_t",1976,11608.2395283042,2285.98790988645,8605.94247245928,15733.1290805984
"27","b_t",1977,12387.0992469214,2624.98739719456,9177.76727715512,17173.7920586935
"28","b_t",1978,13444.9429907544,2835.4976202409,9921.18341040363,18552.2393200907
"29","b_t",1979,13756.5453364268,2998.72194746726,9730.21671514095,19257.7777100761
"30","b_t",1980,13423.3425264746,2558.35564768091,10408.6173063253,17845.786373291
"31","b_t",1981,11791.9999105424,2404.15987128989,8639.77042186378,16225.9291090867
"32","b_t",1982,8574.50917799964,1795.06835854126,6199.32071871388,11764.8359333214
"33","b_t",1983,7541.73281172496,1442.68380336985,5633.67168160148,10053.4827550464
"34","b_t",1984,7083.52682185555,1382.83396821385,5276.36880742646,9459.65329256957
"35","b_t",1985,6541.67850460228,1317.30047051585,4902.91630513443,8940.16828063079
"36","b_t",1986,6400.42673362706,1261.9074460585,4801.83441722954,8537.93890092329
"37","b_t",1987,6164.56143944113,1205.31990016839,4816.9404578674,8422.40738245783
"38","b_t",1988,6545.04046082683,1242.50498737112,4703.05459659105,8796.82019870142
"39","b_t",1989,8114.28592421108,1476.39504894242,6281.9678305635,10728.8127403946
"40","b_t",1990,10025.5235337727,1830.27554620488,7764.0466473823,13433.7908772393
"41","b_t",1991,6827.56774096432,1323.52676627426,5231.75991149637,9177.43142610974
"42","b_t",1992,6353.8703105605,1199.89401244602,4744.42390294696,8499.95895323818
"43","b_t",1993,5200.23722950699,1015.22344590466,3837.75589530324,6986.53181048486
"44","b_t",1994,5110.5003173881,989.334706567332,3819.52638402154,6843.95251200101
