"","variable","year","mean","sd","lower","upper"
"1","b_t",1971,32217.3964832596,27788.1138233593,9927.06404880631,86718.2657060983
"2","b_t",1972,39304.4267883405,37252.2555935444,10478.1481746002,102074.710663113
"3","b_t",1973,33516.6478073844,31998.675748357,8016.43541577884,94044.4134131182
"4","b_t",1974,21900.9019475297,20391.1695484364,5263.06279317009,59269.317709427
"5","b_t",1975,16770.3314921154,15577.0642083445,4102.98541942976,45776.0469313093
"6","b_t",1976,22870.444446019,21932.3367694098,5645.02283581733,63343.792781739
"7","b_t",1977,27684.224171389,26256.4110381354,6940.32541215138,77637.3078907024
"8","b_t",1978,39757.474352804,37453.820978401,9852.99726544719,111836.542196486
"9","b_t",1979,38921.3570199774,38266.6132270271,9461.26507736302,106270.756397353
"10","b_t",1980,31887.2064361175,31988.9248609804,7861.30386236083,88074.414055671
"11","b_t",1981,19223.433439388,18976.7603210715,4544.8288701791,54198.1868576818
"12","b_t",1982,10150.8360783386,9903.39362091795,2513.71742678062,27810.924033926
"13","b_t",1983,11101.1941331861,10648.7927678287,2788.95378764617,30145.322635262
"14","b_t",1984,12298.2213652143,11829.7792141456,3152.26354860432,34910.9788346208
"15","b_t",1985,11208.9976015786,10972.392689427,2680.41402532547,31516.966068679
"16","b_t",1986,10335.2644336114,10041.6522045886,2478.64164947209,29552.0126357198
"17","b_t",1987,7638.863067344,7303.96180484879,1927.34283713775,21334.1498961575
"18","b_t",1988,14672.2552993632,14016.286228206,3982.43423057436,40780.1822415384
"19","b_t",1989,24812.423549509,24448.9890824703,6440.99421165223,69449.7806479624
"20","b_t",1990,28435.269704422,28483.4443378194,7398.39611122146,77980.3773070476
"21","b_t",1991,31094.3729721053,31763.6483749122,7997.4499888179,85658.5711516765
"22","b_t",1992,39478.0681261739,39409.9301326581,10279.7575903682,105026.755859855
"23","b_t",1993,32357.2426198755,31591.5902799385,7895.29238968574,88233.1268359408
"24","b_t",1994,31962.3489412976,31194.0386851239,8264.44784924449,88058.5568166494
"25","b_t",1995,31673.7532703108,31896.8916058535,8027.03249262366,85801.5109997856
"26","b_t",1996,32286.7865203434,31698.9395749954,8266.81626828409,89102.684952785
"27","b_t",1997,33970.1808323892,33950.450772687,8361.04984108079,97786.8157150542
"28","b_t",1998,31697.21017681,30991.7373861681,7735.19498702183,89920.1339962386
"29","b_t",1999,32000.4346770786,31607.3560105184,7994.20018963221,92651.7581307989
"30","b_t",2000,30044.1828356591,29949.375795628,7440.59179632091,88110.1260608289
"31","b_t",2001,23530.2565820792,23136.7404666389,5543.83196673487,66847.3236253385
"32","b_t",2002,19371.2782663464,19499.0454754365,4692.70481684785,55375.576966717
"33","b_t",2003,15495.2359121792,15325.4608194544,3823.20059143281,42926.4980704519
"34","b_t",2004,17613.3905901573,17720.3699775267,4543.49254487437,49150.1236755441
"35","b_t",2005,21084.4910220423,20583.866871427,5179.26189959072,57340.2891767426
"36","b_t",2006,28557.6672785695,27755.5803532525,7539.36778758045,80299.1602152598
"37","b_t",2007,28830.160332538,27531.2089490668,7619.52150299033,77438.4786882839
"38","b_t",2008,34180.9102645212,32289.6718340922,8696.88415225926,94964.8239799997
"39","b_t",2009,32814.2882622289,31011.2555092061,8691.61506936953,88811.8563706448
"40","b_t",2010,32948.4933485142,32661.3981394251,8627.50898146509,91930.3834107196
"41","b_t",2011,34222.6617931054,33867.6937309144,8860.98528169441,96048.3474098982
"42","b_t",2012,29186.6647708665,28810.3545743143,7243.78649941195,83120.7096214348
"43","b_t",2013,24402.6969101273,22758.645573724,6322.24230834244,70340.7630865735
"44","b_t",2014,21068.1123999126,19601.0961522502,5356.18333605422,59047.3525117722
