"","variable","year","mean","sd","lower","upper"
"1","b_t",1951,1594258.8980375,2020889.34005686,686275.290397965,3971859.65069537
"2","b_t",1952,1465528.34141992,1793437.43786599,519275.130015757,3544291.30753315
"3","b_t",1953,1162852.46720361,1430502.64516823,429180.720759172,3004192.58511499
"4","b_t",1954,1363779.7052658,1865456.37782704,616399.881306872,3150536.50934321
"5","b_t",1955,1890834.66185788,2457768.36608267,821140.436416131,4461566.33062445
"6","b_t",1956,2501540.03641724,3246939.54041828,1047451.8953687,6045187.1511533
"7","b_t",1957,3230170.79533694,3860287.57807497,1378940.02723521,7745779.03862422
"8","b_t",1958,3816034.54295055,4579444.12961187,1535290.70984984,9721398.28371088
"9","b_t",1959,3710284.60983073,4625983.10142149,1461007.54682078,9127433.3790854
"10","b_t",1960,2888089.68169292,3481010.27231881,1093202.79462872,7477512.25101744
"11","b_t",1961,2227244.38186297,2537056.27279848,942180.215987051,5585677.10781275
"12","b_t",1962,3179373.45199614,3827509.84304741,1296025.50577562,7746245.90313556
"13","b_t",1963,2815664.71193581,3376512.28017069,1251111.52509727,7072350.17085861
"14","b_t",1964,3619371.03836896,4459169.24849364,1643172.18792056,8122311.13349921
"15","b_t",1965,2719928.54805731,3234953.22860312,1180018.47471918,6511545.82936575
"16","b_t",1966,2091223.06122391,2327995.58321534,808805.320760915,4897791.17197986
"17","b_t",1967,1524366.44852879,1795807.25917682,616049.492994886,3638582.42101773
"18","b_t",1968,1042682.60750433,1191048.59599549,431788.54288158,2617398.39778653
"19","b_t",1969,716610.50059965,802230.056715902,271739.127506127,1809507.52530344
"20","b_t",1970,559096.537853101,698439.766267886,221862.840293761,1386254.87713182
"21","b_t",1971,514512.435437126,733209.654617819,184323.973865746,1222990.55464297
"22","b_t",1972,514397.055710887,632291.758503815,191513.545243458,1331204.54001482
"23","b_t",1973,545449.770295864,663402.760202474,206906.411130724,1332345.49826274
"24","b_t",1974,532024.740574376,688298.094269001,204246.291049535,1320942.64543499
"25","b_t",1975,474233.731839289,595346.469699289,199048.290224701,1114668.55735155
"26","b_t",1976,387571.461332492,511764.816560755,161756.700332375,913610.755120447
"27","b_t",1977,353797.174670779,434318.748209413,146585.396521087,854099.505826035
"28","b_t",1978,325121.06910051,373842.426142581,137035.117751137,800572.015673635
"29","b_t",1979,279583.881693963,339393.668747321,123238.746156843,695080.9599966
"30","b_t",1980,260285.066867093,310591.37007754,101662.125325508,637887.054864451
"31","b_t",1981,251645.748711257,307952.097240361,105196.868444501,609530.92343815
"32","b_t",1982,244936.308341521,290916.911695792,104576.475774975,605052.386189996
"33","b_t",1983,208636.496177922,241000.365167697,83172.4313608751,538207.497252033
"34","b_t",1984,179257.797031728,195123.153478471,75830.8747504266,446079.789152113
"35","b_t",1985,170479.238947038,226086.099317981,74233.5844531488,415508.590173008
"36","b_t",1986,152897.836779659,179344.949292384,64699.9429386718,384130.124649203
"37","b_t",1987,131327.426793937,171903.007322925,50245.8320438194,333330.682430893
