"","variable","year","mean","sd","lower","upper"
"1","b_t",2005,4073.08158983747,4481.95303639944,1196.44003317178,11321.7484373336
"2","b_t",2006,4080.37682432007,4359.09565443901,1088.85995485905,11248.795030132
"3","b_t",2007,3845.61733186861,4252.13007663752,995.78170797527,10624.349680939
"4","b_t",2008,3872.07030981763,4353.58572822718,978.228388297794,10706.7740481216
"5","b_t",2009,3886.29477437122,4325.80334197296,980.390731843596,10741.452639404
"6","b_t",2010,3455.90996723714,3950.85757503829,856.279688919789,9809.52719251317
"7","b_t",2011,2982.50777860391,3459.4173299448,726.459937023364,8513.56738129214
"8","b_t",2012,2076.28503157513,2245.35449532939,539.544128780805,5848.1039093584
"9","b_t",2013,1897.64817709239,2128.88278413562,492.892350697996,5241.34912414737
"10","b_t",2014,2193.05491790479,2549.94282690034,579.609560222985,6216.37287907705
"11","b_t",2015,3815.27749814575,4257.58487124436,1073.92726912243,10978.7752299025
"12","b_t",2016,3389.66585862044,3786.3041446378,936.37988396869,9587.33774810053
"13","b_t",2017,2827.37286247197,3194.29925228244,811.530839706314,8182.98294677387
"14","b_t",2018,2163.25197270804,2493.10284808457,500.822736350226,6492.54476403912
"15","bmsy",2005,2718.61041793127,2953.34452144145,799.358156116119,7382.02862106067
"16","ck",2005,0.0450182985202822,0.0264006302081718,0.00995661336972929,0.0919487952532259
"17","ck",2006,0.047162027021248,0.0276578030752276,0.0104307378159069,0.0963273093129033
"18","ck",2007,0.0505307432370515,0.0296333604377439,0.0111757905170431,0.103207831406682
"19","ck",2008,0.047162027021248,0.0276578030752276,0.0104307378159069,0.0963273093129033
"20","ck",2009,0.050224496308342,0.0294537643138787,0.0111080584533034,0.102582329398157
"21","ck",2010,0.050224496308342,0.0294537643138787,0.0111080584533034,0.102582329398157
"22","ck",2011,0.0450182985202822,0.0264006302081718,0.00995661336972929,0.0919487952532259
"23","ck",2012,0.02051854422353,0.0120329402989627,0.00453804827055689,0.0419086345711982
"24","ck",2013,0.018987309579983,0.0111349596796371,0.00419938795185861,0.0387811245285715
"25","ck",2014,0.0180685687938548,0.0105961713080417,0.00399619176063965,0.0369046185029954
"26","ck",2015,0.0878928685395986,0.0515440875492878,0.019439102293281,0.179519076446774
"27","ck",2016,0.102286474188941,0.0599851053709482,0.0226225092890448,0.208917670847466
"28","ck",2017,0.146998525780513,0.0862061394552549,0.0325113905950344,0.300240964092166
"29","ck",2018,0.449264244416694,0.263467513710123,0.0993629375060739,0.917611446506683
"30","crashed",2005,0,0,0,0
"31","delta",2005,100,0,100,100
"32","dep_t",2005,0.750745440386419,0.0722116971546401,0.640029723150675,0.869646460059947
"33","dep_t",2006,0.7644857991908,0.196506929185378,0.484895935575045,1.08532007138145
"34","dep_t",2007,0.719887842494361,0.207648572989657,0.436848424307449,1.07950201666508
"35","dep_t",2008,0.725926318489177,0.224671678466914,0.425737198954973,1.11676215379232
"36","dep_t",2009,0.727843153550267,0.22968928405437,0.41850609838662,1.12717523288988
"37","dep_t",2010,0.642777857231716,0.199166279008216,0.366127948716451,0.983785884749103
"38","dep_t",2011,0.55018628078048,0.177565064225878,0.317214944827989,0.86361240004155
"39","dep_t",2012,0.389344973226139,0.120619684854459,0.232676802137534,0.60763363444049
"40","dep_t",2013,0.355330277952458,0.110881770722106,0.20927311609097,0.557165544187091
"41","dep_t",2014,0.410035885203567,0.124558454330125,0.245116469851925,0.631707845367118
"42","dep_t",2015,0.73148500292111,0.234801845616533,0.426282295493645,1.12931640362493
"43","dep_t",2016,0.649755819051066,0.245455368210172,0.349188346427379,1.05193773482532
"44","dep_t",2017,0.533675489210668,0.168357398796449,0.317135051316615,0.812297755293703
"45","dep_t",2018,0.3845279044088,0.100043191160219,0.245671456405021,0.556605351006617
"46","growth_t",2005,0.0504448718198639,0.0150276108787557,0.0275069001213175,0.0751852416661621
"47","growth_t",2006,0.0389951606383093,0.0446821614792506,-0.0259097390001247,0.0795137298314828
"48","growth_t",2007,0.0438926090485663,0.0406254854663687,-0.0221601058947355,0.0818116813374595
"49","growth_t",2008,0.0408674639541827,0.0488321738007842,-0.0372076449516546,0.0819939845333655
"50","growth_t",2009,0.039936381810258,0.0488240375245009,-0.0419328169581797,0.0815549409752642
"51","growth_t",2010,0.0523626103340885,0.0353503067277076,0.00450940487265216,0.0847601446500178
"52","growth_t",2011,0.0598039372925819,0.0237584439241597,0.0316365719116305,0.0880641463593394
"53","growth_t",2012,0.0618747482751888,0.0147863281925842,0.0405469520622477,0.0860493016984608
"54","growth_t",2013,0.0600827607257108,0.0148632102751852,0.0390467562533192,0.0846431158925257
"55","growth_t",2014,0.0627467241073495,0.0150289718133563,0.0419766483271221,0.0875139105094614
"56","growth_t",2015,0.0384199035897272,0.0553552696426287,-0.0432928284548733,0.0825783904099614
"57","growth_t",2016,0.0454014873176507,0.0822143785796783,-0.0147863855522251,0.0854305523740581
"58","growth_t",2017,0.0608536938510622,0.0246177406516208,0.0361680206736179,0.0877970370722845
"59","growth_t",2018,0.0628222926503103,0.0143885834415202,0.0421716281741554,0.0867808852085324
"60","index_hat_t",2005,4073.08158983747,4481.95303639944,1196.44003317178,11321.7484373336
"61","index_hat_t",2006,4080.37682432007,4359.09565443901,1088.85995485905,11248.795030132
"62","index_hat_t",2007,3845.61733186861,4252.13007663752,995.78170797527,10624.349680939
"63","index_hat_t",2008,3872.07030981763,4353.58572822718,978.228388297794,10706.7740481216
"64","index_hat_t",2009,3886.29477437122,4325.80334197296,980.390731843596,10741.452639404
"65","index_hat_t",2010,3455.90996723714,3950.85757503829,856.279688919789,9809.52719251317
"66","index_hat_t",2011,2982.50777860391,3459.4173299448,726.459937023364,8513.56738129214
"67","index_hat_t",2012,2076.28503157513,2245.35449532939,539.544128780805,5848.1039093584
"68","index_hat_t",2013,1897.64817709239,2128.88278413562,492.892350697996,5241.34912414737
"69","index_hat_t",2014,2193.05491790479,2549.94282690034,579.609560222985,6216.37287907705
"70","index_hat_t",2015,3815.27749814575,4257.58487124436,1073.92726912243,10978.7752299025
"71","index_hat_t",2016,3389.66585862044,3786.3041446378,936.37988396869,9587.33774810053
"72","index_hat_t",2017,2827.37286247197,3194.29925228244,811.530839706314,8182.98294677387
"73","index_hat_t",2018,2163.25197270804,2493.10284808457,500.822736350226,6492.54476403912
"74","k",2005,5437.22083586254,5906.68904288289,1598.71631223224,14764.0572421213
"75","log_b",2005,8.00716191319852,0.709822823950616,7.08710573255857,9.33447747041242
"76","log_b",2006,7.99774360409654,0.735624230268389,6.99288642075788,9.32800936085636
"77","log_b",2007,7.92941709258415,0.745042644100838,6.90352792176266,9.27090369700591
"78","log_b",2008,7.93215608134577,0.75036447868223,6.88574247706721,9.27863091306766
"79","log_b",2009,7.93243840228307,0.752338357796803,6.88795117486085,9.28186330804517
"80","log_b",2010,7.81017485609686,0.756311790228569,6.75259692410638,9.19110835977669
"81","log_b",2011,7.65148580189289,0.769763096840256,6.58818333630391,9.04941631058397
"82","log_b",2012,7.31008825275418,0.751795864089611,6.29072452644434,8.67387235654741
"83","log_b",2013,7.21682895854141,0.750810958557345,6.20029079412971,8.56433013864784
"84","log_b",2014,7.36290601757858,0.741206344328617,6.36235440096377,8.73494179822102
"85","log_b",2015,7.93728615862392,0.723347143978562,6.97907754793854,9.30371900418655
"86","log_b",2016,7.80582641168687,0.733259791535247,6.8420212525246,9.16817854979926
"87","log_b",2017,7.62420718350217,0.723529956894706,6.69892236495633,9.00981160666676
"88","log_b",2018,7.30949119137343,0.79898019531304,6.21625211601452,8.77840177525296
"89","log_b_div_bmsy",2005,0.401842353819787,0.0961933340343765,0.246906517431734,0.553478657577748
"90","log_b_div_bmsy",2006,0.392424044717811,0.254715044955802,-0.0306738050039528,0.775022108751915
"91","log_b_div_bmsy",2007,0.324097533205416,0.285483049467704,-0.135021970603419,0.769646942684612
"92","log_b_div_bmsy",2008,0.326836521967034,0.304132752542202,-0.160785850753395,0.803580744792404
"93","log_b_div_bmsy",2009,0.327118842904333,0.312716182414823,-0.177916641054015,0.812861729641739
