"","variable","year","mean","sd","lower","upper"
"1","b_t",1951,141980.596967561,138778.52545562,42225.632728287,354173.589341238
"2","b_t",1952,67572.748462399,72879.3373677032,18370.8353501732,170027.831319446
"3","b_t",1953,41283.0968685691,43521.0666523212,10978.6400457919,108208.627271594
"4","b_t",1954,37660.7315580483,40272.6526952323,9993.2549367737,94901.1928072694
"5","b_t",1955,33766.8345576913,38384.8329492255,8717.66327360179,85856.3877841955
"6","b_t",1956,35729.077150323,38161.4388696961,9439.1963802626,90477.8446786173
"7","b_t",1957,40294.9335616244,40040.5446144977,10180.2969913315,110191.719489368
"8","b_t",1958,53304.4246932129,56973.4400345506,13486.41734723,141294.342714511
"9","b_t",1959,96992.4782766592,112548.092463388,25530.0859401901,237517.876871643
"10","b_t",1960,122071.943522613,123797.680586076,31874.937697877,313744.383553405
"11","b_t",1961,132370.966990989,133442.223221269,34114.1323997099,337768.95885155
"12","b_t",1962,197345.955389215,219268.438178553,49483.367513745,490729.623892617
"13","b_t",1963,237545.450010151,240234.379383299,61542.4791266761,626533.786912731
"14","b_t",1964,274495.323517501,282232.443691596,74431.0898987614,678668.52499742
"15","b_t",1965,232155.908628734,237649.939455608,60661.7943056756,570771.272862015
"16","b_t",1966,218279.892704519,227923.317470623,55975.33400319,556922.179007004
"17","b_t",1967,228630.710760685,239515.018202736,57785.5837101589,588435.110945632
"18","b_t",1968,218295.03446615,223675.978516777,58592.7270031014,558137.526767801
"19","b_t",1969,232875.486589977,262425.403971799,61092.6625233781,587743.309403638
"20","b_t",1970,244417.371694249,256929.895998112,65499.1758867367,617550.257686813
"21","b_t",1971,257352.004270704,275768.524507308,66357.1543412551,630185.913838902
"22","b_t",1972,291182.522267633,348279.565304794,73283.1611913273,718844.508668563
"23","b_t",1973,306224.4289401,305489.974058166,79915.1739923471,771796.900664859
"24","b_t",1974,274180.342437042,293886.850797837,71793.6890254146,708538.767437587
"25","b_t",1975,242454.102311266,252919.965480316,63654.6315137284,611822.02010819
"26","b_t",1976,274391.132004039,284632.327250918,72319.5428869558,662878.911531436
"27","b_t",1977,285083.806297352,289802.489331956,75988.1006258406,712466.43573121
"28","b_t",1978,257867.756633041,283731.426908937,66715.1230697881,647821.790202818
"29","b_t",1979,254862.954245312,274949.34606426,67494.1438778069,652994.356602642
"30","b_t",1980,255151.785496908,261180.116306739,66847.2720133881,652639.241574055
"31","b_t",1981,247870.170293014,250339.912605122,66962.0211533177,625876.957041804
"32","b_t",1982,305976.918397424,310754.433068729,80693.6407084537,787300.681714839
"33","b_t",1983,320407.041016345,330873.159913302,83655.6508461486,795368.060358493
"34","b_t",1984,323865.269998532,323313.275640879,83902.3884256,836242.100645877
"35","b_t",1985,333505.160439248,394922.357013799,87752.0049414406,856421.127036059
