"","variable","year","mean","sd","lower","upper"
"1","b_t",1951,96862.9635099062,71111.1447125173,43035.8601367166,206537.610655669
"2","b_t",1952,106961.815021751,87337.6704969382,43269.1297084121,236602.861336839
"3","b_t",1953,116927.731394704,95421.7422964199,47286.7298212721,255309.520806204
"4","b_t",1954,113787.588577527,93542.7523341885,45190.7610034165,258808.375895616
"5","b_t",1955,106750.586419595,87887.2044955345,43029.0156696804,240929.624044729
"6","b_t",1956,104976.829790366,84192.4061807287,40824.5317132708,237868.153085133
"7","b_t",1957,101504.366206653,84529.2885176975,40302.1787642647,229788.844815359
"8","b_t",1958,115122.18200849,95294.2825007069,44935.8216520567,261168.645736876
"9","b_t",1959,117294.933914636,99517.7302751565,45181.4346751079,267357.996966266
"10","b_t",1960,111523.046669361,92988.6806316334,45016.9844532071,258634.609965657
"11","b_t",1961,94358.4571914449,75529.9822907425,37867.794053661,214879.909345159
"12","b_t",1962,102169.23285157,83532.0353278074,40148.4857483347,225395.914202587
"13","b_t",1963,104643.809449101,85764.3226854617,40303.9580862631,230425.146651084
"14","b_t",1964,101943.990128783,81589.1995748988,41015.5583167328,226575.403205511
"15","b_t",1965,92421.579725687,74565.4882812532,36872.0120442575,204577.338848491
"16","b_t",1966,90992.2253948076,72940.421003469,36317.7395946855,203491.440686507
"17","b_t",1967,100925.41310864,84127.3759154876,39986.3247979339,228518.161264029
"18","b_t",1968,102797.413453916,83257.7436343758,40200.8470249329,230937.472506229
"19","b_t",1969,104496.392462803,88669.9108265604,41170.0060556808,238253.14291728
"20","b_t",1970,84312.0622616715,71725.4480876874,32661.9064348423,191646.774893353
"21","b_t",1971,92676.8112058168,77570.5739919509,36332.5304622327,211679.203541821
"22","b_t",1972,132267.680940812,107366.517160776,52212.4161358686,304288.576367587
"23","b_t",1973,137995.741641281,111887.247483701,53701.2396974997,315117.78176522
"24","b_t",1974,82927.3039008659,68471.3161983383,32038.6271296693,185534.854892771
"25","b_t",1975,73877.7776636118,59413.5810230683,29270.2649544637,164880.642818692
"26","b_t",1976,75571.6133568843,63087.4957350221,30169.2947777229,165017.872732062
"27","b_t",1977,90930.5324467881,75615.9172792203,35462.0544512998,198615.898345885
"28","b_t",1978,84533.154573835,67553.6745961812,33412.3789105739,188990.069067764
"29","b_t",1979,83778.2483020471,68981.2272302312,32308.658612966,183355.58131336
"30","b_t",1980,91024.1262561522,72688.6769620544,36176.8137175994,205266.814635136
"31","b_t",1981,90782.2395967508,70130.9648941866,36809.7074074177,201843.330140921
"32","b_t",1982,94518.2013447012,75538.2880395969,37572.4400684798,211597.891446176
"33","b_t",1983,89796.1594873757,70929.9101307431,35332.8740135543,201482.078681808
"34","b_t",1984,88719.5482074701,70253.7999138517,35542.3183984863,198717.310636217
"35","b_t",1985,88040.0331269832,70451.9694255659,35365.8134574524,201537.098848968
"36","b_t",1986,88884.7440614426,69797.7698100724,36465.2745876233,200475.874309544
"37","b_t",1987,78801.7722085605,64036.4497164055,31319.3362221799,177749.252093892
"38","b_t",1988,76824.4900701671,60118.4475383794,31203.7339863941,172020.983463279
"39","b_t",1989,89657.7919127545,69787.9522942419,35850.6904927555,199424.034941321
"40","b_t",1990,96514.5489733435,73959.2688345336,38765.1112451978,218405.806623907
"41","b_t",1991,108876.597392839,83404.3024317849,45230.2272478767,235310.63342505
"42","b_t",1992,108190.856029554,86445.2308511682,43356.6315461911,239722.799365696
"43","b_t",1993,105058.00905789,87870.9741139778,41596.2106639272,236277.763444391
"44","b_t",1994,100257.212155391,80833.0171924604,40510.0593314438,223776.509416623
"45","b_t",1995,95300.6772563181,77397.0465862504,38261.4015975704,213696.259978563
"46","b_t",1996,94403.5458326872,75470.8457083475,38175.7903402246,207645.405522311
"47","b_t",1997,98511.7091816576,81636.7884009782,39199.6456598894,211556.15552222
"48","b_t",1998,90257.1842370452,73524.2026963413,36112.8924947154,198845.294952735
"49","b_t",1999,88558.1947246805,71434.9501782821,35494.9625813315,197644.320513429
"50","b_t",2000,93964.2658447208,75298.3295064885,38744.0802930137,211381.332991215
"51","b_t",2001,72031.8421631039,56467.6201686269,28774.0679201544,160868.522789373
"52","b_t",2002,79131.0183254344,64982.0643697519,31782.4137808622,180860.033368951
"53","b_t",2003,73171.9470132347,58888.7766630236,30456.9172592054,167721.177856247
"54","b_t",2004,92362.6373912629,72735.1071312336,38822.9325941931,204458.99464819
"55","b_t",2005,102856.770442299,83110.5919471,41688.5032994757,229269.858584079
"56","b_t",2006,102630.298834573,83505.7723555266,41198.7456971137,230926.363344579
"57","b_t",2007,86568.2038881712,70445.0899888296,35122.8755146202,192810.218391711
"58","b_t",2008,74437.526957315,61056.6222555865,29366.2085305093,169874.258817284
"59","b_t",2009,70530.3948524238,59694.7008453218,27837.1860269614,159219.067116661
"60","b_t",2010,47618.0505980206,38514.3791157879,18899.7365299609,103549.397145823
"61","b_t",2011,34134.0243660785,27608.919260711,13734.0734744927,75864.5041519427
"62","b_t",2012,31130.9165679588,25369.6815518772,12243.3104318806,67481.3275709028
"63","b_t",2013,29159.4387979947,23317.4865298486,11738.6727480805,64929.5451968953
"64","b_t",2014,30099.6141200903,24663.2847500102,12390.1891271185,67078.052083821
"65","b_t",2015,31474.5501643575,25488.1108383655,13232.7973201754,69588.4487261988
"66","b_t",2016,36044.9511387054,30405.0880375875,14446.2763776582,79380.5237405055
"67","b_t",2017,38847.5591148789,33643.6632161155,15108.6800350714,87412.7551625337
"68","b_t",2018,40911.7471285612,32958.1611427463,14964.1066220391,93284.1766536034
"69","bmsy",1951,61783.4859674413,43468.7299796675,29145.7202304507,130130.998863169
"70","ck",1951,0.021702399011198,0.00897178776617388,0.0080688076734778,0.036025872796216
"71","ck",1952,0.016535161151389,0.00683564782184677,0.00614766298931642,0.0274482840352122
"72","ck",1953,0.0258361892990452,0.0106806997216356,0.0096057234208069,0.0428879438050191
"73","ck",1954,0.0268696368710071,0.011107927710501,0.00998995235763918,0.0446034615572199
"74","ck",1955,0.0310034271588543,0.0128168396659627,0.0115268681049683,0.0514655325660229
"75","ck",1956,0.0268696368710071,0.011107927710501,0.00998995235763918,0.0446034615572199
"76","ck",1957,0.0227358465831598,0.0093990157550393,0.00845303661031007,0.0377413905484168
"77","ck",1958,0.0279030844429689,0.0115351556993664,0.0103741812944715,0.0463189793094206
"78","ck",1959,0.0279030844429689,0.0115351556993664,0.0103741812944715,0.0463189793094206
"79","ck",1960,0.0279030844429689,0.0115351556993664,0.0103741812944715,0.0463189793094206
"80","ck",1961,0.0289365320149307,0.0119623836882318,0.0107584102313037,0.0480344970616214
"81","ck",1962,0.0206689514392362,0.00854455977730846,0.00768457873664552,0.0343103550440153
"82","ck",1963,0.0206689514392362,0.00854455977730846,0.00768457873664552,0.0343103550440153
"83","ck",1964,0.021702399011198,0.00897178776617388,0.0080688076734778,0.036025872796216
"84","ck",1965,0.021702399011198,0.00897178776617388,0.0080688076734778,0.036025872796216
"85","ck",1966,0.0227358465831598,0.0093990157550393,0.00845303661031007,0.0377413905484168
"86","ck",1967,0.0299699795868925,0.0123896116770973,0.011142639168136,0.0497500148138221
"87","ck",1968,0.0310034271588543,0.0128168396659627,0.0115268681049683,0.0514655325660229
"88","ck",1969,0.0320368747308161,0.0132440676548281,0.0119110970418006,0.0531810503182237
"89","ck",1970,0.0156567307152214,0.00647250403131116,0.00582106839300898,0.0259900939458416
"90","ck",1971,0.0180853325093317,0.0074764898051449,0.00672400639456483,0.0300215606635134
"91","ck",1972,0.0383099014926243,0.0158373415472412,0.0142433666883725,0.0635942430740823
"92","ck",1973,0.0386922770942502,0.0159954159031214,0.0143855313950004,0.0642289846423966
"93","ck",1974,0.014829972657652,0.00613072164021882,0.00551368524354316,0.024617679744081
"94","ck",1975,0.0173515847332388,0.00717315793305045,0.00645120384941391,0.0288035430594508
"95","ck",1976,0.0187674079068265,0.00775846027779608,0.00697759749287413,0.0311538023799659
"96","ck",1977,0.0282647910931555,0.0116846854954693,0.0105086614223627,0.0469194105226909
"97","ck",1978,0.0225808294473655,0.00933493155670949,0.00839540226978523,0.0374840628855867
"98","ck",1979,0.021216678652376,0.00877099061140713,0.00788822007316663,0.0352195794526817
"99","ck",1980,0.0288538562091737,0.0119282054491226,0.0107276719163571,0.0478972556414453
"100","ck",1981,0.0286678356462206,0.0118513044111268,0.0106585107077273,0.0475884624460492
"101","ck",1982,0.0351062140195427,0.0145129347817584,0.0130522569841924,0.0582761380422599
"102","ck",1983,0.0363463511058968,0.0150256083683969,0.0135133317083911,0.0603347593449009
"103","ck",1984,0.0371317712605878,0.0153503016399346,0.0138053457003837,0.0616385528365734
"104","ck",1985,0.0396843867633335,0.0164055547724322,0.0147543911743594,0.0658758816845093
