"","variable","year","mean","sd","lower","upper"
"1","b_t",1992,412892.944589945,768601.080434604,43960.0561326853,1458972.71811063
"2","b_t",1993,83320.701512989,157686.731880455,6287.66295712744,294139.879512945
"3","b_t",1994,103154.386276919,225199.577701254,7046.74571022133,376937.678171881
"4","b_t",1995,197418.678087151,511746.963392977,10551.2531969727,679176.435008874
"5","b_t",1996,253661.678023612,580081.118398515,15905.6988614582,1021093.29849284
"6","b_t",1997,439847.308776538,1052357.17665844,28823.0389142071,1537872.60622095
"7","b_t",1998,569910.030002296,1302801.35558626,35958.0371885912,2165386.53228683
"8","b_t",1999,613838.416748787,1640096.18158414,43242.7036474425,2268236.2012271
"9","b_t",2000,621739.809527645,1496631.1073755,44542.4632935418,2038107.55227324
"10","b_t",2001,511193.055891784,1230603.05368283,31533.9182695052,1862177.03368934
"11","b_t",2002,550638.720492344,1526595.08550259,31064.8466789851,1920291.75504215
"12","b_t",2003,484332.130153047,1206633.28322167,29684.3243352723,1740978.56985544
"13","b_t",2004,620209.07109566,1418973.5907103,44184.596589385,2299453.26048829
"14","b_t",2005,643554.695478553,1434077.22867189,50297.8716184203,2211372.05510968
"15","b_t",2006,647738.414212361,1307298.29790893,52275.1545569878,2234900.66805488
"16","b_t",2007,613298.316686386,1460974.25067308,43486.9312610731,2055615.8351324
"17","b_t",2008,636325.306994064,1503669.76549132,43699.2633317654,2281918.37494698
"18","b_t",2009,720194.45612697,1674493.08546274,42422.3315551075,2634213.63357575
"19","b_t",2010,536652.930463784,1131227.72052452,33242.7333272652,1930043.28434233
"20","b_t",2011,470519.817909207,1289150.15122853,27631.396779456,1626870.89074321
"21","b_t",2012,277314.306061459,539102.265548777,15344.7921291915,1122623.40342253
"22","b_t",2013,187444.717701751,434573.915745818,10715.1549745448,686094.974937785
"23","b_t",2014,164422.9166996,372025.102654477,8185.95106801819,654638.9450138
"24","b_t",2015,102144.850849406,262706.777578879,6587.96096982721,372309.452218065
"25","b_t",2016,169169.857047414,473123.19540123,7636.4351792125,604050.309869327
"26","b_t",2017,230860.912141582,702313.319465846,10036.5172209441,752292.54067878
"27","b_t",2018,208440.686713624,408331.869540953,19745.9585468426,738337.365214306
"28","bmsy",1992,297736.836379557,574300.887606023,31588.2867722401,1068791.82759022
"29","ck",1992,0.000200209579937245,0.000202462332684086,1.6841480390791e-05,0.000569831484007666
"30","ck",1993,0.00040598053709497,0.000410548619053842,3.41507796813261e-05,0.00115549162034888
"31","ck",1994,0.00185749999164,0.00187840053101347,0.000156251512514561,0.00528676987940446
"32","ck",1995,0.00431006734587126,0.00435856410639352,0.00036255964730175,0.0122672055584984
"33","ck",1996,0.00577827093207772,0.00584328787941016,0.000486063836834217,0.0164459697745546
"34","ck",1997,0.015115823285262,0.0152859061176485,0.00127153176950472,0.0430222770425788
"35","ck",1998,0.0203602020041738,0.0205892944432344,0.00171268499196349,0.0579486961931129
"36","ck",1999,0.0287745657387585,0.0290983363696517,0.00242049498727646,0.0818974471737684
"37","ck",2000,0.0300648052539097,0.030403093624727,0.00252902897201711,0.0855696945151512
"38","ck",2001,0.0135030238913231,0.0136549595488045,0.0011358642885789,0.0384319678658504
"39","ck",2002,0.0139590568234024,0.0141161237510293,0.00117422543835793,0.0397299173572012
"40","ck",2003,0.0126465717993693,0.0127888706812114,0.0010638201780183,0.0359943554064842
"41","ck",2004,0.0263108756300863,0.0266069248869003,0.00221325121468978,0.0748853541900074
"42","ck",2005,0.0380565043197381,0.0384847150710334,0.00320128473094952,0.108315467918457
"43","ck",2006,0.0413321555026002,0.0417972237918925,0.00347683006289885,0.117638544142916
"44","ck",2007,0.0377617513270527,0.0381866455256929,0.00317649032926307,0.107476549344779
"45","ck",2008,0.0279570432873481,0.0282716151778584,0.00235172560901406,0.0795706352807371
"46","ck",2009,0.0373835776760601,0.0378042166750674,0.00314467864408047,0.106400200986098
"47","ck",2010,0.0203379564952918,0.0205667986284918,0.00171081371636452,0.0578853815837787
"48","ck",2011,0.0231297678599723,0.0233900233786976,0.0019456588040361,0.065831365055219
"49","ck",2012,0.00715193110553604,0.00723240443977041,0.000601615105071033,0.0203556469009405
"50","ck",2013,0.00410985776593401,0.00415610177370944,0.000345718166910959,0.0116973740744907
"51","ck",2014,0.00454364518913137,0.00459477016119162,0.000382208041091006,0.0129320089565073
"52","ck",2015,0.00147932634064742,0.00149597168038797,0.000124439827331955,0.00421042152072331
"53","ck",2016,0.00536672901776227,0.00542711530667065,0.000451445238253147,0.0152746495018722
"54","ck",2017,0.00786934876697784,0.00795789446522172,0.000661963743138034,0.022397543051968
"55","ck",2018,0.0026527769341685,0.00268262590806414,0.00022314961517798,0.00755026716310157
"56","crashed",1992,0,0,0,0
"57","delta",1992,100,0,100,100
"58","dep_t",1992,0.701744987053933,0.0701424351050893,0.596330405671317,0.82364502241195
"59","dep_t",1993,0.150840449953888,0.100082068494753,0.0484588824176201,0.329207048424577
"60","dep_t",1994,0.187285143385814,0.136985553666153,0.0530239568661205,0.410564740697219
"61","dep_t",1995,0.299126182724826,0.247042582257821,0.0804716656558447,0.686230274418645
"62","dep_t",1996,0.418888986164973,0.280589731069647,0.118290094716832,0.952175885995556
"63","dep_t",1997,0.730058725390215,0.43187581037121,0.225448544359077,1.5480129816761
"64","dep_t",1998,0.905151852137356,0.490484065700168,0.284452698124072,1.83444642694914
"65","dep_t",1999,1.05226642748202,0.525876943039559,0.356473305674506,2.02240892153207
"66","dep_t",2000,1.07630136741395,0.54001926381096,0.368150492648667,2.08323596242821
"67","dep_t",2001,0.807535107511511,0.459088164074054,0.245145191272666,1.64991377876852
"68","dep_t",2002,0.849870838211125,0.467174729635441,0.260327982366913,1.72228572055426
