"","variable","year","mean","sd","lower","upper"
"1","b_t",1951,163659.708296123,38200.9987800514,117656.511266195,228113.464308835
"2","b_t",1952,170343.178327778,44134.2039848288,118526.752954563,242885.124110114
"3","b_t",1953,160181.93398946,42010.5742733153,111936.607207111,227980.179994398
"4","b_t",1954,141582.017669997,37499.8388760875,96747.2424440783,204580.057701089
"5","b_t",1955,122089.789732558,31996.4039775768,82457.7283725712,175692.748685243
"6","b_t",1956,128135.926739402,34377.9457546298,88221.4954549197,184047.607812673
"7","b_t",1957,131415.616951337,35365.5596190037,89165.2556391113,188852.462060438
"8","b_t",1958,134264.01435266,36074.6530942723,90446.1198668718,191796.794367142
"9","b_t",1959,132551.043476326,35479.6130099276,90772.065459976,194806.453299494
"10","b_t",1960,133780.788557775,35812.9174115409,91860.7936421107,192899.218870195
"11","b_t",1961,130923.794101014,34505.1054630768,89744.1147893937,188744.893075879
"12","b_t",1962,171468.955001947,45639.0400831549,117808.18191801,243686.725713924
"13","b_t",1963,180833.886940089,48645.2721398325,123704.766479821,259333.597053834
"14","b_t",1964,179207.896711789,47428.8644920572,123955.379676296,257385.057948779
"15","b_t",1965,157914.285775262,43011.3501341516,108323.385472958,228948.532849428
"16","b_t",1966,152794.460939324,39630.6107867452,107169.038522575,222224.962098541
"17","b_t",1967,165118.488838829,43482.7152982681,115592.066554799,238993.189165478
"18","b_t",1968,159068.428428572,41872.6227706538,110016.093244414,229137.653825764
"19","b_t",1969,171934.719383771,46540.2494969744,116769.442769806,250667.283542482
"20","b_t",1970,197172.326449027,53550.7695359869,137294.457970332,282680.79130303
"21","b_t",1971,187397.10640606,50361.6545234539,128156.814157653,272130.473320631
"22","b_t",1972,180434.87071216,48348.8006322309,124047.198828558,261382.771904155
"23","b_t",1973,185228.79695062,48747.1331228932,128224.103720296,263895.045236823
"24","b_t",1974,169234.52093064,45013.472169962,116561.825496879,243769.59350185
"25","b_t",1975,158587.012578414,42765.7651202243,110639.977695656,226977.075393103
"26","b_t",1976,157354.28923053,41762.8560866199,109058.012055299,224162.326415774
"27","b_t",1977,167486.66857487,44408.7957947646,116362.829228115,242384.726984412
"28","b_t",1978,165340.833196689,43323.9649073411,114114.489933099,236184.378539915
"29","b_t",1979,172312.519409885,45682.6491337169,119363.226844933,245553.628317232
"30","b_t",1980,167483.435565962,43295.993811237,118578.354362767,237369.234098169
"31","b_t",1981,162490.301952903,42568.6839904332,111710.117178861,232595.376891083
"32","b_t",1982,150438.100079335,39167.0198659986,103877.136577489,215473.703550873
"33","b_t",1983,129827.502747222,34341.6638681203,88691.1738443671,183303.515518356
"34","b_t",1984,110966.1623328,29409.2451297275,76055.8070751147,161579.27415312
"35","b_t",1985,100589.265684088,26109.6801893159,70467.3854319625,145044.742627238
"36","b_t",1986,94439.1029068079,24515.9862694439,65329.6283008462,134532.949435809
"37","b_t",1987,93566.8287885637,23707.5079313585,65771.2797288457,134185.165117951
"38","b_t",1988,89207.7625191662,22401.4593543311,62268.1044415045,125748.977750315
"39","b_t",1989,105003.264549954,26126.8179137495,75225.4070962372,148554.894156446
"40","b_t",1990,115334.314052668,28749.9950795563,81288.9771449606,163696.529474203
"41","b_t",1991,123138.51492944,30468.7836386305,86463.4689224959,175246.619713438
"42","b_t",1992,122995.904093715,30827.0115559907,86400.4722090182,174326.32367195
"43","b_t",1993,122068.270018024,30451.6417113088,85662.2742947157,172617.613483376
"44","b_t",1994,138456.118655899,34970.1152580422,97977.4006539995,194389.181884222
"45","b_t",1995,154152.511980817,38750.3477241774,108760.727546961,216346.21398684
"46","b_t",1996,170244.622999559,42501.8371831942,118754.138822206,238183.708553437
"47","b_t",1997,182635.679663839,47462.4758208409,126678.504302237,261222.018650663
"48","b_t",1998,191611.836526056,46929.0176456925,134591.846192334,270833.959214868
"49","b_t",1999,194465.692168827,49211.0830335992,135103.361417729,276085.176507581
"50","b_t",2000,197699.951459348,50719.2670978975,139928.359601858,280162.173753053
