"","variable","year","mean","sd","lower","upper"
"1","b_t",1959,191558.450483954,108068.553502979,86165.7173612836,384202.147638075
"2","b_t",1960,113395.423601993,68226.574699786,45264.6481120427,232528.319954637
"3","b_t",1961,92384.1318555168,54396.6513826656,36251.4235408274,195387.672214904
"4","b_t",1962,125117.7544308,76243.363119847,48159.138820872,263026.351968717
"5","b_t",1963,112141.55911045,68436.9971981141,42638.0459141854,237566.896736952
"6","b_t",1964,110408.192594394,67352.9708034021,41789.727273485,234539.037655984
"7","b_t",1965,120876.533348587,73508.1699861019,46733.1973271152,251264.182356815
"8","b_t",1966,116175.579297738,71158.6428227006,43793.7545740328,251625.18485094
"9","b_t",1967,131139.418190916,82246.5641358034,49595.2752611155,283450.562978864
"10","b_t",1968,130167.325870684,80675.24111914,49875.0693611827,270304.776347137
"11","b_t",1969,153740.970383613,100241.262001241,58945.8847978597,320804.465231933
"12","b_t",1970,162582.525652027,103197.171954856,60490.8641609027,339268.975716602
"13","b_t",1971,107025.817068924,67287.4702748887,41175.2217331629,229554.791045294
"14","b_t",1972,130111.959991537,80812.5559895585,49572.4030736461,269955.217869934
"15","b_t",1973,148455.576281826,90983.2397485667,57143.395834425,313769.651913395
"16","b_t",1974,137149.401540929,82442.2765401347,52750.9539061007,281246.03317094
"17","b_t",1975,126148.534135802,80366.7013933541,48016.1459063053,261484.854144146
"18","b_t",1976,122771.11788221,79451.4229594488,45267.8217870873,266143.301209829
"19","b_t",1977,149358.519064882,95885.8979239665,55318.3918449558,322783.828209354
"20","b_t",1978,166489.744261484,106600.260397392,63364.4099148741,347770.065992106
"21","b_t",1979,151786.536016832,97740.3709716269,58248.3301180834,324596.512377709
"22","b_t",1980,192508.378030816,121884.987167844,73870.1466408165,407402.660228188
"23","b_t",1981,217600.177364221,139039.852792929,82129.7900086052,460727.472608129
"24","b_t",1982,260692.132002684,166110.074090838,99742.3657936597,554150.57079412
"25","b_t",1983,236000.382172616,141780.818901074,93997.5582749511,490362.56100775
"26","b_t",1984,208022.0606712,128986.210855642,82734.1849077922,439201.665972993
"27","b_t",1985,250386.187772953,151640.948258359,98512.1984893493,522736.198785769
"28","b_t",1986,307747.265055902,187335.860853456,119363.542474241,647989.413366716
"29","b_t",1987,298043.985257953,186056.078256409,114443.342294621,607878.622305669
"30","b_t",1988,305204.971662403,189500.807399373,117968.541326645,634951.145404251
"31","b_t",1989,362225.595605659,226058.175579602,137014.094567264,777758.137661345
"32","b_t",1990,306539.750288042,186267.20529392,120898.445509947,631430.451911629
"33","b_t",1991,309691.752594423,180317.078195882,121106.273425528,660614.876491386
"34","b_t",1992,296091.150354115,180418.870953346,115352.455838333,613110.993154746
"35","b_t",1993,279796.659592372,172840.01070284,108063.184372434,582755.871778137
"36","b_t",1994,281046.994292391,174062.6126393,107181.330527086,590093.928707118
"37","b_t",1995,257526.382344391,157405.557869156,98302.2376598209,544319.588432405
"38","b_t",1996,242576.717201426,153581.360815759,93422.3160728904,509236.879286908
"39","b_t",1997,247335.569019165,153435.532982923,95072.3591285108,527157.419695269
