"","variable","year","mean","sd","lower","upper"
"1","b_t",1951,115489.928358944,18682.3095545089,90104.5738853811,147911.094140671
"2","b_t",1952,119372.624545495,20001.3528293098,93187.9799437797,156271.58051825
"3","b_t",1953,108299.598763505,17544.6385006109,84968.1682967887,137671.730331454
"4","b_t",1954,90124.7148848191,16140.059849714,68285.6584218116,118934.012275212
"5","b_t",1955,90189.2279046777,16058.0917758724,69507.6016413459,117794.005178735
"6","b_t",1956,96207.917351532,17302.9362177644,73312.9994106993,124444.493388912
"7","b_t",1957,104972.27886201,18203.479671422,78054.0079368577,137082.873274073
"8","b_t",1958,126859.088535987,20745.1556047222,99552.9675098409,163701.037214289
"9","b_t",1959,120947.810717777,21065.0928374034,92377.5310449343,155614.015224957
"10","b_t",1960,111834.770110316,18886.5898727288,87116.1638170473,144477.791722677
"11","b_t",1961,102871.492029981,16953.8797933362,81888.0634578887,132099.371969774
"12","b_t",1962,123174.265708551,21500.7233047333,94351.9095994777,160304.430665819
"13","b_t",1963,136046.537624307,24791.7028727899,102602.735177749,177763.827650803
"14","b_t",1964,132912.848545167,24295.6289721691,100745.343821724,175302.108288192
"15","b_t",1965,129869.778005881,22602.6062016967,95429.8093139146,167434.352529115
"16","b_t",1966,126611.353279022,20892.8544130502,97068.0181692905,163340.353915643
"17","b_t",1967,119093.309827836,20565.6405234848,90677.5288941047,153776.509761722
"18","b_t",1968,113943.485872947,19165.5194647447,88091.4332011563,146432.201237423
"19","b_t",1969,122769.202427637,20494.5383551307,96444.6840816612,158425.018828959
"20","b_t",1970,128913.426210041,23683.8345429601,97335.0172573179,167500.856334905
"21","b_t",1971,139919.032869484,23869.5195668932,107772.209922813,182740.158398912
"22","b_t",1972,147835.578092803,25807.3570752938,113396.779173457,189110.881149824
"23","b_t",1973,164010.765883464,28871.0178234816,123684.035200062,214611.813269162
"24","b_t",1974,154612.984296487,26042.8474978366,120255.167953099,199326.342223914
"25","b_t",1975,140622.043238722,22980.9770200906,107038.680574313,179629.241272718
"26","b_t",1976,142582.538062126,24280.5910455592,107170.682945939,183947.378630299
"27","b_t",1977,142789.45719433,26034.6734102305,107965.488123663,185863.82317238
"28","b_t",1978,132104.915816389,25054.7245285274,100853.642429496,174447.301220137
"29","b_t",1979,128231.439339617,21795.7559151167,97950.667344859,163886.386156907
"30","b_t",1980,123945.687270535,20914.6464555968,97092.2493566896,159148.385955056
"31","b_t",1981,119875.904811094,19944.2812638919,92836.5343942545,153046.375001085
"32","b_t",1982,105948.560656088,19045.7743228678,80862.2823375264,139832.050746544
"33","b_t",1983,103353.223787956,17002.5393315183,81247.3908468395,132916.653838316
"34","b_t",1984,109396.148786902,17091.7603323569,85820.8712870324,138226.054159861
"35","b_t",1985,96936.3873634029,16572.8588289115,73541.377376903,125804.418487146
"36","b_t",1986,83522.1252365288,13337.8206100257,64617.3046442319,106066.017601432
"37","b_t",1987,75637.8244441788,13115.8495259633,57656.2808979135,97807.5839299782
"38","b_t",1988,68562.5002425237,10627.872053004,54522.5391868056,86966.3826597868
"39","b_t",1989,68693.1901511539,11349.2040080697,54801.6877560442,88627.8610691848
"40","b_t",1990,68434.5316095748,11049.1657654522,54654.5918283754,88383.5518505385
"41","b_t",1991,66187.0725680962,9543.27835025373,53749.0116147616,82915.8979895995
"42","b_t",1992,69525.6322019716,10199.1243335192,55338.2860223738,87178.1464853933
"43","b_t",1993,70680.50657295,10738.032915972,57122.7472310459,88570.9889835359
"44","b_t",1994,72813.294527546,10875.5982345415,57927.3620305314,91130.2683045995
"45","b_t",1995,70627.5169702254,10983.9699905187,55815.9248003358,89662.1077159678
"46","b_t",1996,70159.3548593676,11699.3105993898,53926.1117783353,90229.1573897719
"47","b_t",1997,67754.0829412551,10476.78342836,53503.5140803713,86718.9360988262
"48","b_t",1998,66927.9753797828,10361.3330782803,52478.239614224,85070.6435263087
"49","b_t",1999,73308.7961386706,11717.9138814836,56990.3531932574,93564.544421173
"50","b_t",2000,72815.6124921763,12140.1754139482,55885.9513028966,93320.9802829422
"51","b_t",2001,65909.3903324744,10667.0364263934,52310.0008403189,84703.4822911095
"52","b_t",2002,60999.498620512,9828.20674318087,47651.0014862505,78041.5916168259
