"","variable","year","mean","sd","lower","upper"
"1","b_t",1951,158254.928543368,91793.8922377447,62813.0293869979,325993.608523149
"2","b_t",1952,37750.4925506155,27676.1697235769,11436.6986851417,85344.6615807795
"3","b_t",1953,20692.0811748676,15516.0935304429,6209.70785178038,48666.3646059714
"4","b_t",1954,17126.2885215551,13056.8442113867,5150.14467579767,40316.7407804634
"5","b_t",1955,19436.406412214,14804.2334522126,5980.24781258605,45821.0587274596
"6","b_t",1956,23503.2651928575,17894.7326762724,7350.55622797586,53434.8061883265
"7","b_t",1957,30078.043905122,22320.9307081405,9192.76278465668,71912.4330760843
"8","b_t",1958,53944.0830029436,40613.7157720907,15696.3806873166,129499.661502512
"9","b_t",1959,60002.9960022082,44303.6668595377,17310.0926987304,145854.229156138
"10","b_t",1960,38721.0821687104,29245.4230062383,11403.0123031413,93114.4623500119
"11","b_t",1961,40516.209689261,30421.4882738811,11313.4093494326,94043.7101076336
"12","b_t",1962,77425.4094795907,56842.3994239934,21903.7850779363,181481.78645637
"13","b_t",1963,97089.4022698479,70774.6219887935,27304.7668836684,225447.209072795
"14","b_t",1964,99101.9752789032,74085.211874437,28619.2113358077,225351.346186739
"15","b_t",1965,102804.272634529,76835.0551392822,29464.9679026055,234194.579771865
"16","b_t",1966,95462.1407073959,70901.2465654365,28248.68266967,233053.952497805
"17","b_t",1967,151807.104863473,118484.643065808,44667.0815597769,352502.089741996
"18","b_t",1968,157093.445191728,120030.678248511,46411.0188465023,363701.947310133
"19","b_t",1969,201336.088155371,151304.204166026,59821.1115568955,472500.446311336
"20","b_t",1970,303089.958505574,217711.631755052,88888.1112840762,694697.780160298
"21","b_t",1971,294635.883824566,226784.706345557,85935.1860503161,688995.522793195
"22","b_t",1972,255215.318928667,194458.887529127,73306.4905958943,601866.241928828
"23","b_t",1973,155271.560396944,114465.579653964,45063.5937425527,367168.777215394
"24","b_t",1974,125268.926709408,94520.1764089125,36072.3197648594,292569.011522334
"25","b_t",1975,107418.913263587,79812.9901676074,31714.9097416599,245183.390846257
"26","b_t",1976,107969.105961251,80420.3343494269,32050.7487012611,247998.160112546
"27","b_t",1977,127733.807710888,98260.4921542139,35194.7121829,304745.96164554
"28","b_t",1978,137694.005951368,102089.112785601,38969.7639975208,323232.279604023
"29","b_t",1979,188281.913970675,144935.409310346,54371.14449667,459951.842515503
"30","b_t",1980,184799.183035921,136840.786310639,54526.4890638733,434591.533164786
"31","b_t",1981,202199.851474719,144074.052296269,60105.6180149674,476613.439006482
"32","b_t",1982,240319.643979164,174507.563641138,70075.541630343,568157.145031842
"33","b_t",1983,229528.580182709,171870.907673318,67896.2404445683,550107.902073237
"34","b_t",1984,153861.450303839,113787.761281639,44955.7257504291,354060.10240905
"35","b_t",1985,198257.790298389,142026.946862789,61150.3058739203,450132.654588396
"36","b_t",1986,248272.3515039,186598.75656983,76329.8142946199,586774.01972388
"37","b_t",1987,254024.659457083,181574.26280263,77950.3588225531,583990.908680867
"38","b_t",1988,263352.251139563,195635.583919439,81345.8252105018,615724.062867475
