"","variable","year","mean","sd","lower","upper"
"1","b_t",1968,65019.1684893104,90356.0150243242,11941.6208086479,194838.366930151
"2","b_t",1969,36865.232932678,51530.8356251924,6110.83726427793,110736.265343523
"3","b_t",1970,20688.8155207979,30734.8477945019,3312.74331587217,61109.5237250905
"4","b_t",1971,24838.5780002978,38044.0754250889,4106.0489276322,71229.0731352913
"5","b_t",1972,36343.2079357408,53765.5664560288,6061.64545626405,111023.475909538
"6","b_t",1973,43371.5612195162,64844.0080194319,6930.09052550749,126325.751302899
"7","b_t",1974,43438.7816300766,64046.6868189276,6948.38359016686,130779.952160009
"8","b_t",1975,40675.9832459765,60310.6911051921,6464.39416906118,122224.730880779
"9","b_t",1976,40183.3782719236,56435.2137700621,6390.9096813383,121199.536883761
"10","b_t",1977,44517.1521264454,65354.5640697985,7055.75160630059,138396.989583944
"11","b_t",1978,48528.6369960776,71339.0644735553,7740.92004414379,143745.994136167
"12","b_t",1979,51428.4088307757,78341.9254915664,8321.27275472908,160137.515554113
"13","b_t",1980,51992.4458448622,77563.0532830489,8377.66539906033,155365.633735798
"14","b_t",1981,59308.494337877,88542.8897809982,9632.38160943914,179785.441261413
"15","b_t",1982,90540.6144851435,127973.997993024,14738.5833309492,271338.782758002
"16","b_t",1983,99776.3865237323,137314.653112215,15951.3801634538,304683.552770963
"17","b_t",1984,105634.668320221,154469.324753215,16910.2547681921,316388.031766501
"18","b_t",1985,114178.519953366,171426.016382447,18394.8500202219,324893.90943735
"19","b_t",1986,120935.703287361,176599.7404188,20730.5612694195,370014.785966707
"20","b_t",1987,132353.79420988,195552.390384531,22040.1005152128,395242.634797665
"21","b_t",1988,128577.791818811,190306.653065762,20478.2430595047,372886.789942232
"22","b_t",1989,135736.608672478,189078.550278095,22275.6515768432,401696.454511129
"23","b_t",1990,127214.00068741,189710.318198408,20927.2746981619,366802.991983405
"24","b_t",1991,103461.594872459,144642.034576735,17323.0961849703,311666.568011164
"25","b_t",1992,124766.989353506,182010.100448938,20622.3013697255,363482.43602784
"26","b_t",1993,116287.72134766,173677.456786872,18608.1124082536,365385.75560225
"27","b_t",1994,116161.375295344,170073.118958133,19392.5312604573,338962.820063778
"28","b_t",1995,89622.0749801482,124203.646206516,15023.5058232421,262489.930065828
"29","b_t",1996,79665.9167656595,120859.88500166,12834.8992245763,236581.504238405
"30","b_t",1997,76204.8537677996,108784.316827989,12231.6091981992,230261.348551173
"31","b_t",1998,68344.3773147187,98088.0344107599,11223.4597392837,196679.005639551
"32","b_t",1999,67098.9107445037,101071.6725578,10688.1310197138,196079.294615385
"33","b_t",2000,68838.8785957236,101284.309922587,11274.1503309589,198785.640214957
"34","b_t",2001,58242.6568070667,84942.5405851663,9218.06670306443,173968.337243061
"35","b_t",2002,59825.0401316588,91044.5172701176,9222.71054253012,179045.348846374
"36","b_t",2003,63847.4487429667,93547.1983003823,10042.706854372,184371.264991041
"37","b_t",2004,71869.8019112286,104177.747419459,11705.2422604553,219063.077107189
"38","b_t",2005,102067.92628178,151491.98125568,16073.4554223659,299696.605814855
"39","b_t",2006,106524.240334052,155570.128488299,16922.9627068715,320543.854781164
"40","b_t",2007,102830.24063845,143321.044258847,17339.3071045988,298360.877834257
"41","b_t",2008,106799.950469884,155856.856153326,16960.2348801824,312323.725683488
"42","b_t",2009,111565.82413286,161511.650560749,18036.0723025643,358426.796044716
"43","b_t",2010,95532.6969361883,143066.932375753,15130.8583006087,279747.09662042
"44","b_t",2011,81343.99447393,123483.348536061,13413.6973534923,245137.302110527
"45","b_t",2012,76402.3534599205,114764.616988029,12610.8409076704,228047.942129434
"46","b_t",2013,73001.6369567505,103336.175287273,11990.6324151478,215489.010166069
"47","b_t",2014,75961.7545071012,112068.972658383,11987.9902905019,222724.583706047
"48","b_t",2015,71889.7122308057,103264.728736568,11694.1980613354,212528.956621774
"49","b_t",2016,68126.5722441399,114836.933919083,9907.64406770714,218435.416975729
"50","b_t",2017,57166.8208131109,86051.3532677469,8486.47125225492,174658.336525118
"51","b_t",2018,46364.0171697629,67979.6814782049,7145.34045642875,139570.308600127
"52","bmsy",1968,47983.2603274775,65933.1534910427,9078.95067293633,141884.891483794
"53","ck",1968,0.00669957017319327,0.00510189373229099,0.00105719508106577,0.0165217563518421
"54","ck",1969,0.00446638011546218,0.00340126248819399,0.000704796720710516,0.0110145042345614
"55","ck",1970,0.00111659502886555,0.000850315622048499,0.000176199180177629,0.00275362605864035
"56","ck",1971,0.00223319005773109,0.001700631244097,0.000352398360355258,0.0055072521172807
"57","ck",1972,0.00433238871199832,0.00329922461354817,0.000683652819089201,0.0106840691075246
"58","ck",1973,0.00399741020333865,0.00304412992693362,0.000630793065035912,0.00985798128993245
"59","ck",1974,0.00482369052469916,0.00367336348724951,0.000761180458367357,0.0118956645733263
"60","ck",1975,0.00455570771777143,0.00346928773795787,0.000718892655124726,0.0112347943192526
"61","ck",1976,0.00489068622643109,0.00372438242457242,0.000771752409178015,0.0120608821368447
"62","ck",1977,0.00489068622643109,0.00372438242457242,0.000771752409178015,0.0120608821368447
"63","ck",1978,0.00618593645991512,0.00471074854614868,0.000976143458184065,0.0152550883648675
"64","ck",1979,0.00647625116742016,0.00493183060788129,0.00102195524503025,0.015971031140114
"65","ck",1980,0.00620826836049243,0.00472775485858965,0.000979667441787617,0.0153101608860403
"66","ck",1981,0.00681122967607983,0.00518692529449584,0.00107481499908354,0.0167971189577061
"67","ck",1982,0.0177985247601168,0.0135540310154531,0.00280861493203141,0.0438927993747271
"68","ck",1983,0.0201433743207344,0.0153396938217549,0.00317863321040443,0.0496754140978719
"69","ck",1984,0.020902658940363,0.0159179084447479,0.00329844865292522,0.0515478798177473
"70","ck",1985,0.0258156770673714,0.0196592971817613,0.00407372504570678,0.0636638344757648
"71","ck",1986,0.0293441173585865,0.0223462945474345,0.00463051445506809,0.0723652928210683
"72","ck",1987,0.0407333866530151,0.0310195138923292,0.00642774609287991,0.1004522786192
"73","ck",1988,0.0417606540795714,0.0318018042646138,0.00658984933864333,0.102985614593149
"74","ck",1989,0.0433908828217151,0.0330432650728047,0.00684710014170266,0.107005908638764
"75","ck",1990,0.0404654038460874,0.0308154381430376,0.00638545828963728,0.0997914083651262
"76","ck",1991,0.0269992677979689,0.0205606317411327,0.00426049617669507,0.0665826780979236
"77","ck",1992,0.0436588656286428,0.0332473408220963,0.0068893879449453,0.107666778892838
"78","ck",1993,0.0362446746369756,0.0276012450916943,0.00571942538856584,0.0893827018634657
