"","variable","year","mean","sd","lower","upper"
"1","b_t",1951,83552.2936306879,37529.6962730719,44447.184294725,154090.832950469
"2","b_t",1952,50833.8045766088,26394.0846089839,23079.4642544284,96247.5087750008
"3","b_t",1953,36692.0611710826,19550.4695027443,16345.968977383,71202.6593563915
"4","b_t",1954,30091.032966433,15701.4585409403,13566.7153257036,59219.9147590225
"5","b_t",1955,25994.1199703742,13923.865075135,11350.2880093072,53351.9488693232
"6","b_t",1956,26730.5179457993,14601.2880688314,11528.7261605556,52530.7824731987
"7","b_t",1957,27043.3701843719,14378.3272247346,11934.6365877845,53243.8897623521
"8","b_t",1958,28804.6670123104,15566.0775073092,12359.7127712734,57695.2996109001
"9","b_t",1959,29373.1747561997,15983.81169207,12801.2697454281,60571.8484797225
"10","b_t",1960,29112.1509079542,15895.4968290005,12891.2403283426,58938.7190573701
"11","b_t",1961,28815.7509724567,15363.8755017181,12718.6668675793,57208.4718430938
"12","b_t",1962,37524.175595677,19879.9750325652,16435.6594556808,75182.6023465312
"13","b_t",1963,45929.7922215541,24812.6842896987,19911.0214142551,90629.6808618899
"14","b_t",1964,43533.3255004315,23478.7283015512,18969.1863435347,85383.3513114013
"15","b_t",1965,35056.4191537791,19272.1369506724,15797.126331103,69583.3296947343
"16","b_t",1966,33321.9292660921,18697.0482384743,14700.1443994069,68244.9302033695
"17","b_t",1967,34873.2495484259,19215.4397256717,15292.2701945204,68747.6028834549
"18","b_t",1968,43525.1743374923,23124.1648424086,19306.0869900404,85612.1069379791
"19","b_t",1969,60060.4347384464,32069.3322002061,27063.622036751,116565.268235422
"20","b_t",1970,104668.385700524,56570.6260217433,46094.9506196098,201394.308727499
"21","b_t",1971,121095.633037495,66861.4887817036,52250.3677477371,243912.254465432
"22","b_t",1972,153247.805387876,82501.7235306944,67145.0434875599,309719.222456759
"23","b_t",1973,174837.237347166,92531.1147618419,78112.0923342155,349610.228340787
"24","b_t",1974,161546.555864812,83950.9026743864,74620.1723580774,316067.744723685
"25","b_t",1975,150774.578109724,79945.5063877153,68253.0240187807,292598.730721999
"26","b_t",1976,169344.614385469,88513.2489331533,77221.32730926,331857.84544479
"27","b_t",1977,179794.755954351,94944.5295106475,79614.3377661961,344981.159575273
"28","b_t",1978,175004.839289892,92333.9806415396,78997.4938585223,344988.981229206
"29","b_t",1979,169428.027224616,92435.7247635528,75282.5155115407,337543.097366268
"30","b_t",1980,186086.91580339,95485.8687643243,84086.0954243283,350371.715872481
"31","b_t",1981,191401.933384966,98895.8674522519,87619.5878940897,375143.229308782
"32","b_t",1982,200439.003740279,104618.277879068,89817.1966264855,393667.340265656
"33","b_t",1983,180954.931176932,93809.0130673731,82252.924564198,361497.015494275
"34","b_t",1984,180713.282181291,97243.2395749408,82116.364688539,359492.054975095
"35","b_t",1985,159993.831260904,86182.5814505674,69667.4921347213,315387.608351021
"36","b_t",1986,98801.3593339728,54793.2627847456,42618.0227507812,197434.419640176
"37","b_t",1987,74834.6120587551,39428.7845616467,33964.3887604064,149163.306075312
"38","b_t",1988,60735.3815692678,31798.4401186889,26377.5540577598,120613.807900834
"39","b_t",1989,54762.0728711448,29417.902242803,24230.9840679882,111102.781574093
"40","b_t",1990,51741.8347036152,27766.7115290045,23238.3471572172,102753.55959047
"41","b_t",1991,47177.1688659751,25333.5005606196,21372.2565357487,92219.9241757352
"42","b_t",1992,47318.2767941876,26126.5373216851,20528.6721302762,96484.5710794199
"43","b_t",1993,43678.2554295649,23524.143504771,19182.3941286034,85337.4204688418
"44","b_t",1994,42171.8195232443,22578.0230580506,18780.4360727915,81324.251140443
"45","b_t",1995,52389.3801317626,28195.9834910989,23706.0456664275,102802.840309927
"46","b_t",1996,61438.3620319353,32587.0809041676,27708.9535364663,123716.784459559
"47","b_t",1997,74683.2586433853,40476.642583364,32621.9697943204,151208.221466988
"48","b_t",1998,71271.6036662113,39335.0453329531,31307.5988989231,145657.271852782
"49","b_t",1999,72820.2471817007,39037.5277314787,32797.4021234288,144558.551069625
"50","b_t",2000,80998.8145806212,43204.6005429924,35307.3908414305,160914.223358667
"51","b_t",2001,77193.1770684168,40629.0075777133,34606.1891449976,154859.685850532
