"","variable","year","mean","sd","lower","upper"
"1","b_t",1951,19731.9640242371,1895.5103536372,19171.9705237086,21206.169603628
"2","b_t",1952,13898.750756262,1811.36896048088,13317.4980698805,15184.6651265069
"3","b_t",1953,10886.5926677425,1557.4675320367,10448.2612538204,12422.0473561567
"4","b_t",1954,8982.10948067617,1398.566976494,8487.40626948221,10354.7613064827
"5","b_t",1955,7749.00881779522,1160.12559668253,7340.3861814266,8016.06809787149
"6","b_t",1956,7173.56862409217,1356.77469670333,6639.51047151535,9053.68036854036
"7","b_t",1957,7580.65840051457,1190.79912826224,7097.68898559364,8811.15591423428
"8","b_t",1958,9402.82220027371,1041.86241460689,8974.9787666001,10387.6840099934
"9","b_t",1959,8884.01582070728,1233.05604088249,8324.25413216526,10025.8837664269
"10","b_t",1960,11490.0671413582,1254.57491418316,10859.9004033373,13062.594663254
"11","b_t",1961,8754.20097090649,2286.32464099657,7869.2172440366,12343.3190903
"12","b_t",1962,15726.975159825,3807.70160787155,14201.2660194363,21669.8144762728
"13","b_t",1963,33924.7024509196,3138.4127125676,31775.4500226253,36684.08506283
"14","b_t",1964,29779.7279535684,4234.48357335722,28470.9827234543,30704.4626773893
"15","b_t",1965,24992.8393301495,4304.05021836943,23648.4473751296,30688.9768281779
"16","b_t",1966,24071.3524348222,4635.7089735688,22526.1907158882,32226.4009742557
"17","b_t",1967,31312.9524302019,3599.49189918735,29999.6613507158,33042.9133394442
"18","b_t",1968,26684.2260218534,3350.86987727485,25443.4492654861,27597.7967473555
"19","b_t",1969,25236.287927456,3776.1641322161,23640.1397317993,29372.7952707703
"20","b_t",1970,27904.176701444,4147.77194588235,26428.6873091376,30510.4256162984
"21","b_t",1971,22064.1684528105,5571.91354478411,20440.0476573756,31986.7990965126
"22","b_t",1972,30224.4347818249,4180.98259259686,29106.2824264903,33681.9689796271
"23","b_t",1973,39611.4917998706,2902.87512172222,37212.9115513439,41235.4678698981
"24","b_t",1974,22753.8434224321,2310.99028210154,21684.8387138087,22947.9159423656
"25","b_t",1975,27306.5774146017,3115.33649089756,25083.7950611633,27877.4296474198
"26","b_t",1976,31159.1533937354,1997.21943063694,28644.0587290829,31718.9018564342
"27","b_t",1977,39189.1877237031,3016.64451227691,34653.7392677589,40328.7152441811
"28","b_t",1978,27384.3293570052,2336.95586395442,26793.3902657838,27663.1136632941
"29","b_t",1979,23824.5203037855,2394.95412579628,22701.1878488941,24228.4387103881
"30","b_t",1980,28048.0727766263,2128.42918574361,26530.6385571622,28503.9511083487
"31","b_t",1981,13825.7519366582,2467.70202874759,13141.1547397913,17736.6544751976
"32","b_t",1982,12470.4727994594,2499.55220540671,11662.0833829,16321.7352945894
"33","b_t",1983,16507.417986344,1711.64001260831,15932.7130716797,17473.1861824837
"34","b_t",1984,15315.1677824385,1368.71546589606,14922.5186903813,15884.371480966
"35","b_t",1985,18479.0001857202,1364.91653273276,17995.1426357706,18828.5640004799
"36","b_t",1986,15161.821094384,1836.90282417523,14516.8492472078,18094.4085539291
"37","b_t",1987,17128.395290713,1176.12161847694,16786.1695651273,17573.8762221471
"38","b_t",1988,10484.3506788779,1681.28825727074,10075.7839601973,10593.6582832183
"39","b_t",1989,12073.3045669122,1208.82143226126,11786.987654423,12274.5265642567
"40","b_t",1990,10775.5890843307,1013.63479727885,10465.6969211129,10917.0168305282
"41","b_t",1991,9985.14907628225,792.852604650488,9643.76046809346,10129.013747809
"42","b_t",1992,9524.73968497481,1221.00798404473,9151.44798492843,10894.046548097
"43","b_t",1993,10205.3432665548,1026.26998788534,9739.73157988369,10386.3627615268
"44","b_t",1994,12224.7725990425,1224.39830779156,11755.7967385117,12432.4659013289
"45","b_t",1995,13157.8175599173,1031.11572897141,12679.7592403559,13376.6377086935
"46","b_t",1996,7908.01495575934,1186.94520000011,7528.85638716603,9864.00949665413
"47","b_t",1997,8122.73898167664,1263.37744185473,7709.06363416468,9857.91783853969
"48","b_t",1998,7215.07197776425,1006.10826065077,6840.12331119489,8417.2329424041
"49","b_t",1999,6393.75764492555,1514.55211884271,5876.23307783012,8308.98998228865
"50","b_t",2000,8969.41726932225,1305.15823033993,8381.11276600116,11246.6026245797
"51","b_t",2001,9522.20307640941,1312.10576677267,8937.45212042296,11378.4568283003
"52","b_t",2002,9853.80741892624,1116.90633301768,9337.98074720468,10877.74004462
"53","b_t",2003,9319.25255902018,872.30532494368,8837.52158003688,10163.2041463082
"54","b_t",2004,10810.767750823,962.790367666443,10265.8265944262,11705.2137692791
"55","b_t",2005,11325.6207119389,1128.71267939146,10707.8845246215,12380.6535159404
"56","b_t",2006,12526.3822202008,959.377614367564,11948.2868241437,13182.406474434
"57","b_t",2007,12081.0984687919,916.767895898122,11454.7258641002,12859.4132930965
"58","b_t",2008,9214.59387930966,1008.0524311314,8617.71706968071,10403.1373657574
"59","b_t",2009,8994.70754079497,1118.35355201859,8358.38796381279,9981.40428459768
"60","b_t",2010,8345.77218210805,915.387929002945,7744.75980385349,8984.91405180401
"61","b_t",2011,6983.93715097812,997.275620948343,6297.73985862893,7804.74965272385
"62","b_t",2012,6521.86762157289,773.109996357183,5809.73101750288,7388.38814944478
"63","b_t",2013,5055.04325258321,646.545106199681,4360.49767000388,5837.56284723913
"64","b_t",2014,4403.8700368371,581.401446044812,3674.77574450694,5147.78021514953
"65","b_t",2015,2599.92584961036,497.358140612663,2026.07441113218,3194.95067705932
"66","b_t",2016,3763.34089172681,746.564233548845,2791.50378112986,4767.22880413122
"67","b_t",2017,7316.14513661325,1293.29362076883,5279.63576959021,9418.26936324383
"68","b_t",2018,9431.50503088598,1688.39227876283,6792.8847763731,12085.3934786651
"69","bmsy",1951,15731.607423551,1187.55002714874,15480.9523322433,15710.0317615962
"70","ck",1951,0.054212205430013,0.00248793667441444,0.0541055557991144,0.0549061828862873
"71","ck",1952,0.044645345648246,0.00204888902598836,0.0445575165404472,0.0452168564945895
"72","ck",1953,0.044645345648246,0.00204888902598836,0.0445575165404472,0.0452168564945895
"73","ck",1954,0.041456392387657,0.00190253980984634,0.0413748367875581,0.0419870810306903
"74","ck",1955,0.044645345648246,0.00204888902598836,0.0445575165404472,0.0452168564945895
"75","ck",1956,0.041456392387657,0.00190253980984634,0.0413748367875581,0.0419870810306903
"76","ck",1957,0.038267439127068,0.00175619059370431,0.038192157034669,0.038757305566791
"77","ck",1958,0.041456392387657,0.00190253980984634,0.0413748367875581,0.0419870810306903
"78","ck",1959,0.038267439127068,0.00175619059370431,0.038192157034669,0.038757305566791
"79","ck",1960,0.047834298908835,0.00219523824213039,0.0477401962933363,0.0484466319584888
"80","ck",1961,0.057401158690602,0.00263428589055646,0.0572882355520035,0.0581359583501865
"81","ck",1962,0.102046504338848,0.00468317491654483,0.101845752092451,0.103352814844776
"82","ck",1963,0.114802317381204,0.00526857178111293,0.114576471104007,0.116271916700373
"83","ck",1964,0.162636616290039,0.00746381002324332,0.162316667397343,0.164718548658862
"84","ck",1965,0.153069756508272,0.00702476237481724,0.152768628138676,0.155029222267164
"85","ck",1966,0.178581382592984,0.00819555610395344,0.178230066161789,0.180867425978358
"86","ck",1967,0.156258709768861,0.00717111159095926,0.155951307891565,0.158258997731063
"87","ck",1968,0.162636616290039,0.00746381002324332,0.162316667397343,0.164718548658862
"88","ck",1969,0.169014522811217,0.00775650845552737,0.168682026903122,0.17117809958666
"89","ck",1970,0.154600454073355,0.00709500999856541,0.154296314420063,0.156579514489836
"90","ck",1971,0.164900773105057,0.00756771796670415,0.164576370021895,0.16701168923823
"91","ck",1972,0.16107402919235,0.00739209890733372,0.160757154318428,0.163135958681551
"92","ck",1973,0.136646647216239,0.00627106391168581,0.136377827411297,0.138395878628083
"93","ck",1974,0.0757376399389888,0.00347579388337311,0.0755886441311158,0.0767071672676072
"94","ck",1975,0.150805599693254,0.0069208544313564,0.150508925514125,0.152736081687796
"95","ck",1976,0.144108797846017,0.00661352107745815,0.143825298033058,0.145953553213607
"96","ck",1977,0.122232578478376,0.00560956545472385,0.121992114928239,0.123797293531258
"97","ck",1978,0.129567170977731,0.00594616865185051,0.129312278359884,0.131225777098227
"98","ck",1979,0.120446764652447,0.00552760989368432,0.120209814266621,0.121988619271475
"99","ck",1980,0.151156384551919,0.00693695284513202,0.150859020286943,0.153091356988825
"100","ck",1981,0.0930855456765929,0.00427193361918573,0.0929024219868324,0.0942771457912192
"101","ck",1982,0.0970079581871174,0.00445194315504042,0.096817118082886,0.0982497696118153
"102","ck",1983,0.101504382284548,0.00465829554980068,0.10130469653446,0.102803753015913
"103","ck",1984,0.109572434033838,0.00502855906664001,0.109356876309269,0.110975084939578
"104","ck",1985,0.134159263672979,0.00615691152309503,0.133895337204044,0.135876653766242
"105","ck",1986,0.148573332410842,0.00681840998005698,0.148281049687102,0.150475238863066
"106","ck",1987,0.145448158215464,0.0066749877482378,0.145162023529271,0.147310058908445
