"","variable","year","mean","sd","lower","upper"
"1","b_t",1951,86741.5442183763,58754.6460469183,31268.3700081688,192661.707383444
"2","b_t",1952,62478.6888086797,46883.4583629028,20663.6969030147,147015.750045637
"3","b_t",1953,46979.3381885176,34426.774174788,15129.2777882748,108747.694176854
"4","b_t",1954,38696.340647994,27289.9947972897,12559.3546950933,87255.8916910649
"5","b_t",1955,32112.0665175081,22717.1686444938,10200.0140260024,73287.4141612684
"6","b_t",1956,29700.7042558778,21908.4316941663,9030.73412745817,69422.9019038153
"7","b_t",1957,34605.203101197,25145.5250680351,10787.9971744939,80079.8765730383
"8","b_t",1958,61748.0265766498,43636.8308898857,19565.813102067,140642.535275817
"9","b_t",1959,69324.0152186808,49140.1330960726,22255.5845099048,158293.875229296
"10","b_t",1960,66513.9888979584,50302.683794052,20775.5475722087,150193.023950404
"11","b_t",1961,85470.657111056,62540.464219938,27068.2681333193,196676.712218732
"12","b_t",1962,158863.718025755,116377.109064396,48846.3502325383,363234.592948517
"13","b_t",1963,124411.775734285,89446.4851882526,39111.7995834362,296115.119260707
"14","b_t",1964,107457.424547773,80482.8874191577,33739.1549255431,248688.713600818
"15","b_t",1965,94073.1615214465,70653.4917941133,29850.5675546989,212400.571232974
"16","b_t",1966,97153.2486813591,67603.4201665424,31055.2957095253,217551.192950034
"17","b_t",1967,102472.347749099,75519.2085028832,32686.2171321537,228368.248645093
"18","b_t",1968,118824.046010055,90776.6947533332,37783.066508508,269177.833245681
"19","b_t",1969,156924.634252673,115906.4637579,46812.1628386216,358763.284929289
"20","b_t",1970,134347.799222055,96801.6787252697,43162.4277684701,306317.561301546
"21","b_t",1971,130713.353485805,97812.9744709414,41744.1250191263,298997.537284299
"22","b_t",1972,130056.101947595,99057.7212110175,41030.5822582415,300249.20120586
"23","b_t",1973,108629.694349769,80106.1426325243,33508.1846833988,241784.392684177
"24","b_t",1974,106902.455685521,78489.5288014769,33110.6210794164,247194.59255795
"25","b_t",1975,94696.4580483238,67910.4398161192,28932.7710512347,214589.174383127
"26","b_t",1976,90133.8018677869,64918.0353681101,28493.676610343,203016.954829813
"27","b_t",1977,121493.955003352,86375.3296492478,37977.9310478067,280011.12275821
"28","b_t",1978,183033.587310878,132203.912651659,58822.1646944295,409786.180355175
"29","b_t",1979,158778.274969355,112879.74105909,49719.3497890596,369859.02029641
"30","b_t",1980,134492.217464595,98196.8201153793,41201.3298602807,308721.611077885
"31","b_t",1981,117272.840861551,85519.0198928327,36547.6257786008,265899.651235741
"32","b_t",1982,89436.3879263801,67581.2425922305,28014.2947412143,200354.364948802
"33","b_t",1983,82791.6087931326,62229.1975749747,26088.5244302885,183590.752882199
"34","b_t",1984,88008.7032933765,62834.1066144209,28109.4919414702,198038.053093517
"35","b_t",1985,108103.171252397,77922.2896714728,34559.8686523858,242770.727874634
