"","variable","year","mean","sd","lower","upper"
"1","b_t",1965,987257.535527053,2223295.46818773,57772.7215931481,3520791.09429182
"2","b_t",1966,968257.763650607,2347352.93719546,48022.3504325856,3546528.64690656
"3","b_t",1967,925313.678536826,2241864.24624058,50142.7211712341,3709455.98422662
"4","b_t",1968,1268556.44277781,3150592.03529229,57597.7599043252,4659368.65260056
"5","b_t",1969,1142374.33427418,2617095.78072935,63059.9275757917,4256046.66401184
"6","b_t",1970,1678981.66812856,3617606.88284909,83683.4748671762,6729773.08755617
"7","b_t",1971,1843961.840297,4473206.37908987,94190.2256403444,7390800.91509389
"8","b_t",1972,2038713.74529217,4958077.54787943,100922.153235942,7607517.15403187
"9","b_t",1973,1064987.96813517,2519269.60808033,50027.7444141491,3907114.88750429
"10","b_t",1974,2598554.93575375,5577676.18796155,126532.038169699,10637326.5951531
"11","b_t",1975,721749.612344017,1811521.94352673,31162.9762121035,2685745.55091807
"12","b_t",1976,856897.183277783,2033455.4149859,37377.1381706523,3247296.29617138
"13","b_t",1977,1549234.72316071,4022215.28530912,55006.4837451387,6118586.65970073
"14","b_t",1978,582744.087739298,1357464.65439835,23022.5927774499,2461978.85715322
"15","b_t",1979,1128242.45706474,2743310.52805307,35447.7120785962,5084232.80868728
"16","b_t",1980,221158.833391868,565764.606951633,10954.8149153342,885744.131335608
"17","b_t",1981,142752.003630343,370670.179772133,6710.45205640946,601248.516755512
"18","b_t",1982,127420.229269304,302116.612160673,5036.52153858204,486357.35498014
"19","b_t",1983,108598.61150208,236557.219220191,5775.43749537869,445267.134591741
"20","b_t",1984,121719.837699735,300227.737418468,6033.51824541892,492631.25225002
"21","b_t",1985,102490.339128816,253857.096211619,4680.27012564913,410606.429550674
"22","b_t",1986,88815.9383678959,221528.470554273,4691.83968826001,337134.528253017
"23","b_t",1987,95247.5448176754,240554.599465837,3913.9277231684,361042.271116801
"24","b_t",1988,89714.6812385667,227628.856457333,4199.170148949,345975.777308748
"25","b_t",1989,111126.81145251,256358.424828418,5512.80120323432,443974.654247354
"26","b_t",1990,132692.720916877,332200.832992878,6400.94114237934,512359.986844804
"27","b_t",1991,147149.77025203,411168.610494406,7603.55624129935,535247.15551132
"28","b_t",1992,162468.983139493,427339.20126794,8672.79728755262,578777.97942525
"29","b_t",1993,165142.873865311,434139.813359305,8400.41386790398,617153.142685633
"30","b_t",1994,132513.193539672,299438.08095258,6585.93551793739,492349.266386978
"31","b_t",1995,116635.478704194,286338.453703765,5398.34394256426,435566.984816559
"32","b_t",1996,123519.299147091,291690.002657061,5749.32728273405,522611.026650288
"33","b_t",1997,135628.195247516,349800.735852808,5574.22201262064,554248.685418229
"34","b_t",1998,143561.986003123,360086.439466143,6619.4946148223,550388.642918455
"35","b_t",1999,156345.385313436,404670.410007542,7040.29801695935,574688.69842505
"36","b_t",2000,197424.30645244,499752.865994514,10167.8527603914,813683.752667658
"37","b_t",2001,233396.906566712,617433.817347129,11460.9174779598,885416.164509826
"38","b_t",2002,311916.804686903,757913.274840738,16659.4884548471,1195813.81456432
"39","b_t",2003,121863.911472793,260193.741945886,5934.48390013838,474006.604729731
"40","b_t",2004,90178.9536907136,219534.151743651,4577.92602865397,334675.042303401
"41","b_t",2005,74561.4849755229,185655.45181299,3944.72353013119,290416.126910963
"42","b_t",2006,97086.8522696727,255313.856425599,4510.43521312377,386611.538038031
"43","b_t",2007,101022.478341347,242649.535821481,5041.75013685641,426773.74078424
"44","b_t",2008,97431.8883865502,232857.890036658,5197.14413016322,374045.44588789
"45","b_t",2009,86800.9038509227,219714.325325363,4420.78089140948,334570.852465641
"46","b_t",2010,82716.3434450419,214475.540811031,4125.65267264346,305071.18717716
"47","b_t",2011,76090.545222249,174666.430779593,3904.3530903191,327011.929005871
"48","b_t",2012,67363.7310668929,159651.057970799,3350.59406652861,260829.049224838
"49","b_t",2013,54915.5664020338,123600.349628656,2596.53669178604,230764.567420837
"50","b_t",2014,54512.0353866098,133068.352567468,2460.02425905161,200700.17971492
"51","b_t",2015,67044.9020723759,155951.067889693,3144.71903137647,256768.70580739
"52","b_t",2016,135825.167183695,328025.918151038,5436.15894429859,550114.024408812
"53","b_t",2017,283184.334620757,732831.759248904,12502.6390593226,1130912.87730508
"54","b_t",2018,430367.952853668,934439.133068254,23737.3318959466,1640923.98910004
"55","bmsy",1965,666049.111061213,1508136.85377116,41428.5148816856,2428462.05409517
"56","ck",1965,0.00627710524903199,0.006715185312996,0.000329426758578905,0.0193103724962822
"57","ck",1966,0.00706174340516099,0.0075545834771205,0.000370605103401268,0.0217241690583175
"58","ck",1967,0.00666942432709649,0.00713488439505825,0.000350015930990086,0.0205172707772998
"59","ck",1968,0.012554210498064,0.013430370625992,0.000658853517157809,0.0386207449925644
"60","ck",1969,0.00902333879548349,0.00965307888743175,0.000473550965457175,0.0277586604634057
"61","ck",1970,0.0183958415704444,0.0196796899578989,0.000965426294360302,0.056591460396917
"62","ck",1971,0.0211695374523604,0.022646962468079,0.00111099174330736,0.0651242312437117
"63","ck",1972,0.026677697308386,0.028539537580233,0.00140006372396034,0.0820690831091994
"64","ck",1973,0.0028246973620644,0.0030218333908482,0.000148242041360507,0.00868966762332699
"65","ck",1974,0.0925873024232219,0.099048983366691,0.00485904468903884,0.284827994320163
"66","ck",1975,0.00360933551819339,0.0038612315549727,0.00018942038618287,0.0111034641853623
"67","ck",1976,0.00517861183045139,0.0055400278832217,0.000271777075827596,0.0159310573094328
"68","ck",1977,0.0267443915516569,0.0286108864241836,0.00140356388327024,0.0822742558169724
"69","ck",1978,0.00205967515983862,0.00220342018082681,0.000108093155158703,0.0063362159753426
"70","ck",1979,0.0222954932064055,0.0238514988335977,0.00117008266812745,0.0685880293102324
"71","ck",1980,0.000992567267503184,0.00106183867761749,5.20906062002893e-05,0.00305345265097462
"72","ck",1981,0.000988644076722539,0.00105764168679687,5.18847144761775e-05,0.00304138366816445
"73","ck",1982,0.00118480361575479,0.00126749122782799,6.21793006817682e-05,0.00364483280867327
"74","ck",1983,0.00119264999731608,0.00127588520946924,6.25910841299918e-05,0.00366897077429362
"75","ck",1984,0.00186351562080637,0.00199357063979569,9.77985689531123e-05,0.00573276683483378
"76","ck",1985,0.00124757466824511,0.00133464308095795,6.54735682675573e-05,0.00383793653363609
"77","ck",1986,0.000933719405793509,0.000998883815308155,4.9002230338612e-05,0.00287241790882198
"78","ck",1987,0.00154573716757413,0.00165361438332526,8.11213393000552e-05,0.00475517922720949
"79","ck",1988,0.00126326743136769,0.00135143104424044,6.62971351640045e-05,0.00388621246487679
"80","ck",1989,0.00198513453500637,0.00212367735523498,0.000104181212400579,0.00610690530194925
"81","ck",1990,0.00214598535701281,0.00229575397888051,0.000112622773089163,0.00660173359716648
"82","ck",1991,0.0029384698947031,0.00314354612464625,0.00015421290135975,0.00903966812482211
"83","ck",1992,0.00389572844518048,0.00416761188487814,0.000204450482043033,0.0119844999305051
"84","ck",1993,0.00280900459894182,0.00300504542756571,0.00014741847446406,0.00864139169208629
"85","ck",1994,0.00194590262719992,0.00208170744702876,0.00010212229515946,0.00598621547384749
"86","ck",1995,0.00193413305485798,0.00206911647456689,0.000101504619987125,0.00595000852541695
"87","ck",1996,0.0023892231854128,0.0025559674097591,0.000125388059984096,0.00735001053139741
"88","ck",1997,0.00177720542363218,0.00190123684174199,9.32689510226523e-05,0.0054672492130099
"89","ck",1998,0.0024676870010257,0.00263990722617155,0.000129505894466332,0.00759139018760094
"90","ck",1999,0.00207929111374185,0.00222440513492992,0.000109122613779262,0.00639656088939348
"91","ck",2000,0.00329940344652244,0.00352966928014352,0.000173154939978037,0.0101500145433583
"92","ck",2001,0.00334648173589018,0.00358003316999099,0.000175625640667378,0.0102948423370805
"93","ck",2002,0.0155122963466703,0.0165949017047414,0.000814095877138118,0.0477207580314374
"94","ck",2003,0.00125934424058704,0.00134723405341982,6.60912434398927e-05,0.00387414348206662
"95","ck",2004,0.00103572236609028,0.00110800557664434,5.43554151655192e-05,0.00318621146188656
"96","ck",2005,0.00103964555687092,0.00111220256746496,5.4561306889631e-05,0.00319828044469674
"97","ck",2006,0.00161243141084509,0.00172496322727585,8.46214986099561e-05,0.00496035193498249
"98","ck",2007,0.0021969868371612,0.0023503148595486,0.000115299365502617,0.00675863037369877
"99","ck",2008,0.00210283025842572,0.00224958707985366,0.000110357964123933,0.00646897478625454
"100","ck",2009,0.00145550377961929,0.00155708359445095,7.63858296454835e-05,0.00447759262257544
"101","ck",2010,0.00167127927255477,0.00178791808958518,8.77098744716333e-05,0.00514138667713514
"102","ck",2011,0.00170266479879993,0.00182149401615016,8.93570082645278e-05,0.00523793853961655
"103","ck",2012,0.00138488634556768,0.00148153775967974,7.26797786114708e-05,0.00426035093199226
"104","ck",2013,0.000925873024232219,0.00099048983366691,4.85904468903884e-05,0.00284827994320163
"105","ck",2014,0.000827793254716094,0.000885565063151347,4.3443153787593e-05,0.00254655537294722
"106","ck",2015,0.000941565787354799,0.0010072777969494,4.94140137868357e-05,0.00289655587444233
"107","ck",2016,0.00100433683984512,0.00107442965007936,5.27082813726247e-05,0.00308965959940515
"108","ck",2017,0.00105141512921286,0.00112479353992683,5.51789820619665e-05,0.00323448739312727
"109","ck",2018,0.000702251149735454,0.000751261356891427,3.68546186160149e-05,0.00216034792302157
"110","crashed",1965,0,0,0,0
"111","delta",1965,100,0,100,100
"112","dep_t",1965,0.745887204608714,0.0755398523160752,0.62767937452373,0.857067529019767
"113","dep_t",1966,0.715670388661201,0.297682598193109,0.348036748184817,1.25594748070779
"114","dep_t",1967,0.703406329322608,0.330470521940194,0.29424352839884,1.31173841520403
"115","dep_t",1968,0.918292820799619,0.377911625648434,0.451213324390802,1.62507974165902
"116","dep_t",1969,0.894717549518526,0.366003531056952,0.46913222107709,1.61720485146146
"117","dep_t",1970,1.28908341131967,0.440264429645513,0.692739581452731,2.08727372058963
"118","dep_t",1971,1.30751428762773,0.450100654235197,0.706814613137605,2.12487669056374
"119","dep_t",1972,1.44997226106462,0.513318062149769,0.750795713300791,2.34553291696633
"120","dep_t",1973,0.773709510718346,0.29478209447738,0.418730208379236,1.29893406198457
"121","dep_t",1974,1.95404953852085,0.602621076725546,1.0442585236457,2.82045026411218
"122","dep_t",1975,0.513293420732699,0.229614950195081,0.227677346618242,0.907214304354331
"123","dep_t",1976,0.631387287540646,0.282575989239399,0.292350229648191,1.17493014911431
"124","dep_t",1977,1.12321730051161,0.616266811206951,0.296546937065339,2.32566748930776
"125","dep_t",1978,0.437656347166937,0.226886537463877,0.195894366583917,0.870190820983807
"126","dep_t",1979,0.827517817329238,0.662330064794521,0.245292165638124,2.53889635031553
"127","dep_t",1980,0.156614493346994,0.0785571992131987,0.065176592189247,0.296887182589312
"128","dep_t",1981,0.10032952423138,0.04885064997864,0.0344644960029266,0.184755596331079
"129","dep_t",1982,0.0934983577201142,0.0420509228827884,0.0434762080206642,0.17188792758752
"130","dep_t",1983,0.0875204433114788,0.040667244163367,0.0417025750039695,0.162228351952136
"131","dep_t",1984,0.0912263254877562,0.043002662226862,0.0424941318896963,0.164600327839435
"132","dep_t",1985,0.0744001818823609,0.037070189929912,0.0325793107114017,0.142924050558659
"133","dep_t",1986,0.0664775784969765,0.0306338469888285,0.032438392702992,0.123484965056322
"134","dep_t",1987,0.067235889339766,0.0338018383539702,0.0297724434082265,0.127560831348701
"135","dep_t",1988,0.0635012985529315,0.0316671784950004,0.0254295394119407,0.11509418161477
"136","dep_t",1989,0.083255506126072,0.042415395917769,0.0291952555408887,0.158300656995279
"137","dep_t",1990,0.097152068736511,0.047756753801161,0.0344336218797566,0.184951453701474
"138","dep_t",1991,0.109656981950347,0.0546309458887967,0.0448482528393734,0.205569993782872
"139","dep_t",1992,0.123562822757107,0.060230304839587,0.0551088777292507,0.23241497745238
"140","dep_t",1993,0.116840749285414,0.0571167884615644,0.0556425014169868,0.220828190500091
"141","dep_t",1994,0.101386788250824,0.0444293969605774,0.0457523890543181,0.180959589782743
"142","dep_t",1995,0.0899441129419967,0.0439099928123747,0.0432701656666438,0.171737658090696
"143","dep_t",1996,0.0941247687365277,0.0477216963295298,0.0430829413069509,0.180528672931953
"144","dep_t",1997,0.0944843654822217,0.048006182380805,0.0404777918573512,0.178654684004423
