"","variable","year","mean","sd","lower","upper"
"1","b_t",1968,66762.4323263715,285257.310345235,2636.07310795407,230049.363825406
"2","b_t",1969,82964.7482493669,324488.608923743,3296.2145034864,286713.530645829
"3","b_t",1970,89782.5471589005,387934.718998172,3567.03616619609,316569.233878478
"4","b_t",1971,133347.975717426,582716.342639127,5989.65378376405,460329.535455586
"5","b_t",1972,226324.507125124,994027.393083228,7775.52961804762,772801.241588263
"6","b_t",1973,127806.37345869,433731.328857523,4942.93588187759,476762.043933591
"7","b_t",1974,108476.803439082,430355.433309903,3337.48810132413,384963.401168063
"8","b_t",1975,90335.509717541,385269.673019969,3357.71443360262,314532.472470595
"9","b_t",1976,83338.733146495,333448.231164654,4070.36958648235,261792.766924907
"10","b_t",1977,92319.5306753761,410940.410984126,3117.47639628145,303247.88069589
"11","b_t",1978,96818.6109201193,472436.532074749,3086.95022347365,306424.319742007
"12","b_t",1979,106100.106372963,457479.697713244,3901.01911769362,368730.888601104
"13","b_t",1980,85517.4840802709,304945.974017372,2887.3063533032,308398.33337406
"14","b_t",1981,69898.6897768388,310861.77637935,2583.61340435709,250377.70833756
"15","b_t",1982,60518.8333858203,335018.795539416,1988.36624032922,188812.451175355
"16","b_t",1983,37344.0263291574,140898.279603584,1446.35023206109,138036.03161418
"17","b_t",1984,43496.0771629552,187544.198613945,1363.18357917404,153696.087474535
"18","b_t",1985,32004.0235212142,129071.971046359,971.515954541057,108984.090890475
"19","b_t",1986,30555.6302206325,119934.934811387,998.19566363667,111567.229466368
"20","b_t",1987,29843.9306191602,116753.401514036,1071.51269976951,99396.4974053726
"21","b_t",1988,31439.0324234844,130526.796144096,950.132067901934,105826.087952582
"22","b_t",1989,33422.5501092023,132901.687118381,1049.56827720172,111863.208158036
"23","b_t",1990,32438.0120256416,149894.578919526,877.144867423845,103039.793203144
"24","b_t",1991,30771.4534022083,125687.375022329,1171.01692220856,102486.416810565
"25","b_t",1992,34031.9340287713,121272.357009758,1306.97840038016,124316.359608374
"26","b_t",1993,30977.0954104549,125936.405309767,1106.4772735064,110014.631912732
"27","b_t",1994,20645.6460751606,90466.9557515879,714.408756833702,72518.6664807141
"28","b_t",1995,18034.8845963268,88095.9756798884,572.63722526181,61989.9897227197
"29","b_t",1996,17856.7519385004,75936.2095743471,668.076917575905,56802.1737477363
"30","b_t",1997,12816.0668968113,53774.2760660454,455.680470947397,41132.6960917186
"31","b_t",1998,8942.5225362206,37762.9333361221,322.227393051831,31319.4987052139
"32","b_t",1999,8071.79567748735,36703.3645524204,306.123704235209,25963.5425758307
"33","b_t",2000,5967.03357130685,25776.9290143077,205.539544449409,21437.6579226324
"34","b_t",2001,5863.74750416945,29101.9537097757,210.99600080242,19104.9206840879
"35","b_t",2002,6448.09135240166,34547.0333808666,213.060300068128,21341.3890953336
"36","b_t",2003,7415.03029631378,37063.1793200774,266.36894766782,26145.3907435189
"37","b_t",2004,17072.465317371,70293.9782675257,557.359074180055,61173.619098558
"38","b_t",2005,18431.745682961,71564.9651671086,557.03148795442,62418.0748948186
"39","b_t",2006,15484.1995386958,62759.8113845818,449.493933375741,52097.1248824893
"40","b_t",2007,11278.5615337742,44963.2147456983,396.370602244514,36563.8558491005
"41","b_t",2008,12242.198102274,51558.7306944524,553.393971194947,41976.4828394291
"42","b_t",2009,14198.6635226926,53879.0813997372,529.83830136713,48715.7017399543
