"","variable","year","mean","sd","lower","upper"
"1","b_t",1965,31041.9767985502,75944.843803504,3714.01718666178,113649.137632091
"2","b_t",1966,23073.95963788,64778.2746671261,2253.00076168259,83188.1391990761
"3","b_t",1967,21161.2194648448,53125.855370101,2093.67450202629,75907.6941442527
"4","b_t",1968,22953.0974634674,59399.1228184491,2118.68399582467,83552.4992780945
"5","b_t",1969,35670.7250740418,88448.0477760954,3508.78088463879,133532.536547246
"6","b_t",1970,47100.2453619652,115826.003330355,4371.90170719991,172622.909841061
"7","b_t",1971,52960.9999468383,154003.509043291,4884.62414877989,192262.402837836
"8","b_t",1972,58806.6612388707,149024.753201027,5413.46184541552,200459.683812435
"9","b_t",1973,53546.8697428601,138739.389466942,4860.31718528876,184228.216270586
"10","b_t",1974,54443.2324629279,137323.277131929,5120.55981889524,193291.438027943
"11","b_t",1975,44741.6901607438,106468.605363169,4287.84869619532,167654.012666823
"12","b_t",1976,47954.1433656702,124781.391839893,4457.08336007809,172972.421987384
"13","b_t",1977,53472.3700696833,128848.378088479,4764.44974616363,186827.625151131
"14","b_t",1978,56041.9376323307,141842.238564463,5055.41563039328,199292.875892172
"15","b_t",1979,46776.7728373118,122729.915552481,4378.18940160667,165343.03646795
"16","b_t",1980,45538.4672404021,121767.710240469,4318.32421531243,167396.536307654
"17","b_t",1981,51737.0562431726,166695.989525446,4605.18561398557,173132.406438119
"18","b_t",1982,43545.2365198168,115555.686780444,4213.22592514855,154654.540293424
"19","b_t",1983,47838.9772163235,124706.358230786,4736.69159942228,171887.040786449
"20","b_t",1984,57381.7568214323,153549.769856409,5666.18557772302,203417.276269508
"21","b_t",1985,56124.7320596163,139999.615933549,5047.27976847776,195201.601420067
"22","b_t",1986,50152.8345749893,126110.2977773,4921.45904335109,180427.287703999
"23","b_t",1987,53659.2467010366,151232.975842398,4806.95793318042,171567.822119323
"24","b_t",1988,51699.8650253642,133047.561882111,4958.30319792769,179256.251251136
"25","b_t",1989,40017.4450434455,103064.0327607,3634.85210359172,135943.342931635
"26","b_t",1990,35845.1731680489,87645.0407043872,3240.48121706426,129906.667469852
"27","b_t",1991,34221.2038716814,89796.7959322286,3154.33025400884,113373.621558682
"28","b_t",1992,33455.0767235103,85028.6155186416,3141.96867080321,117088.732585849
"29","b_t",1993,31368.8435424872,79058.859057435,3104.17370063188,106045.637412052
"30","b_t",1994,39608.7643760588,111772.507956633,3540.32634154514,134925.428125638
"31","b_t",1995,38534.7488085219,96800.5118438959,3749.69201689781,140051.653229465
"32","b_t",1996,28699.6990186707,74210.8066857826,2592.49005865409,104633.699517014
"33","b_t",1997,23698.5075107069,56483.9409029639,2218.80773657253,85247.592363233
"34","b_t",1998,17317.1422358023,46815.1105198719,1612.30491629268,61979.5955257387
"35","b_t",1999,15812.0056937996,40743.1208361302,1490.48820384709,55381.9976152494
"36","b_t",2000,18177.5479990087,47192.9920315704,1724.63317574258,62586.9785802722
"37","b_t",2001,17573.49692496,41668.3058290535,1688.5542062958,61435.5098630644
