"","variable","year","mean","sd","lower","upper"
"1","b_t",1951,55480.1239467805,47762.6057357782,19138.4567561674,143457.046151157
"2","b_t",1952,40558.1712238093,36408.1616091757,12632.0863030546,105371.580270272
"3","b_t",1953,35604.887159227,34198.6027845246,10855.9493168044,93416.6173240605
"4","b_t",1954,30096.1048080046,27761.0561711971,9113.94771811808,78216.2904979656
"5","b_t",1955,24398.4637508677,22530.2002767104,7141.45910020184,66727.340939076
"6","b_t",1956,27290.9606832589,25594.9684358034,8306.55321143046,72112.9599012931
"7","b_t",1957,28955.0840524745,27270.1045775475,8685.62982731972,75574.6265380398
"8","b_t",1958,42958.7818764394,41245.4094315023,12783.4994559738,115763.003626449
"9","b_t",1959,54534.0670156609,52034.53029636,16244.2689103425,144242.127292052
"10","b_t",1960,55695.1692427892,52542.1413944124,16688.531118422,144849.11133331
"11","b_t",1961,56941.9490334311,51976.4982828863,17366.3451070314,148620.500532151
"12","b_t",1962,80647.6597718477,75761.8560010476,24248.0712565733,208982.420472031
"13","b_t",1963,90662.0828986387,82776.6671950569,27292.6370915673,241074.511790081
"14","b_t",1964,99470.5708684214,89216.5060266232,29941.3700980963,266527.210798357
"15","b_t",1965,101418.667160879,93021.3812698865,32050.9767680697,267045.992759146
"16","b_t",1966,87351.7487831016,79768.5128041665,26849.42747739,228102.13246377
"17","b_t",1967,108626.776258672,103517.908498073,33049.1035653751,284698.263154992
"18","b_t",1968,118430.684705266,111999.138694248,35450.7384099394,309546.267315058
"19","b_t",1969,124479.716195461,115396.298289393,37306.5693196877,327906.846484498
"20","b_t",1970,123178.345366277,114470.949447882,37162.3462440963,316889.394825531
"21","b_t",1971,106112.138319438,96166.4858054304,32645.2053090048,273033.947857701
"22","b_t",1972,108541.47016837,100114.904109355,33090.3642233996,280000.802692767
"23","b_t",1973,118160.806814181,107224.268729996,35547.3828160487,319917.726785859
"24","b_t",1974,122032.965654416,114033.71087446,35613.675206523,327479.137729666
"25","b_t",1975,120712.280462464,108892.215086007,36971.7689953553,306647.512993467
"26","b_t",1976,122913.572134861,111094.116549285,38129.3847784018,311875.518614319
"27","b_t",1977,129580.537040015,118959.27142573,39794.1818722199,351474.045970533
"28","b_t",1978,128992.345331861,118636.842729491,39305.7514402055,340904.749283649
"29","b_t",1979,121795.05852477,109172.373934275,36733.3397597908,317805.389846319
"30","b_t",1980,122973.2484422,113288.849634176,37217.9626045074,322800.527718208
"31","b_t",1981,118983.912302722,109958.485920713,36058.0207916168,320039.358246841
"32","b_t",1982,97707.6447945195,88082.7544385375,29853.1920591076,266110.957985643
"33","b_t",1983,92954.2914937044,86347.183754531,27963.6286477772,248430.079996451
