"","variable","year","mean","sd","lower","upper"
"1","b_t",1973,23038.0498861313,14160.8370693092,8776.67433674126,50259.8258392188
"2","b_t",1974,3349.30168479535,2779.76052145039,892.495659160458,8349.39170945746
"3","b_t",1975,1333.46780439343,1119.96698895019,366.342252247842,3180.33744864735
"4","b_t",1976,811.458264128468,674.55185423094,212.019394197465,2001.79313585852
"5","b_t",1977,758.258617683011,589.858202702896,199.246245004804,1848.13439731733
"6","b_t",1978,881.093092573843,733.390905566495,244.651573355968,2194.96094308403
"7","b_t",1979,937.077173165711,782.194371587192,261.62587681517,2235.41094042039
"8","b_t",1980,1113.09160099357,928.452643909309,293.805297640278,2591.24420256129
"9","b_t",1981,1313.76661831237,1040.31041374279,353.64136395511,3256.90621686091
"10","b_t",1982,1569.6453890997,1257.9259470236,436.624309908556,3892.14493173944
"11","b_t",1983,1884.39137121965,1632.46906813118,512.281603136411,4569.04778263079
"12","b_t",1984,3207.80512567828,2593.09470493372,874.498013530386,7969.05523104658
"13","b_t",1985,9034.97288397026,7255.85088259507,2385.46511534537,22730.4402348818
"14","b_t",1986,10863.7347415086,9102.94206657568,2805.87723555824,27903.4610465463
"15","b_t",1987,11342.5602232556,10082.6490694103,2812.68303893718,26871.1603985399
"16","b_t",1988,7339.04121116488,6268.26953040167,1946.23374724293,17920.8582942751
"17","b_t",1989,6255.22309442725,5267.81528673287,1639.68724217757,15283.2153771102
"18","b_t",1990,5452.64840490998,4543.14751054977,1418.31044834725,14056.1049831316
"19","b_t",1991,4504.4327179232,3517.25594150818,1222.80004487223,10929.0232087726
"20","b_t",1992,4264.05655443922,4031.6225580575,1123.70738420373,10157.4711357329
"21","b_t",1993,4068.54360970734,3285.27000082472,1086.2051840148,9893.4091717205
"22","b_t",1994,4382.56512367907,3466.38234447161,1146.02869673875,10726.9202536699
"23","b_t",1995,9922.12399990365,8315.95413247408,2591.73619162296,24387.7409901197
"24","b_t",1996,17432.3822225606,14458.9847005217,4409.93620851664,43199.1065823428
"25","b_t",1997,17856.149283481,15690.5662083838,4462.57586278542,41676.4275570249
"26","b_t",1998,18389.2729216676,15003.9870180027,4846.50483702482,44393.8671462114
"27","b_t",1999,21827.3534066907,17809.6572785635,5977.04346122874,53977.671433117
"28","b_t",2000,28263.0264617247,22103.5411164271,7627.32235792455,69030.8014074571
"29","b_t",2001,32782.711700696,24835.3006403637,9023.97079909146,79285.0272552876
"30","b_t",2002,35492.0166980831,27521.0658648478,10069.1280485419,84517.6976657891
"31","b_t",2003,31610.9023123664,24292.5872990312,8412.56137212738,79084.3118357639
"32","b_t",2004,30197.5658678035,23418.6479315758,8443.74919681973,69223.627072182
"33","b_t",2005,32730.5340223707,25078.9249665473,9552.52601543788,76407.7965486287
"34","b_t",2006,38787.1501128798,30569.9227522294,10734.0993395758,93522.8969506676
"35","b_t",2007,39918.8981903758,29291.4298082035,11825.0521150039,94196.7283164072
"36","b_t",2008,43959.7789034299,31967.5740092265,12972.9265499905,103777.741147612
"37","b_t",2009,41923.9573554256,30578.6227829031,12336.0124814459,93675.7214122204
"38","b_t",2010,40650.3950294815,30166.1438389187,12056.5569960802,93295.3375653568
"39","b_t",2011,41330.0243326563,29637.9476900851,11720.8902351225,96926.2146005983
"40","b_t",2012,41302.4306641434,30786.8220683646,11871.4745025277,96218.407767759
"41","b_t",2013,41110.5962439334,29890.9711260639,12065.0588584959,98034.1429424123
"42","b_t",2014,40334.1710103285,31189.1665087492,11423.4190412236,95989.2092481196
"43","b_t",2015,36328.596293974,28625.4703467544,10197.9904295566,83683.9766465723
"44","b_t",2016,27911.3886907949,26498.6774234493,5806.11436853495,75031.6705490231
"45","b_t",2017,20608.9134870126,18929.8969722474,4809.40593146937,55611.8498612677
"46","b_t",2018,12787.8164280151,8813.40907563706,4235.35693553989,30230.0013504564
"47","bmsy",1973,16811.6072745544,9997.40974520757,6574.89533099413,35800.0528636148
"48","ck",1973,0.0010914516461576,0.000541298399175424,0.000391062775677425,0.00212931150719725
"49","ck",1974,0.000584706239012998,0.000289981285272549,0.000209497915541478,0.00114070259314138
"50","ck",1975,0.000389804159341999,0.000193320856848366,0.000139665277027652,0.000760468395427589
"51","ck",1976,0.000233882495605199,0.000115992514109019,8.37991662165912e-05,0.000456281037256553
"52","ck",1977,0.000272862911539399,0.000135324599793856,9.77656939193564e-05,0.000532327876799312
"53","ck",1978,0.000467764991210398,0.000231985028218039,0.000167598332433182,0.000912562074513107
"54","ck",1979,0.000389804159341999,0.000193320856848366,0.000139665277027652,0.000760468395427589
"55","ck",1980,0.000545725823078798,0.000270649199587712,0.000195531387838713,0.00106465575359862
"56","ck",1981,0.000740627902749798,0.000367309628011895,0.000265364026352539,0.00144488995131242
"57","ck",1982,0.000896549566486597,0.000444637970751241,0.000321230137163599,0.00174907730948345
"58","ck",1983,0.000896549566486597,0.000444637970751241,0.000321230137163599,0.00174907730948345
"59","ck",1984,0.0014422753895654,0.000715287170338953,0.000516761525002312,0.00281373306308208
"60","ck",1985,0.0140719301522462,0.00697888293222601,0.00504191650069824,0.027452909074936
"61","ck",1986,0.00966714315168157,0.00479435724983947,0.00346369887028577,0.0188596162066042
"62","ck",1987,0.014812558054996,0.0073461925602379,0.00530728052705078,0.0288977990262484
"63","ck",1988,0.00643176862914298,0.00318979413799804,0.00230447707095626,0.0125477285245552
"64","ck",1989,0.00549623864672218,0.00272582408156196,0.00196928040608989,0.010722604375529
"65","ck",1990,0.00514541490331438,0.00255183531039843,0.00184358165676501,0.0100381828196442
"66","ck",1991,0.00456070866430138,0.00226185402512588,0.00163408374122353,0.00889748022650279
"67","ck",1992,0.00393702200935419,0.00195254065416849,0.00141061929797928,0.00768073079381865
"68","ck",1993,0.00405396325715679,0.002010536911223,0.00145251888108758,0.00790887131244692
"69","ck",1994,0.00206596204451259,0.00102460054129634,0.000740225968246555,0.00403048249576622
"70","ck",1995,0.0115771835324574,0.00574162944839646,0.00414805872772126,0.0225859113441994
"71","ck",1996,0.0297420573577945,0.0147503813775303,0.0106564606372098,0.058023738571125
"72","ck",1997,0.0152023622143379,0.00753951341708627,0.00544694580407843,0.029658267421676
"73","ck",1998,0.0165666767720349,0.00821613641605555,0.00593577427367521,0.0323199068056725
"74","ck",1999,0.0198800121264419,0.00985936369926666,0.00712292912841025,0.038783888166807
"75","ck",2000,0.0281828407204265,0.0139770979501368,0.0100977995290992,0.0549818649894147
"76","ck",2001,0.0399159459166207,0.0197960557412727,0.0143017243676316,0.0778719636917851
"77","ck",2002,0.0429174379435541,0.0212846263390051,0.0153771470007445,0.0837275703365775
"78","ck",2003,0.0343807268539643,0.0170508995740259,0.0123184774338389,0.0670733124767133
"79","ck",2004,0.0293132727825183,0.0145377284349971,0.0105028288324794,0.0571872233361547
"80","ck",2005,0.0357840218275955,0.01774685465868,0.0128212724311384,0.0698109987002526
"81","ck",2006,0.0546505431397482,0.0271035841301409,0.0195810718392768,0.106617669038948
"82","ck",2007,0.0700478074337572,0.0347397579756513,0.0250978502818691,0.136656170658338
"83","ck",2008,0.0834570705151219,0.0413899954512351,0.0299023358116203,0.162816283461047
"84","ck",2009,0.0732831819562958,0.0363443210874928,0.0262570720811986,0.142968058340387
"85","ck",2010,0.0770253018859789,0.0382002013132371,0.027597858740664,0.150268554936492
"86","ck",2011,0.0721917303101382,0.0358030226883173,0.0258660093055211,0.140838746833189
"87","ck",2012,0.0711002786639806,0.0352617242891419,0.0254749465298437,0.138709435325992
"88","ck",2013,0.0735950252837693,0.0364989777729715,0.0263688043028207,0.143576433056729
"89","ck",2014,0.0670463154068238,0.0332511873779189,0.0240224276487561,0.130800564013545
"90","ck",2015,0.0597179972111942,0.0296167552691696,0.0213967204406363,0.116503758179507
"91","ck",2016,0.0552742297946954,0.0274128975010983,0.019804536282521,0.107834418471632
"92","ck",2017,0.066695491663416,0.0330771986067554,0.0238967288994313,0.13011614245766
"93","ck",2018,0.0589773693084444,0.0292494456411577,0.0211313564142837,0.115058868228194
"94","crashed",1973,0,0,0,0
"95","delta",1973,100,0,100,100
"96","dep_t",1973,0.683494484574153,0.0677664878508116,0.583025933370305,0.797270891681699
"97","dep_t",1974,0.0985084935955631,0.0443406775169676,0.0453612672359829,0.179243518334534
"98","dep_t",1975,0.039639948714781,0.0190926101056797,0.0171898614509797,0.0748249014226947
"99","dep_t",1976,0.0239159527043139,0.0112406097124905,0.0104635641899764,0.0430151268226439
"100","dep_t",1977,0.0225349900419251,0.00999888654619333,0.0102411661742799,0.0401902186352249
"101","dep_t",1978,0.0260225911108661,0.0122174344392884,0.011407573620954,0.0477986124798369
"102","dep_t",1979,0.0275660059848891,0.012413679467143,0.0124112709639308,0.0492127456451015
"103","dep_t",1980,0.0328981627739226,0.0157052696518588,0.0140188288333176,0.0615506350746195
"104","dep_t",1981,0.0392307718954314,0.0189138896392714,0.017031438963098,0.0730404101567757
"105","dep_t",1982,0.0463652658729836,0.020604321039414,0.0209813490491396,0.0843092558863381
"106","dep_t",1983,0.0553446223549587,0.0253421514608678,0.0242264284627933,0.100214087453042
"107","dep_t",1984,0.0947322448734756,0.0442235178226711,0.0421085007774272,0.170546928014353
"108","dep_t",1985,0.269184217570105,0.132066078619889,0.111860890707569,0.506367558662376
"109","dep_t",1986,0.319479397971147,0.162014552610324,0.133849501406541,0.617130166801683
"110","dep_t",1987,0.335694335145149,0.178536734047899,0.136918470546632,0.645571965980318
"111","dep_t",1988,0.215906761959888,0.103487799912881,0.092261845507576,0.397866026169271
"112","dep_t",1989,0.184753608003409,0.0868370432950314,0.0814064714282719,0.344264858755887
"113","dep_t",1990,0.160583432970388,0.084091190148159,0.0682607628131354,0.293719012304103
"114","dep_t",1991,0.134709864842176,0.0651459795563736,0.0594954953084323,0.250661997307694
