"","variable","year","mean","sd","lower","upper"
"1","b_t",1990,5128.94932223041,2399.53810755519,2605.10629321583,9615.42005952434
"2","b_t",1991,5143.57699014701,3107.97209030603,2027.0108682998,10904.7573691247
"3","b_t",1992,5603.58480022837,4224.50663718276,1798.76245444869,13378.9053411047
"4","b_t",1993,2597.42633410509,1572.61260419113,997.649521846404,5320.34287101788
"5","b_t",1994,2942.37837975649,1777.41087822955,1119.33628710048,6333.64057580854
"6","b_t",1995,3222.58871114043,1911.7664825716,1252.67853353619,6799.80239240266
"7","b_t",1996,3996.41736434251,2308.8949953234,1567.92443992754,8215.33974265264
"8","b_t",1997,5913.87540136291,3463.54386023587,2280.66841809526,12185.9460963455
"9","b_t",1998,5276.36857966891,3227.97441772379,2018.06074279779,11027.8791136776
"10","b_t",1999,5310.09037228522,3166.16007817387,2031.57517271312,11261.1452482285
"11","b_t",2000,4530.14643047461,2620.68058654347,1794.82660530308,9420.87663502948
"12","b_t",2001,5500.10379040739,3087.0458642365,2230.10828475755,11276.9245756084
"13","b_t",2002,7975.56826904229,4277.21730717083,3385.8843043143,16027.1471147152
"14","b_t",2003,6868.18167860109,3933.30236241763,2666.16118823974,14239.2562846376
"15","b_t",2004,7407.81413483368,4177.79850831031,3123.1436939182,15059.9353180334
"16","b_t",2005,7588.30979336148,4082.76489650164,3207.50209584784,14951.9953473486
"17","b_t",2006,7183.45654568349,3965.74066512309,3061.02029363987,14636.6709938784
"18","b_t",2007,7235.84826307603,4061.03505794439,2972.92112981168,14824.2386404811
"19","b_t",2008,7109.38960574714,4097.8529254203,2786.18069812769,14162.5161991422
"20","b_t",2009,5742.38930855738,3609.28388638093,2064.94360513436,12266.4581438272
"21","b_t",2010,3815.76447285412,2254.21978212469,1464.65596439885,8050.91470674199
"22","b_t",2011,3851.6037812188,2372.15236294095,1432.31874303733,8283.14393038809
"23","b_t",2012,3983.19080374782,2465.75052161447,1510.7302247827,8631.03171648325
"24","b_t",2013,3694.68112773887,2276.4412647161,1408.91013848604,7848.29294565092
"25","b_t",2014,4367.77124141169,2500.95494356211,1758.75272756348,9102.58535766288
"26","b_t",2015,8638.80194705636,4998.58571536356,3442.73308470727,17777.2386728193
"27","b_t",2016,4952.05983268984,3277.84009370068,1976.40261035144,10725.2017984592
"28","b_t",2017,4326.12886976234,3360.25887682155,1764.48621830103,9771.34183018886
"29","b_t",2018,2824.77709481913,1614.90608257962,1148.12361592943,5733.58174273116
"30","bmsy",1990,3615.17337713661,1623.69097959713,1923.00940018024,6614.89061038351
"31","ck",1990,0.0359885613018781,0.0130782244627762,0.016855909975832,0.0579820395304885
"32","ck",1991,0.0603574974300557,0.0219338831797234,0.0282695530536375,0.0972434205578597
"33","ck",1992,0.0819829109477762,0.0297925472066831,0.0383982164471867,0.132084646105328
"34","ck",1993,0.0217867972006886,0.00791731077342956,0.0102042504337996,0.0351012346933451
"35","ck",1994,0.0327608876425169,0.0119052895333793,0.0153441691708246,0.0527818566129559
"36","ck",1995,0.0351816428870378,0.012784990730427,0.0164779747745801,0.0566819938011054
"37","ck",1996,0.0459943496458981,0.0167143227439069,0.0215423064713547,0.0741026065748396
"38","ck",1997,0.081498759898872,0.0296166069672736,0.0381714553264356,0.131304618667698
"39","ck",1998,0.063746554772385,0.0231654648555902,0.0298568808988952,0.102703612621269
"40","ck",1999,0.0676197631636186,0.0245729867708666,0.031670969864904,0.108943832122308
"41","ck",2000,0.0411528391568562,0.0149549203498114,0.0192746952638437,0.0663023321985407
"42","ck",2001,0.0616485668938002,0.0224030571514822,0.0288742493756404,0.0993234937248727
"43","ck",2002,0.14330871047564,0.0520783108652256,0.0671212917423264,0.230888121538448
"44","ck",2003,0.101510336586912,0.0368888035295348,0.0475442483174812,0.1635457527564
"45","ck",2004,0.117164553834814,0.0425775379371101,0.0548761912217668,0.188766639906434
"46","ck",2005,0.133141538448652,0.0483835658376251,0.0623593082065532,0.21450754534822
"47","ck",2006,0.115066565956229,0.0418151302330021,0.053893559698512,0.185386521010037
"48","ck",2007,0.144438396256417,0.0524888380905145,0.0676504010240789,0.232708185559584
"49","ck",2008,0.129591097423355,0.0470933374152884,0.0606963933210451,0.208787344138934
"50","ck",2009,0.0842422825093291,0.030613601657261,0.0394564350106918,0.135724774147601
"51","ck",2010,0.0476081864755787,0.0173007902086053,0.0222981768738584,0.0767026980336059
"52","ck",2011,0.0501903254030677,0.0182391381521229,0.0235075695178643,0.080862844367632
"53","ck",2012,0.0518041622327483,0.0188256056168214,0.024263439920368,0.0834629358263983
"54","ck",2013,0.0409914554738881,0.0148962736033416,0.0191991082235934,0.0660423230526641
"55","ck",2014,0.0413142228398242,0.0150135670962812,0.0193502823040941,0.0665623413444173
"56","ck",2015,0.241429989720223,0.0877355327188935,0.11307821221455,0.388973682231439
"57","ck",2016,0.218674890421726,0.0794663414666449,0.102420439539248,0.352312392662834
"58","ck",2017,0.271124587386346,0.0985265340693457,0.126986227620617,0.436815365072739
"59","ck",2018,0.0752047962631175,0.0273293838549495,0.0352235607566713,0.12116426197851
"60","crashed",1990,0,0,0,0
"61","delta",1990,100,0,100,100
"62","dep_t",1990,0.707826050124804,0.068677526709815,0.601820374375769,0.825899467762581
"63","dep_t",1991,0.695974593167728,0.211528418330828,0.415380080161321,1.08223438742578
"64","dep_t",1992,0.747582406729794,0.346313459425411,0.369208173421601,1.50088218690104
"65","dep_t",1993,0.35255769036801,0.111929349368915,0.205773422838908,0.546510438246693
"66","dep_t",1994,0.400172657201523,0.128580657954446,0.231571404377827,0.619555511645559
"67","dep_t",1995,0.439900967847934,0.138108101812688,0.253078592208748,0.68205402006329
"68","dep_t",1996,0.545485112577842,0.168471469744003,0.326489783154815,0.83505815261801
"69","dep_t",1997,0.807128777626286,0.252070543458801,0.46576847131989,1.26320275331635
"70","dep_t",1998,0.713848329981343,0.218811264027997,0.412775414952865,1.08130715498196
"71","dep_t",1999,0.723614776761259,0.23584351161127,0.419776446668877,1.15818403849358
"72","dep_t",2000,0.616765787536844,0.177964349145279,0.375060106630254,0.912876526909321
"73","dep_t",2001,0.749266203867649,0.197721764165513,0.468208527379337,1.08644363773297
"74","dep_t",2002,1.0894068402378,0.246426355162603,0.708545364785049,1.49305682764869
"75","dep_t",2003,0.929737067939802,0.23316416528224,0.594875176846593,1.3460218960709
"76","dep_t",2004,1.00523625991071,0.233857307050538,0.65255262332124,1.40779131157124
"77","dep_t",2005,1.03677469484893,0.234871040402153,0.677893936434795,1.42347957385358
"78","dep_t",2006,0.980474989266227,0.232397854004235,0.639363316087395,1.37988047856779
"79","dep_t",2007,0.984106813875507,0.235133569859875,0.640665607841536,1.40310411748848
"80","dep_t",2008,0.964927815301846,0.256218767434083,0.58510519613635,1.41638482645115
"81","dep_t",2009,0.777260231562536,0.263334705646626,0.448064833925124,1.27054074689804
