"","variable","year","mean","sd","lower","upper"
"1","b_t",1951,93406.3403800522,20116.400306849,61351.1231383893,124531.617132943
"2","b_t",1952,89359.2758098968,18009.3718340856,64353.1712137705,121338.795802395
"3","b_t",1953,80992.3565234307,20511.2819551198,46808.299498949,113961.55641092
"4","b_t",1954,83051.200333702,20509.5582120834,48970.6471782869,116054.636002245
"5","b_t",1955,78864.8041319308,16905.188445312,54557.523491127,109068.637783242
"6","b_t",1956,82018.5251783027,19027.4989081063,53529.6113105467,112964.011661033
"7","b_t",1957,91663.2670592875,20294.5130153898,62946.3567948974,125952.827861776
"8","b_t",1958,121199.034997451,22567.768820262,93495.2129568439,159919.330741523
"9","b_t",1959,126276.183170106,25830.8813157541,93469.0899946161,171221.508560514
"10","b_t",1960,120129.542724731,26243.8088903171,81890.9962123644,164722.039962075
"11","b_t",1961,114762.4345597,18670.0862517313,91907.9710501982,147996.171153993
"12","b_t",1962,141890.862313413,28046.8538798409,101673.713367359,189118.256124136
"13","b_t",1963,148707.557387197,31375.4706269061,102851.681754844,200906.002945551
"14","b_t",1964,145083.512382465,33836.6546315092,99348.3192523427,202760.555097814
"15","b_t",1965,135242.843603551,29287.5129594093,88520.3159664881,183924.811857982
"16","b_t",1966,130779.415146848,26526.0876218798,91797.1458826869,178228.240062425
"17","b_t",1967,124605.420967486,29684.4669856736,79408.6810814304,173773.571141958
"18","b_t",1968,123049.353899278,25080.6954555195,88798.6875406177,167986.149322285
"19","b_t",1969,136334.697538073,26125.0939665993,103423.866820222,186201.869767008
"20","b_t",1970,139886.767316332,28786.7796865951,97321.7278612665,189300.147875614
"21","b_t",1971,139973.220985885,32614.458954829,88234.5744512981,192362.887791733
"22","b_t",1972,146807.464547255,33011.2186995641,97507.5917817494,203437.826246532
"23","b_t",1973,156844.590589449,31858.2074238627,112265.102244487,213123.325643129
"24","b_t",1974,138314.931071818,31402.6530375889,89929.3587619687,191702.192688812
"25","b_t",1975,138839.616629002,28072.287234963,100601.822739461,185716.50460899
"26","b_t",1976,136048.746284804,23275.7366864996,108548.877791974,177338.030197449
"27","b_t",1977,134419.685415187,27731.2627766923,93684.1865095565,181935.190780583
"28","b_t",1978,121450.735276259,23770.5601034001,83060.4940602906,162617.542770032
"29","b_t",1979,106212.400519256,23199.5711128623,72011.9195139944,144995.732017033
"30","b_t",1980,96931.481583569,20016.1046887188,67625.7850732735,130786.166748102
"31","b_t",1981,92478.3887856743,18922.4625093857,64514.5044903548,124534.790058499
"32","b_t",1982,85552.2835494733,20685.9385340777,51481.6338967999,118694.648711564
"33","b_t",1983,79251.4141863935,16007.8558260772,56829.2233129343,107732.186402133
"34","b_t",1984,68706.2050056692,14854.3371834628,44647.7655734602,94154.7010326943
"35","b_t",1985,66009.7447609909,11116.4822304806,52418.8776362842,86354.6867263387
"36","b_t",1986,61785.9186317784,9834.33117395236,50850.9291944313,80273.6715731954
"37","b_t",1987,59730.8968029543,10538.4262351331,47073.3352796348,78331.4798265923
"38","b_t",1988,58182.7089269345,10434.4344839474,44856.7343154185,77030.3364512212
"39","b_t",1989,61397.6282653885,11264.9810808653,45368.5622056242,80824.6621820146
"40","b_t",1990,63546.1849912478,10243.2134210151,51304.3428464655,82430.3958625549
"41","b_t",1991,63774.4481650709,10519.02206175,51036.7633494954,82811.1990684425
"42","b_t",1992,62012.9496109744,10697.0796082645,47000.5333113593,79657.616721986
"43","b_t",1993,59008.1224060279,10811.5131571292,44621.8747670229,78134.7093002484
"44","b_t",1994,63360.2778311862,10130.8604667797,51561.3084253816,81451.0367304345
"45","b_t",1995,44186.8203914462,9092.20657971888,31280.8706811174,59363.3181716863
"46","b_t",1996,45249.7854363049,8350.12044303884,35181.9340112454,60244.3081695032
"47","b_t",1997,47880.2814878219,7315.08210906376,38507.4053013653,61439.6036513911
"48","b_t",1998,44514.4867705834,6873.60588604546,35933.026082128,57496.1213872326
"49","b_t",1999,36952.0848312798,6737.25589396724,27278.0749379917,48102.9522298399
"50","b_t",2000,34732.1662950703,5761.35162438985,27611.5819732165,44942.8802438656
"51","b_t",2001,32262.7131187985,6241.68537579064,22731.887124494,42559.6870336556
"52","b_t",2002,29454.9024738267,5520.27033794769,21345.5502861256,38862.1769202331
"53","b_t",2003,29689.7166302934,5245.42800048078,21970.75119389,38772.3243295025
"54","b_t",2004,31385.9825812048,5511.86994723507,24583.9046175105,41650.3969290772
"55","b_t",2005,33814.2968097184,6694.39448289037,24077.3832793015,45472.203141734
"56","b_t",2006,30661.6129463713,5785.33881044435,22888.1507456754,40127.9397692299
"57","b_t",2007,26551.753031232,4120.9569754544,21854.0594667681,34083.2938041977
"58","b_t",2008,25355.9763819834,3975.79785160357,20974.8711013637,32364.7420280669
"59","b_t",2009,22730.8618888836,4901.21388308129,15671.6205908078,30494.5222103613
"60","b_t",2010,19648.5058273649,3102.13651028926,16127.715270893,25529.6175148932
"61","b_t",2011,17526.9124794085,2824.92152150999,13978.6223850076,22665.6617263915
"62","b_t",2012,16918.7268915878,3521.74252634798,11704.3747602721,22771.9827695059
"63","b_t",2013,15911.3733968617,2928.84226784556,11225.1294972772,20754.5486628459
"64","b_t",2014,14819.7155510313,2754.21696313041,11129.6446143855,19948.7257200012
"65","b_t",2015,12773.8433071446,2616.14492689584,9103.48221674622,17379.2959154917
"66","b_t",2016,16918.7285013707,4187.42727633858,11484.2760749441,23923.9563264593
"67","b_t",2017,23745.118192245,6447.24804565863,15013.7095602894,34920.749494036
"68","b_t",2018,33941.7239861154,8398.88902211653,22866.3892920082,49183.1412877843
"69","bmsy",1951,72287.8859530695,12090.250342792,53543.5336560049,91692.3789248345
"70","ck",1951,0.0505124756718467,0.00857275668647676,0.0387164139953506,0.0663011900345806
"71","ck",1952,0.0498010323525249,0.00845201363455455,0.0381711123897822,0.0653673704566287
"72","ck",1953,0.0554925789070992,0.00941795804993221,0.0425335252343288,0.0728379270802435
"73","ck",1954,0.0704328886128567,0.0119535621402986,0.0539848589512634,0.0924481382172321
"74","ck",1955,0.0718557752515002,0.012195048244143,0.0550754621624001,0.0943157773731357
"75","ck",1956,0.072567218570822,0.0123157912960652,0.0556207637679684,0.0952495969510876
"76","ck",1957,0.0711443319321785,0.0120743051922208,0.0545301605568318,0.0933819577951839
"77","ck",1958,0.106005054578946,0.017990714736409,0.0812499392296793,0.139139117114824
"78","ck",1959,0.107427941217589,0.0182322008402534,0.082340542440816,0.141006756270728
"79","ck",1960,0.102447837982337,0.0173869994767979,0.0785234312018377,0.134470019225065
"80","ck",1961,0.108139384536911,0.0183529438921756,0.0828858440463843,0.14194057584868
"81","ck",1962,0.113119487772164,0.019198145255631,0.0867029552853625,0.148477312894342
"82","ck",1963,0.108850827856233,0.0184736869440978,0.0834311456519526,0.142874395426631
"83","ck",1964,0.115253817730129,0.0195603744113977,0.0883388601020675,0.151278771628198
"84","ck",1965,0.115253817730129,0.0195603744113977,0.0883388601020675,0.151278771628198
"85","ck",1966,0.122368250923347,0.0207678049306197,0.0937918761577506,0.160616967407716
"86","ck",1967,0.127348354158599,0.0216130062940752,0.0976089873967289,0.167153704453379
"87","ck",1968,0.123079694242669,0.020888547982542,0.094337177763319,0.161550786985668
"88","ck",1969,0.125214024200634,0.0212507771383086,0.0959730825800239,0.164352245719524
"89","ck",1970,0.123912082926275,0.0210298173532909,0.0949751806418339,0.162643355891872
"90","ck",1971,0.119828398273368,0.0203367522352575,0.0918451494258718,0.157283231514428
"91","ck",1972,0.123784023128797,0.0210080836039449,0.0948770263528316,0.16247526836784
"92","ck",1973,0.117779441513721,0.0199890122457215,0.090274680801835,0.154593831129927
"93","ck",1974,0.118128048740189,0.0200481763411634,0.0905418785885635,0.155051402723123
"94","ck",1975,0.1265088510418,0.021470529492807,0.0969655315021583,0.166051797351396
"95","ck",1976,0.131296864580835,0.0222831302322435,0.100635411307633,0.172336403111012
"96","ck",1977,0.129610743914043,0.0219969691991878,0.0993430465024361,0.170123250711266
"97","ck",1978,0.11724585902423,0.0198984549567798,0.0898657045976588,0.153893466446463
"98","ck",1979,0.106261174173902,0.018034182235101,0.0814462478076839,0.139475292162887
"99","ck",1980,0.0993957461424465,0.0168690117840517,0.0761840873139497,0.130463933235651
"100","ck",1981,0.0981080337344741,0.0166504668600725,0.075197091407871,0.128773719799559
"101","ck",1982,0.106780527797007,0.0181223246630042,0.0818443179797488,0.140156980454792
"102","ck",1983,0.112258641355784,0.0190520461628052,0.0860431403426248,0.147347391205021
"103","ck",1984,0.0963863409017154,0.0163582686744207,0.0738774615223957,0.126513876420915
"104","ck",1985,0.0975033069130506,0.0165478352659386,0.0747335850431379,0.1279799731583
"105","ck",1986,0.0918900191236017,0.0155951725862724,0.0704311553752039,0.12061213668826
"106","ck",1987,0.10183599672772,0.0172831604521448,0.078054471821049,0.133666934388026
"107","ck",1988,0.103813809155435,0.0176188261364886,0.0795704102845289,0.136262952814732
"108","ck",1989,0.113083915606198,0.0191921081030349,0.0866756902050841,0.148430621915445
"109","ck",1990,0.116875908498183,0.0198356685697803,0.0895821477627632,0.153407880265928
"110","ck",1991,0.124125515922072,0.0210660402688676,0.0951387711235044,0.162923501765257
"111","ck",1992,0.118583372464555,0.0201254518943936,0.0908908716161272,0.155649047253013
"112","ck",1993,0.110978043381005,0.0188347086693452,0.0850615974526019,0.145666515964707
"113","ck",1994,0.153821160070563,0.0261058552561006,0.117899660139926,0.201901130948967
"114","ck",1995,0.0723395567086391,0.0122771535194501,0.0554462672541865,0.094950774686143
"115","ck",1996,0.0875929014748981,0.0148658845526622,0.0671375336775713,0.11497186643743
"116","ck",1997,0.0871802643496915,0.0147958535825473,0.0668212587463416,0.114430251082218
"117","ck",1998,0.093533453191235,0.0158740890362127,0.0716908020840667,0.122769259913328
"118","ck",1999,0.0663349750935632,0.0112580821612267,0.0508439217031899,0.0870693374482295
"119","ck",2000,0.0582814367188406,0.00989127081346726,0.0446711075281566,0.0764984998258147
"120","ck",2001,0.0635176595490489,0.0107799396756147,0.0486845273451394,0.0833714119195402
"121","ck",2002,0.0490895890332031,0.00833127058263234,0.0376258107842139,0.0644335508786769
"122","ck",2003,0.0504342169067213,0.00855947495076531,0.038656430818738,0.0661984698810059
"123","ck",2004,0.0530096417226662,0.00899656479872371,0.0406304226308954,0.0695788967531915
"124","ck",2005,0.0739829907762724,0.0125560699693904,0.0567059139630494,0.0971078979112117
"125","ck",2006,0.0606363141057957,0.0102909303153298,0.0464760558425877,0.0795894426288352
"126","ck",2007,0.0552435737453366,0.00937569798175944,0.0423426696723799,0.0725110902279603
"127","ck",2008,0.0527464076945171,0.00895188986951249,0.0404286610368351,0.0692333835093493
"128","ck",2009,0.0507543664004161,0.00861380932413031,0.0389018165412438,0.0666186886910842
"129","ck",2010,0.0436257043408118,0.00740396394386978,0.0334378944534492,0.0572618165200068
"130","ck",2011,0.0357215690631468,0.00606250863701405,0.0273795936155852,0.0468870810089618
"131","ck",2012,0.0371373412685972,0.00630278731033925,0.0284647438106662,0.048745381969086
"132","ck",2013,0.0336085824047611,0.0057039017728051,0.0257600478470473,0.0441136368624449
"133","ck",2014,0.0340923638618999,0.0057860070481122,0.0261308529388338,0.0447486341754521
"134","ck",2015,0.0205464830620131,0.00348705933951336,0.015748310368813,0.0269687094112491
"135","ck",2016,0.0198990696414303,0.00337718316226415,0.0152520859077458,0.0261189335953129
"136","ck",2017,0.0164343406763332,0.002789164499403,0.0125964670886281,0.0215712322506875
"137","ck",2018,0.0170888685301093,0.00290024810717143,0.013098144565751,0.0224303462624032
"138","crashed",1951,0,0,0,0
"139","delta",1951,100,0,100,100
"140","dep_t",1951,0.642394325395288,0.0611884578625252,0.553755489862569,0.742731516941539
"141","dep_t",1952,0.618171838042367,0.0664272394958725,0.532400677706185,0.735971479301604
"142","dep_t",1953,0.555064069375912,0.0818967659704457,0.423706713942761,0.687834907140794
"143","dep_t",1954,0.570623733137823,0.0873021897162006,0.436247136218436,0.710248970665675
"144","dep_t",1955,0.545049691010671,0.0682630357929851,0.440868869994106,0.659929754906531
"145","dep_t",1956,0.564550042706635,0.0743702304895732,0.472617719653632,0.695575131925758
"146","dep_t",1957,0.632266537077755,0.0795897717986938,0.510531460455105,0.768908588068131
"147","dep_t",1958,0.84183876526383,0.0947258222440741,0.696023908535045,0.992202984743995
"148","dep_t",1959,0.873599941283896,0.0974193063848649,0.721855465744723,1.03224022499212
"149","dep_t",1960,0.828339140265593,0.0946589619528779,0.698425150482614,1.00662372985119
"150","dep_t",1961,0.800533117061494,0.0927035863317121,0.662456091097323,0.943488396538962
"151","dep_t",1962,0.983121842162493,0.114681159439849,0.811448119111838,1.1710047928034
"152","dep_t",1963,1.02623001230409,0.113615817604001,0.882010844437062,1.21867856539733
"153","dep_t",1964,0.998693221276519,0.122736550085999,0.85317481968478,1.23992913032625
"154","dep_t",1965,0.932570835751861,0.107490455865904,0.786793173376737,1.11818815447201
"155","dep_t",1966,0.904631656733945,0.101271306063679,0.767087117777861,1.09101318697557
"156","dep_t",1967,0.85688379275741,0.118195958261653,0.700855136617425,1.05862194842812
"157","dep_t",1968,0.851518996604242,0.094077857862162,0.697570929060288,1.00873549985142
"158","dep_t",1969,0.947623129354687,0.119294567302312,0.768252642820843,1.14351107938324
"159","dep_t",1970,0.968823185817577,0.121970304131408,0.793981528066199,1.1916422306833
"160","dep_t",1971,0.962660161988246,0.124716155106226,0.781831810288218,1.17110795912449
"161","dep_t",1972,1.01136680421543,0.119956745525268,0.8530213841642,1.2148070983398
"162","dep_t",1973,1.08611752736693,0.126517701740616,0.895006639316789,1.29617422129895
"163","dep_t",1974,0.952676511806731,0.11626862263909,0.797196352004683,1.15649279911032
"164","dep_t",1975,0.961821165732572,0.11313714215713,0.787389820183587,1.15862339224572
"165","dep_t",1976,0.949110596397151,0.121004910304689,0.782435810559019,1.15554535764131
"166","dep_t",1977,0.929644086535553,0.106766450528061,0.766125751173226,1.10201666445522
"167","dep_t",1978,0.841159415768389,0.0929833235791069,0.698600822102034,0.989935633812339
"168","dep_t",1979,0.732704652541349,0.0866313618943319,0.616725203539981,0.893138541737293
"169","dep_t",1980,0.671132712350979,0.0829503796032672,0.5369912025746,0.814054272468894
"170","dep_t",1981,0.639440731080372,0.0719820308987258,0.53537698510919,0.769095694064352
"171","dep_t",1982,0.5877825412996,0.0845574346986277,0.472276377391398,0.727784564679934
"172","dep_t",1983,0.54832704797653,0.0599465372071324,0.471742786599054,0.654178225173372
"173","dep_t",1984,0.473844233845539,0.0566333700075689,0.388208106290818,0.575460479527643
"174","dep_t",1985,0.460085610550706,0.0541678141903968,0.379192395851648,0.542578016137293
"175","dep_t",1986,0.431368023673724,0.0511788909033553,0.3503680097563,0.513314382252511
"176","dep_t",1987,0.415001461454016,0.0418180435974867,0.354633445189648,0.484481278250121
"177","dep_t",1988,0.404534425886887,0.0457034425288832,0.34025467691697,0.481159087944333
"178","dep_t",1989,0.426438471707881,0.0479053441561796,0.358111106012953,0.507720400728329
"179","dep_t",1990,0.443765249160871,0.0551976913415292,0.367459653787161,0.531304520495464
"180","dep_t",1991,0.445184687115358,0.0560113297043493,0.37011690883082,0.545896343868932
"181","dep_t",1992,0.430791870909431,0.04256678231226,0.366944883044535,0.499318320136285
"182","dep_t",1993,0.409784040117548,0.0450966099986856,0.34266940266518,0.483455569166898
"183","dep_t",1994,0.442537049424088,0.0546227186961839,0.362474655286774,0.527472433962094
"184","dep_t",1995,0.305349734022379,0.0339212048487963,0.262925398798757,0.3619417837575
"185","dep_t",1996,0.314360479606319,0.0357199307231516,0.260566149778589,0.373495244773296
