"","variable","year","mean","sd","lower","upper"
"1","b_t",1966,32692.5434886683,44140.6767503627,8918.11528536087,87404.3443643169
"2","b_t",1967,40318.9872948488,58311.5580182964,9505.88138880403,110059.53555534
"3","b_t",1968,44270.6860036586,68019.0594445854,9815.01673766402,114025.954133773
"4","b_t",1969,46025.0948530319,68083.1507994898,10123.7241907036,121431.948198273
"5","b_t",1970,46586.9843436271,65127.4470550235,10513.8940454843,126285.99698977
"6","b_t",1971,49018.5352256746,72852.6365434967,11006.5551404828,127931.499978778
"7","b_t",1972,48868.3516254852,77083.9885269189,10773.5978755572,131675.155655035
"8","b_t",1973,40588.765912626,57107.8130049137,8438.39404397189,113385.165097345
"9","b_t",1974,28625.9078365963,39764.4522433852,6207.14791117608,80120.6428369089
"10","b_t",1975,21106.510974091,30619.7395209205,4487.3007912172,58893.0231671149
"11","b_t",1976,22978.6093842301,33741.1349225358,5027.56644613965,61889.4153734672
"12","b_t",1977,28868.9071363194,42549.31360115,6277.74513283498,78209.9143871947
"13","b_t",1978,41351.90923428,62728.7149925753,9074.26591918125,110432.033055128
"14","b_t",1979,46727.3927770874,67828.6758601093,10031.5628786733,129575.047388303
"15","b_t",1980,32945.9415428044,50597.5076498168,6836.85843424794,88937.9368003075
"16","b_t",1981,25018.7849894291,40677.7049126377,5174.59755466473,71106.1492618602
"17","b_t",1982,16420.9465038602,23472.596379268,3489.81365672158,44849.4384165576
"18","b_t",1983,11513.6985957207,16513.8833560409,2455.07935112928,32275.0797777488
"19","b_t",1984,7620.45388652339,10637.1192354922,1650.07573888513,20535.6558606108
"20","b_t",1985,8599.59949365462,12909.9389742642,1910.19423103486,23335.1159243569
"21","b_t",1986,10954.5016190951,16589.3083822919,2504.80556034253,28633.29421348
"22","b_t",1987,17689.326955831,26194.2265851702,4133.76092507901,47105.5603938907
"23","b_t",1988,25705.1668239113,36255.5676584919,6054.12649982462,68043.7460971
"24","b_t",1989,36809.561669483,53476.4246955454,8504.83860197829,96040.286379894
"25","b_t",1990,39040.0870295833,59994.9323889077,8512.69691564875,104712.786419561
"26","b_t",1991,34401.1805257897,51389.4626403766,7511.5093578319,90664.7649149994
"27","b_t",1992,27361.0052238846,39995.1428063259,6092.41599745266,73688.1026828665
"28","b_t",1993,29011.5137342335,43696.7890178792,6606.41177654898,78276.6651878777
"29","b_t",1994,35934.3016511236,56662.2088451901,7871.87422071288,96622.3662075109
"30","b_t",1995,32733.5088581434,51607.906345561,7245.31108332815,87092.6645259766
"31","b_t",1996,34639.1215216415,50809.4541359518,7753.66764622379,93646.4420188981
"32","b_t",1997,35123.7226032056,51305.5216607816,7796.06269426636,96686.4596742928
"33","b_t",1998,32712.7333788589,48631.1381686202,7428.11506238902,89240.9642945997
"34","b_t",1999,36268.2054230149,51199.7209330243,8137.11502615398,94576.9225132722
"35","b_t",2000,39343.7075046935,58203.1688255512,8579.73532004175,109567.133065668
"36","b_t",2001,32700.9386293149,47565.3423771836,7265.74490586545,87368.3921167251
"37","b_t",2002,30869.9912175206,45288.4425139261,6669.89537175355,83634.5585474655
"38","b_t",2003,27885.6160596151,41400.797228224,6074.18139162092,74801.4283389972
"39","b_t",2004,28567.2854835493,40523.1806102753,6546.40240847796,73397.8035901636
"40","b_t",2005,38127.1647897497,57577.1215372989,8794.29479815339,101000.908305214
"41","b_t",2006,47740.7445037783,72001.3984043037,11092.1692225534,125665.697824212
"42","b_t",2007,47642.4355129644,71261.0860807274,11175.0358425211,127280.347704504
"43","b_t",2008,49079.6557305552,73069.9146553575,11357.9795948315,132233.093855094
"44","b_t",2009,48829.9188465864,72959.9622478832,11200.0904506706,130668.771175797
"45","b_t",2010,49613.9865378449,71678.237129155,11327.3315415642,133528.79163062
"46","b_t",2011,50480.4093354164,77126.4457700058,11276.463035429,137064.255682689
"47","b_t",2012,37424.4715032001,56053.9855935894,7993.69858224099,98924.4124958962
"48","b_t",2013,27863.1046939375,41993.9762636718,5968.96242803483,76839.504269435
"49","b_t",2014,26105.08737454,39385.3875435452,5716.65242130569,71156.9281036757
"50","b_t",2015,22019.9126381885,31703.9335159681,4823.32975992998,62039.4535470799
"51","b_t",2016,22548.0275612645,32141.8377084051,4486.61569574832,64534.1268484615
"52","b_t",2017,21460.8763897823,28928.3796007715,4483.92165950443,60040.0278385675
"53","b_t",2018,19226.174653793,26066.112686886,4615.50857600915,52873.1835647775
"54","bmsy",1966,21524.2396156076,28473.0615447159,6212.27133866914,55012.8320463644
"55","ck",1966,0.0240573268809119,0.0138890142953243,0.00545329269652745,0.0482915177657551
"56","ck",1967,0.0320764358412158,0.0185186857270991,0.00727105692870327,0.0643886903543401
"57","ck",1968,0.0360859903213678,0.0208335214429865,0.00817993904479118,0.0724372766486326
"58","ck",1969,0.0320764358412158,0.0185186857270991,0.00727105692870327,0.0643886903543401
"59","ck",1970,0.0307933784075672,0.0177779382980151,0.00698021465155514,0.0618131427401665
"60","ck",1971,0.0350034106117268,0.0202085157996969,0.00793454087344744,0.0702641583491736
"61","ck",1972,0.0320764358412158,0.0185186857270991,0.00727105692870327,0.0643886903543401
"62","ck",1973,0.0215313075584161,0.0124306677943153,0.00488069696339207,0.0432209084003508
"63","ck",1974,0.0178024218918748,0.01027787057854,0.00403543659543031,0.0357357231466588
"64","ck",1975,0.0107857015516088,0.00622690807573707,0.00244489289227647,0.0216506971316469
"65","ck",1976,0.0148353515765623,0.00856489214878333,0.00336286382952526,0.0297797692888823
"66","ck",1977,0.0169203199062414,0.00976860672104477,0.00383548252989097,0.0339650341619144
"67","ck",1978,0.034401977439704,0.0198612904423138,0.00779820855603426,0.0690568704050298
"68","ck",1979,0.0441050992816718,0.0254631928747613,0.00999770327696699,0.0885344492372176
"69","ck",1980,0.0256611486729727,0.0148149485816793,0.00581684554296261,0.0515109522834721
"70","ck",1981,0.0219723585512328,0.0126852997230629,0.00498067399616174,0.044106252892723
"71","ck",1982,0.0141537273149365,0.00817137007708248,0.00320835386979032,0.0284115096188526
"72","ck",1983,0.0129909565156924,0.00750006771947513,0.00294477805612482,0.0260774195935077
"73","ck",1984,0.00545299409300669,0.00314817657360685,0.00123607967787956,0.0109460773602378
"74","ck",1985,0.00902149758034195,0.00520838036074662,0.00204498476119779,0.0181093191621582
"75","ck",1986,0.0108257970964103,0.00625005643289595,0.00245398171343735,0.0217311829945898
"76","ck",1987,0.025380479859362,0.0146529100815672,0.00575322379483646,0.0509475512428716
"77","ck",1988,0.0430225195720307,0.0248381872314717,0.00975230510562326,0.0863613309377587
"78","ck",1989,0.0625089543455694,0.0360882888106844,0.0141694721898105,0.12547746032802
"79","ck",1990,0.0650750692128666,0.0375697836688523,0.0147511567441068,0.130628555556367
"80","ck",1991,0.0597423617542645,0.0344910521667221,0.0135423435297098,0.119923935784958
"81","ck",1992,0.0363666591349785,0.0209955599430986,0.00824356079291733,0.0730006776892331
"82","ck",1993,0.0418998443175882,0.0241900332310232,0.00949781811311864,0.0841077267753568
"83","ck",1994,0.0613862790911268,0.0354401348102359,0.0139149851973059,0.123223856165618
"84","ck",1995,0.045508443349725,0.0262733853753218,0.0103158120175978,0.09135145444022
"85","ck",1996,0.0595017884854554,0.0343521620237688,0.0134878106027446,0.119441020607301
"86","ck",1997,0.0504000998155104,0.0290974849487045,0.011424648199225,0.101170729719257
"87","ck",1998,0.0456287299841295,0.0263428304467985,0.0103430784810804,0.0915929120290488
"88","ck",1999,0.055612520639708,0.0321067713793581,0.0126061949501393,0.111633891901837
"89","ck",2000,0.062869814248783,0.0362966240251142,0.0142512715802584,0.126201833094507
"90","ck",2001,0.046591023059366,0.0268983910186114,0.0105612101889415,0.093524572739679
"91","ck",2002,0.0437843349232596,0.0252780060174903,0.00992499270767996,0.0878905623336743
"92","ck",2003,0.0365270413141845,0.0210881533717341,0.00827991607756084,0.0733226211410048
"93","ck",2004,0.034401977439704,0.0198612904423138,0.00779820855603426,0.0690568704050298
"94","ck",2005,0.0573366290661733,0.0331021507371896,0.0129970142600571,0.115094784008383
"95","ck",2006,0.0846817906208098,0.0488893303195416,0.0191955902917766,0.169986142535458
"96","ck",2007,0.0981538936741205,0.0566671783249232,0.022249434201832,0.197029392484281
"97","ck",2008,0.0907362178858393,0.0523847322505316,0.0205680022870694,0.18213950783984
"98","ck",2009,0.0867266634056873,0.0500698965346442,0.0196591201709815,0.174090921545547
"99","ck",2010,0.10420832093915,0.0601625802559132,0.0236218461971247,0.209182757788662
"100","ck",2011,0.110062270480172,0.0635422404011088,0.0249488140866131,0.220933693778329
"101","ck",2012,0.0652354513920727,0.0376623770974878,0.0147875120287503,0.130950499008139
"102","ck",2013,0.0421805131311988,0.0243520717311353,0.0095614398612448,0.0846711278159573
"103","ck",2014,0.0460296854321447,0.0265743140183872,0.0104339666926892,0.0923977706584781
"104","ck",2015,0.0350836017013298,0.0202548125140146,0.0079527185157692,0.0704251300750595
"105","ck",2016,0.0314349071243915,0.0181483120125571,0.0071256357901292,0.0631009165472533
"106","ck",2017,0.0353241749701389,0.0203937026569679,0.00800725144273447,0.070908045252717
"107","ck",2018,0.0363265635901769,0.0209724115859397,0.00823447197175645,0.0729201918262902
"108","crashed",1966,0,0,0,0
"109","delta",1966,100,0,100,100
"110","dep_t",1966,0.751866720292633,0.0704460094379445,0.641723867759781,0.867601933468186
"111","dep_t",1967,0.902411407771431,0.177104210098369,0.649366532441693,1.20806044626612
"112","dep_t",1968,0.97676362777922,0.210044163313818,0.680130344146072,1.33537869873239
"113","dep_t",1969,1.01710101098486,0.216624953156026,0.688603636898386,1.38567683966255
"114","dep_t",1970,1.03810241239757,0.222232373730256,0.715458788238401,1.41545157804929
"115","dep_t",1971,1.08427703628225,0.221912296647363,0.760190720602616,1.45136436901939
"116","dep_t",1972,1.06875941015247,0.246898725073145,0.723249908777988,1.48092585805507
"117","dep_t",1973,0.892523469590684,0.215199481869782,0.592834798942361,1.28023934897265
"118","dep_t",1974,0.635038443316115,0.147464990967594,0.433902385865955,0.888310560337812
"119","dep_t",1975,0.466361247436022,0.104041060711964,0.317175267230613,0.638244842515995
"120","dep_t",1976,0.506538901083794,0.117595778809191,0.343758937086143,0.713419520922876
"121","dep_t",1977,0.635176834869835,0.139829950540427,0.433587533041317,0.870009750055176
"122","dep_t",1978,0.908333703902555,0.197519130752171,0.618536309223324,1.24423230033621
"123","dep_t",1979,1.02426705976388,0.24511083819851,0.683983857822077,1.45573939067726
"124","dep_t",1980,0.719529820215359,0.165449926519477,0.481093298629335,1.00192162523328
"125","dep_t",1981,0.537118702919165,0.129803120147659,0.359246907294144,0.762382220835049
"126","dep_t",1982,0.359847938112921,0.0827972563128941,0.240923625035015,0.502626273507782
"127","dep_t",1983,0.253021765873986,0.0588670410749796,0.168636670183248,0.35526038481409
"128","dep_t",1984,0.168781264977853,0.0384944193216121,0.114297013996671,0.233837765343194
"129","dep_t",1985,0.190029357112028,0.0418578505977127,0.129394250619113,0.260635483886158
"130","dep_t",1986,0.243207224113681,0.0527322325651204,0.166984338476417,0.333279147935597
"131","dep_t",1987,0.391858910393731,0.0853390551675631,0.269671739773723,0.539043558615166
"132","dep_t",1988,0.573916655083152,0.122319274831856,0.395486209715648,0.781820938756343
"133","dep_t",1989,0.813661424996713,0.18063762443681,0.562129242631375,1.12985296193867
"134","dep_t",1990,0.862544811956776,0.200347162985552,0.57962068075777,1.21182372396173
"135","dep_t",1991,0.756730301766377,0.174757740199546,0.506696847621083,1.05972470247259
"136","dep_t",1992,0.606024843183733,0.13066375805561,0.414035166280264,0.830775825477265
"137","dep_t",1993,0.641782126203406,0.137713671387542,0.445539431429268,0.880722961209328
"138","dep_t",1994,0.78849059272538,0.182463269336615,0.536580283931336,1.10093930275069
"139","dep_t",1995,0.717395439828784,0.156399825840743,0.496460337168888,0.982053763759997
"140","dep_t",1996,0.763980535112812,0.168312765189143,0.53025133225809,1.05207820305015
"141","dep_t",1997,0.774652178580832,0.180665789540687,0.517893430123942,1.09197084897441
"142","dep_t",1998,0.722750163308636,0.157600309285115,0.496173331157879,1.00136339085978
"143","dep_t",1999,0.808515927103634,0.184249569200652,0.544059619217074,1.14162739651442
"144","dep_t",2000,0.870679077530217,0.209249582525061,0.582022112347106,1.22160068712385
"145","dep_t",2001,0.723631691617118,0.165175221903238,0.488409903915851,1.00667598793951
"146","dep_t",2002,0.684498950001039,0.160088299936245,0.456962232757947,0.967200327214351
"147","dep_t",2003,0.613511991095567,0.141204277642417,0.409104742302579,0.843136390373741
"148","dep_t",2004,0.640444723321132,0.139581865572819,0.441511486891801,0.878842254399728
"149","dep_t",2005,0.845257711975477,0.185494906168577,0.585315959389145,1.16352306742054
"150","dep_t",2006,1.05424727264366,0.217547683643481,0.737496240188366,1.42443509674964
"151","dep_t",2007,1.05679625046674,0.213573147396428,0.749002480441418,1.42492551024172
"152","dep_t",2008,1.0796479087725,0.215918472535109,0.764415232101321,1.45612067279144
"153","dep_t",2009,1.07738764475653,0.223263089478475,0.753995774104604,1.45718127246944
"154","dep_t",2010,1.09514207283563,0.227606378095594,0.766505849317016,1.48540610201301
"155","dep_t",2011,1.09843767221997,0.241039605717494,0.751848128498926,1.51395096814983
"156","dep_t",2012,0.814086585562192,0.181576400820566,0.557028147759491,1.12058926879143
"157","dep_t",2013,0.610050649030363,0.139706691768623,0.412695124724761,0.849841153250965
"158","dep_t",2014,0.572490071321441,0.129354585659518,0.38814921224238,0.79060163877057
"159","dep_t",2015,0.487951728629796,0.115295472908631,0.321521512352525,0.687990101062235
"160","dep_t",2016,0.501154542113075,0.174167152586705,0.288140550687497,0.807563460645006
"161","dep_t",2017,0.484865837252502,0.168582365092344,0.281561754436823,0.772946405913311
"162","dep_t",2018,0.438975861097986,0.107253173052032,0.287938896082676,0.63044234864926
"163","growth_t",1966,0.0913111357685969,0.0240769246049503,0.0546008714971996,0.129101185638475
"164","growth_t",1967,0.0287495657377836,0.0845608060533587,-0.127630537610098,0.119673691064857
"165","growth_t",1968,-0.0113626393341494,0.121287774856552,-0.225071830659044,0.111252421539733
"166","growth_t",1969,-0.0317332983463842,0.128738711395981,-0.27063314959255,0.10706710548302
"167","growth_t",1970,-0.0439367851536895,0.140503018270022,-0.310628666649867,0.105552388713569
"168","growth_t",1971,-0.0707684758092049,0.147090718739704,-0.340855766511099,0.0926124998315478
"169","growth_t",1972,-0.0678858588994795,0.172423182648962,-0.373421582146847,0.101184224137492
"170","growth_t",1973,0.0244365747254129,0.109989375260575,-0.180624992929728,0.130765110895056
"171","growth_t",1974,0.105475259286209,0.0387678936348192,0.0469951697160645,0.151705163798022
"172","growth_t",1975,0.119738532946652,0.0214451408563934,0.0897623144328191,0.15552132979425
"173","growth_t",1976,0.118782992087279,0.0226047794112235,0.086253377369378,0.155931954628734
"174","growth_t",1977,0.106613978288542,0.0326277903626773,0.0550289011535971,0.15034511410307
"175","growth_t",1978,0.0211578040098136,0.0977458126887872,-0.155828574693207,0.120307587404825
"176","growth_t",1979,-0.0442712622647904,0.162665166419681,-0.335816200622727,0.107823691889235
"177","growth_t",1980,0.0876529731043142,0.0535801386907326,-0.000811060761682439,0.145446056501304
"178","growth_t",1981,0.116376752690641,0.0266492174723242,0.0806844190901753,0.155156235395861
"179","growth_t",1982,0.112565878238327,0.022274760278965,0.0794049812393332,0.150254963324466
"180","growth_t",1983,0.0934985842069688,0.0214510717601537,0.0625685101175106,0.129267962065082
"181","growth_t",1984,0.0698889008428828,0.0173534619947699,0.0455495466571038,0.0995224996517693
"182","growth_t",1985,0.0766426907656288,0.0182822595292588,0.0506399259879799,0.108678649325418
"183","growth_t",1986,0.0913276127492923,0.0205717931233911,0.0617374927111526,0.127369756637605
"184","growth_t",1987,0.116312739505032,0.0216657913442145,0.0836557401041366,0.15324413923203
"185","growth_t",1988,0.115373373495223,0.0251016372687136,0.0746957898913587,0.154630749977288
"186","growth_t",1989,0.0591276802663944,0.0730777275291512,-0.0733941479229153,0.13276698158494
"187","growth_t",1990,0.0386891426286915,0.091528924589523,-0.127766000364931,0.127620409990475
"188","growth_t",1991,0.0768858332065845,0.0611000688546092,-0.030325754637224,0.139477098820461
"189","growth_t",1992,0.111397750898228,0.028866134808198,0.0657835599032193,0.153100917741978
"190","growth_t",1993,0.10581765265521,0.0336095466447483,0.0519474085575754,0.148982470299982
"191","growth_t",1994,0.0660232310625597,0.0728981092109318,-0.0593866477764743,0.13757400057546
"192","growth_t",1995,0.0899664801755228,0.0480534677020858,0.00857279908250119,0.145085793839287
"193","growth_t",1996,0.0765783390288885,0.0593374687874139,-0.0256241742513436,0.141004414151781
"194","growth_t",1997,0.071069857825013,0.0690340108904915,-0.0513025590331214,0.139352851348292
"195","growth_t",1998,0.0881669831360343,0.0497900781664432,-0.000986466826850979,0.144625856018106
"196","growth_t",1999,0.0601730493314837,0.0751180823057735,-0.0784000015498068,0.135528693972638
"197","growth_t",2000,0.0340005916325217,0.106245497370354,-0.143628023711959,0.129623087843073
"198","growth_t",2001,0.0868814787861339,0.0528436183086059,-0.00395558828234581,0.143982455368888
"199","growth_t",2002,0.0950721729868852,0.0459486963884805,0.0165098754461979,0.14734793349038
"200","growth_t",2003,0.10899952236621,0.0377846186548063,0.0617971210816389,0.151710409976947
"201","growth_t",2004,0.105979590135458,0.0341937142999544,0.047034241503676,0.150613156051947
"202","growth_t",2005,0.0480041464640222,0.082838768510135,-0.0956261860723545,0.130044859989117
"203","growth_t",2006,-0.0522658401555988,0.139760357621006,-0.310991791302512,0.098598395487039
"204","growth_t",2007,-0.0515173969120402,0.137877532327801,-0.296900596125582,0.0981551419789242
"205","growth_t",2008,-0.0639237863896988,0.140229640398204,-0.325915129246635,0.0889861657344011
"206","growth_t",2009,-0.06530163067217,0.14913838391424,-0.327154119825551,0.0948995715096156
"207","growth_t",2010,-0.0767556409255026,0.15638795593648,-0.346312219895978,0.0895872964876163
"208","growth_t",2011,-0.0830369141745007,0.166657857399195,-0.394933052517247,0.0944124479844321
"209","growth_t",2012,0.0597336255361343,0.073398886135806,-0.0659990008545804,0.133559059517692
"210","growth_t",2013,0.109837606577805,0.0319817817881531,0.0619077691131083,0.153642044578486
"211","growth_t",2014,0.114548233531021,0.0273032594632633,0.0758713010234659,0.154037445050999
"212","growth_t",2015,0.119010704251808,0.0220832808941761,0.0870218897848766,0.156064189552206
"213","growth_t",2016,0.11000554940579,0.0540416051722963,0.0726324676104105,0.152259505446617
"214","growth_t",2017,0.11075000777915,0.0407707736186262,0.0766875878722749,0.151519674823808
"215","growth_t",2018,0.118128798902093,0.0218867305022075,0.08638937919074,0.154725673330144
"216","index_hat_t",1966,32692.5434886683,44140.6767503627,8918.11528536087,87404.3443643169
"217","index_hat_t",1967,40318.9872948488,58311.5580182964,9505.88138880403,110059.53555534
"218","index_hat_t",1968,44270.6860036586,68019.0594445854,9815.01673766402,114025.954133773
"219","index_hat_t",1969,46025.0948530319,68083.1507994898,10123.7241907036,121431.948198273
"220","index_hat_t",1970,46586.9843436271,65127.4470550235,10513.8940454843,126285.99698977
"221","index_hat_t",1971,49018.5352256746,72852.6365434967,11006.5551404828,127931.499978778
"222","index_hat_t",1972,48868.3516254852,77083.9885269189,10773.5978755572,131675.155655035
"223","index_hat_t",1973,40588.765912626,57107.8130049137,8438.39404397189,113385.165097345
"224","index_hat_t",1974,28625.9078365963,39764.4522433852,6207.14791117608,80120.6428369089
"225","index_hat_t",1975,21106.510974091,30619.7395209205,4487.3007912172,58893.0231671149
"226","index_hat_t",1976,22978.6093842301,33741.1349225358,5027.56644613965,61889.4153734672
"227","index_hat_t",1977,28868.9071363194,42549.31360115,6277.74513283498,78209.9143871947
"228","index_hat_t",1978,41351.90923428,62728.7149925753,9074.26591918125,110432.033055128
"229","index_hat_t",1979,46727.3927770874,67828.6758601093,10031.5628786733,129575.047388303
"230","index_hat_t",1980,32945.9415428044,50597.5076498168,6836.85843424794,88937.9368003075
"231","index_hat_t",1981,25018.7849894291,40677.7049126377,5174.59755466473,71106.1492618602
"232","index_hat_t",1982,16420.9465038602,23472.596379268,3489.81365672158,44849.4384165576
"233","index_hat_t",1983,11513.6985957207,16513.8833560409,2455.07935112928,32275.0797777488
"234","index_hat_t",1984,7620.45388652339,10637.1192354922,1650.07573888513,20535.6558606108
"235","index_hat_t",1985,8599.59949365462,12909.9389742642,1910.19423103486,23335.1159243569
"236","index_hat_t",1986,10954.5016190951,16589.3083822919,2504.80556034253,28633.29421348
"237","index_hat_t",1987,17689.326955831,26194.2265851702,4133.76092507901,47105.5603938907
"238","index_hat_t",1988,25705.1668239113,36255.5676584919,6054.12649982462,68043.7460971
"239","index_hat_t",1989,36809.561669483,53476.4246955454,8504.83860197829,96040.286379894
"240","index_hat_t",1990,39040.0870295833,59994.9323889077,8512.69691564875,104712.786419561
"241","index_hat_t",1991,34401.1805257897,51389.4626403766,7511.5093578319,90664.7649149994
"242","index_hat_t",1992,27361.0052238846,39995.1428063259,6092.41599745266,73688.1026828665
"243","index_hat_t",1993,29011.5137342335,43696.7890178792,6606.41177654898,78276.6651878777
"244","index_hat_t",1994,35934.3016511236,56662.2088451901,7871.87422071288,96622.3662075109
"245","index_hat_t",1995,32733.5088581434,51607.906345561,7245.31108332815,87092.6645259766
"246","index_hat_t",1996,34639.1215216415,50809.4541359518,7753.66764622379,93646.4420188981
"247","index_hat_t",1997,35123.7226032056,51305.5216607816,7796.06269426636,96686.4596742928
"248","index_hat_t",1998,32712.7333788589,48631.1381686202,7428.11506238902,89240.9642945997
"249","index_hat_t",1999,36268.2054230149,51199.7209330243,8137.11502615398,94576.9225132722
"250","index_hat_t",2000,39343.7075046935,58203.1688255512,8579.73532004175,109567.133065668
"251","index_hat_t",2001,32700.9386293149,47565.3423771836,7265.74490586545,87368.3921167251
"252","index_hat_t",2002,30869.9912175206,45288.4425139261,6669.89537175355,83634.5585474655
"253","index_hat_t",2003,27885.6160596151,41400.797228224,6074.18139162092,74801.4283389972
"254","index_hat_t",2004,28567.2854835493,40523.1806102753,6546.40240847796,73397.8035901636
"255","index_hat_t",2005,38127.1647897497,57577.1215372989,8794.29479815339,101000.908305214
"256","index_hat_t",2006,47740.7445037783,72001.3984043037,11092.1692225534,125665.697824212
"257","index_hat_t",2007,47642.4355129644,71261.0860807274,11175.0358425211,127280.347704504
"258","index_hat_t",2008,49079.6557305552,73069.9146553575,11357.9795948315,132233.093855094
"259","index_hat_t",2009,48829.9188465864,72959.9622478832,11200.0904506706,130668.771175797
"260","index_hat_t",2010,49613.9865378449,71678.237129155,11327.3315415642,133528.79163062
"261","index_hat_t",2011,50480.4093354164,77126.4457700058,11276.463035429,137064.255682689
"262","index_hat_t",2012,37424.4715032001,56053.9855935894,7993.69858224099,98924.4124958962
"263","index_hat_t",2013,27863.1046939375,41993.9762636718,5968.96242803483,76839.504269435
"264","index_hat_t",2014,26105.08737454,39385.3875435452,5716.65242130569,71156.9281036757
"265","index_hat_t",2015,22019.9126381885,31703.9335159681,4823.32975992998,62039.4535470799
"266","index_hat_t",2016,22548.0275612645,32141.8377084051,4486.61569574832,64534.1268484615
"267","index_hat_t",2017,21460.8763897823,28928.3796007715,4483.92165950443,60040.0278385675
"268","index_hat_t",2018,19226.174653793,26066.112686886,4615.50857600915,52873.1835647775
"269","k",1966,43048.4792312152,56946.1230894318,12424.5426773383,110025.664092729
"270","log_b",1966,10.0448455724474,0.739630080264305,9.09583989735011,11.3783001123995
"271","log_b",1967,10.2127999785578,0.78928424542537,9.15966596209441,11.6087763204939
"272","log_b",1968,10.2882654156769,0.803863993665091,9.19166881142511,11.6441777851428
"273","log_b",1969,10.3287081130672,0.807833357662016,9.22263669738583,11.707103804741
"274","log_b",1970,10.349147877274,0.804765986440931,9.26045275393882,11.7463044020269
"275","log_b",1971,10.394306098135,0.805550292451895,9.30624628630206,11.7592500613206
"276","log_b",1972,10.3750407167131,0.818842018649847,9.28485360323967,11.7880932149189
"277","log_b",1973,10.1922563230553,0.830113249261543,9.04054673350183,11.6385446611009
"278","log_b",1974,9.85436764036237,0.817220782256296,8.73345677395797,11.2912888129001
"279","log_b",1975,9.54685758354304,0.819078773592372,8.4090065956896,10.9834773785722
"280","log_b",1976,9.62769011026572,0.815588959736419,8.5226911807029,11.0331044484164
"281","log_b",1977,9.85630902468505,0.816255427972602,8.74476607299039,11.2671516662188
"282","log_b",1978,10.2148505437089,0.813043148003598,9.1131977599886,11.6121543574287
"283","log_b",1979,10.3306999772747,0.825979677050587,9.21349168919307,11.7720143194966
"284","log_b",1980,9.9792560821343,0.82491406158238,8.83008357849659,11.3956924719145
"285","log_b",1981,9.68460618207963,0.840038617467407,8.55151667781669,11.1719265173314
"286","log_b",1982,9.2860699604992,0.826024025586715,8.15760355624259,10.7110662307821
"287","log_b",1983,8.9333978196547,0.824585270042252,7.80591396416267,10.3820500900432
"288","log_b",1984,8.5294256763608,0.818456720284218,7.40857646779264,9.92991267679714
"289","log_b",1985,8.64957176986305,0.807710708709631,7.55496015537928,10.0577131391784
"290","log_b",1986,8.89711772311086,0.799290945104034,7.82596605967975,10.2623252100735
"291","log_b",1987,9.37401781178539,0.801143331374089,8.32694290556136,10.7601455849012
"292","log_b",1988,9.75659932589172,0.798539682153746,8.70849503719091,11.1279060845052
"293","log_b",1989,10.1039829697184,0.808498701240764,9.0483905269757,11.4725218179304
"294","log_b",1990,10.1598526650885,0.814315324791172,9.04931408188988,11.5589764920754
"295","log_b",1991,10.0293501277129,0.820111834344423,8.92419165371099,11.4149204277057
"296","log_b",1992,9.81025469621041,0.812020464645826,8.71479993408284,11.2075966231265
"297","log_b",1993,9.86798162568387,0.803616299393024,8.79579593088261,11.267996400431
"298","log_b",1994,10.0704632165244,0.813553891831985,8.97105133951711,11.478561740443
"299","log_b",1995,9.97895247868346,0.808693087629898,8.88810978986252,11.3747279218327
"300","log_b",1996,10.0413302730637,0.810493560125969,8.95592123345415,11.4472807711524
"301","log_b",1997,10.0524544097316,0.818962047930717,8.9613740323901,11.479227958334
"302","log_b",1998,9.98641846783397,0.807488432113693,8.91302738403411,11.3990953645222
"303","log_b",1999,10.0963795688872,0.810071530863004,9.00419097619505,11.4571670355836
"304","log_b",2000,10.1680161600254,0.818533602689179,9.0571583427905,11.6042919412584
"305","log_b",2001,9.98529650446419,0.816331935509078,8.89092609627045,11.3778884994465
"306","log_b",2002,9.92839553978316,0.814953207512884,8.80535924518411,11.3342096527661
"307","log_b",2003,9.81995251129107,0.81762015933596,8.71180250141597,11.2225920516444
"308","log_b",2004,9.86514962453088,0.797776787855558,8.78667091160525,11.203649084828
"309","log_b",2005,10.1427982898148,0.801280570684435,9.08185843364743,11.5228847874337
"310","log_b",2006,10.3662662227415,0.800351168061536,9.31399465774424,11.7413803909704
"311","log_b",2007,10.3695820516335,0.797994207918706,9.32143718945788,11.7541473934739
"312","log_b",2008,10.3914160466732,0.804859241105123,9.3376749746258,11.7923200277367
"313","log_b",2009,10.3877936747051,0.801896104330848,9.32367711617041,11.7804189294747
"314","log_b",2010,10.4040972699714,0.807040157620882,9.33497380477355,11.802071427665
"315","log_b",2011,10.404484922278,0.821096095552649,9.33047288905398,11.8282049980757
"316","log_b",2012,10.1043327574806,0.825965607847571,8.98640883161782,11.5021098790948
"317","log_b",2013,9.81426481885509,0.824709573926063,8.69432838386715,11.2494726234699
"318","log_b",2014,9.75161053860523,0.817652901103717,8.65113855913935,11.1726422651927
"319","log_b",2015,9.58907140127409,0.817248080017544,8.48121974138312,11.0355191744133
"320","log_b",2016,9.58937004871463,0.848781216480235,8.40885368193867,11.0749494417421
"321","log_b",2017,9.55670176995699,0.832702971982242,8.40825328272799,11.0027664078547
