"","variable","year","mean","sd","lower","upper"
"1","b_t",2006,1054.14982876941,230.51424429908,776.188138685181,1398.11389557632
"2","b_t",2007,883.106584835236,205.830258441642,642.533858278828,1187.24218376883
"3","b_t",2008,719.986625758141,183.867198600188,507.976854018627,981.249484924971
"4","b_t",2009,623.900999473426,159.118296887434,441.036182486137,858.125372943245
"5","b_t",2010,548.524140476487,135.942382438828,389.786117671101,744.338467985988
"6","b_t",2011,512.42326955793,121.810119414838,361.397213480037,703.329654802582
"7","b_t",2012,541.792736850882,135.462678261392,387.598328397148,737.658255099075
"8","b_t",2013,580.933772002327,144.068479283472,417.721169176905,784.345927217734
"9","b_t",2014,595.05896290654,147.832469293891,430.140070437366,802.742998106045
"10","b_t",2015,642.297014217171,154.473234136012,465.615837062075,872.811604902435
"11","b_t",2016,585.988967716255,152.567508749256,404.7084811662,820.627947916412
"12","b_t",2017,540.89167214889,152.548918706198,356.471691386137,785.347659311276
"13","b_t",2018,523.427505250202,157.87542819399,331.948359086311,791.379614217354
"14","bmsy",2006,695.312762699506,130.417464292414,540.358328967218,893.963540659443
"15","ck",2006,0.248560360633195,0.0393265391379641,0.187927137260099,0.310904805668351
"16","ck",2007,0.26261585721662,0.0415503612915989,0.198553969426592,0.328485732179359
"17","ck",2008,0.197516715146021,0.0312505534221322,0.149334957287043,0.247058283075743
"18","ck",2009,0.166446670066872,0.0263347360298867,0.12584406512953,0.208195182367199
"19","ck",2010,0.153870699439597,0.0243450004187397,0.116335846875299,0.192464879699455
"20","ck",2011,0.130198284141197,0.0205996157389336,0.0984380242790993,0.162854898207231
"21","ck",2012,0.136116387965797,0.0215359619088851,0.102912479928149,0.170257393580287
"22","ck",2013,0.155350225395747,0.0245790869612275,0.117454460787562,0.194315503542719
"23","ck",2014,0.151651410505372,0.0239938706050078,0.114657926006905,0.189688943934559
"24","ck",2015,0.194557663233721,0.0307823803371564,0.147097729462518,0.243357035389215
"25","ck",2016,0.181241929628371,0.0286756014547655,0.137030204252155,0.226701420799839
"26","ck",2017,0.157569514329972,0.0249302167749594,0.119132381655955,0.197091439307615
"27","ck",2018,0.0577015122898488,0.00912937515702737,0.0436259425782372,0.0721743298872957
"28","crashed",2006,0,0,0,0
"29","delta",2006,100,0,100,100
"30","dep_t",2006,0.757528176165058,0.0719897626539356,0.651371426331276,0.876849908762009
"31","dep_t",2007,0.633685951620033,0.0648554095485808,0.5371179133245,0.736885604213807
"32","dep_t",2008,0.515320220109483,0.0591787780024122,0.432245311425872,0.616931499781558
"33","dep_t",2009,0.446713862187917,0.052864709688919,0.371633856649152,0.538338970502534
"34","dep_t",2010,0.393115061751427,0.0456696559341642,0.328856879604347,0.470911691611493
"35","dep_t",2011,0.367491602766801,0.0427241995888899,0.306293115559086,0.439256521711046
"36","dep_t",2012,0.388194459658974,0.0453105293754695,0.323900080978759,0.462573049267266
"37","dep_t",2013,0.416602789981438,0.0488736797524346,0.346409757579542,0.499836128896913
"38","dep_t",2014,0.426751240193751,0.0481055055265645,0.358285066302894,0.510860216365361
"39","dep_t",2015,0.46096276094581,0.0528553992422477,0.386470847767617,0.549654655476364
"40","dep_t",2016,0.419857809192071,0.0594340602405511,0.338316927472196,0.518278243535086
"41","dep_t",2017,0.386751023904527,0.063005087955824,0.299063563253756,0.500246557884872
"42","dep_t",2018,0.374135314797106,0.0723527578052871,0.269290895121092,0.503839776436872
"43","growth_t",2006,0.113777389288878,0.0339823733395074,0.058456204574853,0.169101817040574
"44","growth_t",2007,0.144908790214963,0.0297413845743822,0.0976972505737458,0.195525289640271
"45","growth_t",2008,0.156220280671553,0.0274547730504082,0.11419172863121,0.202389064218144
"46","growth_t",2009,0.154779654694012,0.025826477553784,0.115204882741335,0.197271726601799
"47","growth_t",2010,0.149675938111541,0.0246628099278994,0.112061377594457,0.189595347147773
