"","variable","year","mean","sd","lower","upper"
"1","b_t",2002,2659.89414080712,1385.64549384649,1188.13046637499,5170.88870811246
"2","b_t",2003,1007.10767436556,1120.32574382804,164.030303446312,2856.1203772707
"3","b_t",2004,900.999064317726,922.564909592849,147.421819824519,2517.20390427252
"4","b_t",2005,904.245367636722,1038.70804061471,115.431719530992,2662.33125443784
"5","b_t",2006,832.468624436883,1018.1847191212,101.360045622113,2307.26456628582
"6","b_t",2007,716.394380020144,769.462145555162,118.431854702916,2074.03004590786
"7","b_t",2008,717.484427972098,875.346644500008,100.613647374212,2142.66360302566
"8","b_t",2009,777.498684674652,820.561286776564,118.03983883794,2233.91714474343
"9","b_t",2010,1285.5001196944,1232.90035247796,248.109878109089,3460.24870413719
"10","b_t",2011,3240.48873768736,2648.27150255007,710.846328813777,7657.19134888145
"11","b_t",2012,4050.63344179479,2932.83881358576,1083.27703922001,9867.60695023805
"12","b_t",2013,4209.32421316925,2994.11469082219,1130.16136515512,9712.89596747954
"13","b_t",2014,4154.85157975915,2938.36030342055,1159.19044827973,9744.24073435716
"14","b_t",2015,4170.63804785935,3055.71785194305,1083.35080569822,9517.80122467498
"15","b_t",2016,2641.03314074618,2218.85321671264,607.542256313113,6619.09582052318
"16","b_t",2017,2178.27529165582,2091.5785264583,512.050402448603,5755.42884174277
"17","b_t",2018,1296.60607404089,740.464518488071,520.566146047715,2687.2537460139
"18","bmsy",2002,1845.81602271601,921.330249171927,851.156081180272,3516.59032274023
"19","ck",2002,0.000330276039939297,0.000141068310816368,0.000142183223050242,0.000587436344952243
"20","ck",2003,0.00264220831951438,0.00112854648653094,0.00113746578440194,0.00469949075961794
"21","ck",2004,0.00429358851921086,0.00183388804061278,0.00184838189965315,0.00763667248437916
"22","ck",2005,0.00528441663902875,0.00225709297306189,0.00227493156880387,0.00939898151923589
"23","ck",2006,0.00528441663902875,0.00225709297306189,0.00227493156880387,0.00939898151923589
"24","ck",2007,0.00462386455915016,0.00197495635142915,0.00199056512270339,0.0082241088293314
"25","ck",2008,0.00396331247927157,0.00169281972979642,0.00170619867660291,0.00704923613942691
"26","ck",2009,0.00330276039939297,0.00141068310816368,0.00142183223050242,0.00587436344952243
"27","ck",2010,0.00726607287866454,0.0031035028379601,0.00312803090710533,0.0129235995889493
"28","ck",2011,0.0819084579049457,0.0349849410824593,0.0352614393164601,0.145684213548156
"29","ck",2012,0.108991093179968,0.0465525425694015,0.0469204636065799,0.19385399383424
"30","ck",2013,0.128477379536387,0.0548755729075672,0.0553092737665442,0.228512738186422
"31","ck",2014,0.114936061898875,0.0490917721640961,0.0494797616214843,0.20442784804338
"32","ck",2015,0.147303113812927,0.0629164666241002,0.063413717480408,0.2619966098487
"33","ck",2016,0.138385660734565,0.0591076222320582,0.0595747704580515,0.24613582853499
"34","ck",2017,0.119559926458026,0.0510667285155252,0.0514703267441877,0.212651956872712
"35","ck",2018,0.0987525359418498,0.042179424934094,0.0425127836920224,0.175643467140721
"36","crashed",2002,0,0,0,0
"37","delta",2002,100,0,100,100
"38","dep_t",2002,0.717517624881015,0.0712149039599926,0.611097459408069,0.832203582749975
"39","dep_t",2003,0.270595264099754,0.237401548386047,0.0666864566201306,0.659668520282416
"40","dep_t",2004,0.253789813668902,0.233569882436184,0.0559494041732356,0.669123929642752
"41","dep_t",2005,0.247187504469664,0.236129594397602,0.040727676653679,0.65031919997187
"42","dep_t",2006,0.230225027311027,0.239870283580471,0.0364603211760899,0.636844617271493
"43","dep_t",2007,0.198653628352039,0.189958697641233,0.0383757520238723,0.518798078661384
