"","variable","year","mean","sd","lower","upper"
"1","b_t",1968,128226.294284663,259645.27582157,34994.1004834704,387079.047384156
"2","b_t",1969,130658.708669791,280076.816142913,31451.0584372058,401996.544060583
"3","b_t",1970,152340.047755595,326845.095103554,35624.8552879667,473308.084032562
"4","b_t",1971,169496.212545061,364527.153244817,39371.4991506936,550515.06812749
"5","b_t",1972,196857.023871777,438264.400713512,45224.3716718424,581978.132361987
"6","b_t",1973,222682.087200963,533544.536837028,50361.6814549503,694058.720868774
"7","b_t",1974,215124.855989785,487474.982102525,49071.0043347,682845.148618415
"8","b_t",1975,190949.435716875,387893.245368983,44275.1798990863,603062.548169948
"9","b_t",1976,180406.227208942,359380.316308729,41741.2567830257,574317.342801615
"10","b_t",1977,181496.943031315,383544.678428786,41225.0117982723,571329.403705482
"11","b_t",1978,166573.297988055,361882.389935287,37716.5938380857,515103.850774666
"12","b_t",1979,167242.869093638,379096.159018887,37780.9669446897,509668.547914853
"13","b_t",1980,163472.575398658,360324.676929513,38131.1274021352,493599.806976062
"14","b_t",1981,155120.57684552,333994.354241724,36365.7619859266,497031.998855474
"15","b_t",1982,175660.971775878,372681.130835607,42015.1751827307,542075.745921561
"16","b_t",1983,194211.824510789,410271.31307978,46746.7566319897,600854.454960682
"17","b_t",1984,217886.203246302,462209.240921952,51549.8180083585,693476.263437475
"18","b_t",1985,245882.026909813,589859.655525974,57559.4021613281,797122.814990145
"19","b_t",1986,251723.390709844,532897.761400276,60566.5800776089,804799.684299317
"20","b_t",1987,254729.786879825,583766.837952718,59646.6537130444,810076.373941198
"21","b_t",1988,240845.667108547,544398.663025061,56245.094253205,727579.194987397
"22","b_t",1989,226520.297783881,516090.440759349,52723.5510499586,724037.829370135
"23","b_t",1990,227503.886812141,516339.103792671,54048.4560480551,743299.167087307
"24","b_t",1991,221780.402280132,463631.652541376,53332.0903487174,689568.870544522
"25","b_t",1992,241459.509542312,496150.073984128,57968.600093892,805189.113921419
"26","b_t",1993,218066.665267214,474181.329334508,50961.2010439738,701125.064468599
"27","b_t",1994,199468.446820553,429540.066411184,46441.1434497584,627617.64299532
"28","b_t",1995,182797.514777782,408140.974272019,43510.8183885825,579171.82090212
"29","b_t",1996,168410.140078624,342988.702883627,39541.6545776636,535120.981553106
"30","b_t",1997,152403.948755041,323166.724388196,34822.6991925079,486478.689067029
"31","b_t",1998,131986.537944918,273436.890662196,30145.4882810139,436347.362790187
"32","b_t",1999,119411.809260996,265073.738849919,27504.9527312561,381143.43381019
"33","b_t",2000,107974.510535406,243884.829587721,24550.0229283114,353365.7968256
"34","b_t",2001,100789.34074426,214978.907304788,23606.9956026517,333038.100414391
"35","b_t",2002,104809.167503758,217824.110485514,24124.1758843201,327738.233069862
"36","b_t",2003,104703.128561007,230587.48335083,24495.6179754537,334177.329376143
"37","b_t",2004,104297.083041066,223686.74904503,24212.0810022,333162.035995892
"38","b_t",2005,95870.7451604801,214737.512343913,21703.4622380691,309276.765592393
"39","b_t",2006,93112.2253809776,200722.200011133,21565.6395354993,306200.304124945
"40","b_t",2007,77687.5939528946,156035.217470995,18691.6319165548,255102.98568959
"41","b_t",2008,74353.9357713067,152241.149875242,17702.2128330993,236524.914648812
"42","b_t",2009,72709.5780061626,164182.267191554,17373.2097565551,237038.05699043
"43","b_t",2010,70197.6862514428,161710.264577753,16483.6992014089,221130.751986558
"44","b_t",2011,70466.135626668,156467.051947369,16641.4071686719,215244.49903681
"45","b_t",2012,65839.8743893354,151028.521590644,15312.4820975677,208133.522576694
"46","b_t",2013,56240.7644177906,123543.858151215,13004.8304091134,178851.502038827
"47","b_t",2014,50605.0920883331,109297.1699001,11887.5769091048,151619.33613788
"48","b_t",2015,38409.2134662017,85129.9874564619,8920.23008433315,116539.064381964
