"","variable","year","mean","sd","lower","upper"
"1","b_t",2001,340.073400992735,247.489158238903,113.48869546593,794.332287574911
"2","b_t",2002,231.885663592109,237.696679543964,58.8443126930327,570.018786281783
"3","b_t",2003,402.792880604591,361.938738869655,90.6437605704165,1044.8726941141
"4","b_t",2004,519.59736688519,547.977860577656,99.6498022690962,1378.10229611254
"5","b_t",2005,212.75045423119,214.637336906266,43.8637006998253,559.041289242579
"6","b_t",2006,118.389640047904,119.720227363206,24.0549278146014,326.475006957481
"7","b_t",2007,83.2864296637096,90.5070140405745,17.7559094408221,223.56605109429
"8","b_t",2008,128.276589489744,134.066337348529,29.6068689238013,341.21547663417
"9","b_t",2009,140.976378115573,141.646354065405,29.5130058998241,370.540744599391
"10","b_t",2010,248.265051497552,247.895695266839,58.2269775848529,652.090769735034
"11","b_t",2011,465.709034569647,460.725817384294,114.380736276991,1162.59294926041
"12","b_t",2012,556.481316991971,481.737389125781,141.291494695241,1400.52066181929
"13","b_t",2013,831.701599694162,694.664012433235,214.160340531845,1982.29302571144
"14","b_t",2014,642.660234651099,600.374282539362,155.042867718083,1637.03038820808
"15","b_t",2015,597.745705939118,543.183459388983,130.231108698834,1512.45944538499
"16","b_t",2016,436.693799557653,500.170209018814,84.6119066219496,1207.69244234269
"17","b_t",2017,303.499751230103,344.414671424023,68.3335815080737,861.525022274466
"18","b_t",2018,177.744868335249,145.819945703238,50.4228131927491,435.140274646364
"19","bmsy",2001,235.567044911108,174.081626485079,81.4467761082498,531.546981472858
"20","ck",2001,0.00908000922448188,0.00521243915712243,0.00282195346669289,0.0184169357476669
"21","ck",2002,0.00605333948298792,0.00347495943808162,0.00188130231112859,0.0122779571651113
"22","ck",2003,0.0363200368979275,0.0208497566284897,0.0112878138667716,0.0736677429906676
"23","ck",2004,0.0575067250883852,0.0330121146617754,0.0178723719557216,0.116640593068557
"24","ck",2005,0.0121066789659758,0.00694991887616324,0.00376260462225719,0.0245559143302225
"25","ck",2006,0.00605333948298792,0.00347495943808162,0.00188130231112859,0.0122779571651113
"26","ck",2007,0.00302666974149396,0.00173747971904081,0.000940651155564297,0.00613897858255564
"27","ck",2008,0.0121066789659758,0.00694991887616324,0.00376260462225719,0.0245559143302225
"28","ck",2009,0.00605333948298792,0.00347495943808162,0.00188130231112859,0.0122779571651113
"29","ck",2010,0.0181600184489638,0.0104248783142449,0.00564390693338578,0.0368338714953338
"30","ck",2011,0.0544800553468913,0.0312746349427346,0.0169317208001574,0.110501614486001
"31","ck",2012,0.0423733763809154,0.0243247160665714,0.0131691161779002,0.0859457001557789
"32","ck",2013,0.178573514748144,0.102511303423408,0.0554984181782935,0.362199736370783
"33","ck",2014,0.0665867343128671,0.0382245538188978,0.0206943254224145,0.135057528816224
"34","ck",2015,0.0665867343128671,0.0382245538188978,0.0206943254224145,0.135057528816224
"35","ck",2016,0.0575067250883852,0.0330121146617754,0.0178723719557216,0.116640593068557
"36","ck",2017,0.0908000922448188,0.0521243915712243,0.0282195346669289,0.184169357476669
"37","ck",2018,0.075666743537349,0.0434369929760203,0.0235162788891074,0.153474464563891
"38","crashed",2001,0,0,0,0
"39","delta",2001,100,0,100,100
"40","dep_t",2001,0.725275228789021,0.0723733360637746,0.614482974450382,0.847020903370358
"41","dep_t",2002,0.493352052881062,0.221620771504156,0.227200122972158,0.880016831918356
"42","dep_t",2003,0.868807964055861,0.432644888955141,0.333938280988368,1.67773819860646
"43","dep_t",2004,1.10533256032196,0.655185695115843,0.368676423519537,2.41902040843902
"44","dep_t",2005,0.445854924610984,0.24236176357521,0.168893944801128,0.876585498475947
"45","dep_t",2006,0.250298765598919,0.145225936070431,0.0924438917346021,0.504897051168522
"46","dep_t",2007,0.17635302181343,0.101416595906776,0.0664849455684126,0.375159326310413
"47","dep_t",2008,0.272657519844568,0.154573416734963,0.108588983173485,0.537701537944062
"48","dep_t",2009,0.299968218075149,0.160525648935437,0.114732736502674,0.575305567667698
"49","dep_t",2010,0.527137363041233,0.269030095468136,0.211855148122222,0.980127997356681
"50","dep_t",2011,0.991125095196033,0.459506344722768,0.401401426002863,1.85597239198076
"51","dep_t",2012,1.18061264468137,0.474014217228292,0.525359928580775,2.01342250986599
"52","dep_t",2013,1.77149982782,0.595262206156867,0.920279313422772,2.78487234629787
"53","dep_t",2014,1.34222734022721,0.550229877657024,0.637743140423943,2.36479365989094
"54","dep_t",2015,1.27147830273446,0.594754613259211,0.507333865712861,2.40321142799957
"55","dep_t",2016,0.922049962945644,0.580112174419358,0.300664935955284,2.08900897328456
"56","dep_t",2017,0.648108805076702,0.438522680985225,0.247382395518406,1.41740814731392
"57","dep_t",2018,0.373477872059227,0.102484618790138,0.235453016761049,0.554364013511488
