"","variable","year","mean","sd","lower","upper"
"1","b_t",1959,91653.8321144577,227242.793208675,7184.31534139415,300212.612134386
"2","b_t",1960,92250.3541991847,220761.123341851,6112.09280673806,316538.314807637
"3","b_t",1961,79435.7168395751,200920.388715867,5781.88144580479,284708.706606191
"4","b_t",1962,121766.827393028,282794.952489341,8523.03840447903,416456.003980862
"5","b_t",1963,143460.740553768,373578.383831814,9997.81661878352,512376.833169827
"6","b_t",1964,160865.215080322,420131.820320851,11815.3681559097,553221.897702856
"7","b_t",1965,118557.791281878,280939.858003611,7979.9534646656,421694.347028529
"8","b_t",1966,70267.8190059719,183747.476175608,5242.05916679452,246781.170387143
"9","b_t",1967,183143.560886803,504302.188044083,13458.5675748157,629492.229811301
"10","b_t",1968,211674.485674287,540219.587225055,15009.7956300969,748324.353678173
"11","b_t",1969,199095.509003556,547295.5700326,13537.2743250523,691682.819497632
"12","b_t",1970,167745.257533741,470993.740395988,11200.9575352654,577949.971356717
"13","b_t",1971,85857.5937388515,228777.711663635,5572.12225460866,303007.01150048
"14","b_t",1972,60057.6867985434,170206.469351819,3876.36947137536,202368.502773619
"15","b_t",1973,43834.6139249609,123605.177279841,2865.59868299148,149192.548223541
"16","b_t",1974,40894.647443668,97188.2551325219,3040.63332255357,140699.757745528
"17","b_t",1975,40435.5053650957,97678.7518609998,3037.27466524946,138842.526565202
"18","b_t",1976,49114.6165013167,133267.53683613,3507.60932207705,165372.407351235
"19","b_t",1977,58310.3834775434,147193.788072275,4286.45649625922,215111.894224805
"20","b_t",1978,55056.2250419428,148829.890419322,3791.75271256113,192801.208532278
"21","b_t",1979,84230.3547727503,212839.71178366,5294.94742514904,287189.40905408
"22","b_t",1980,98012.1177835061,287231.569961293,6475.86537568096,322437.549637517
"23","b_t",1981,91550.3940640233,274803.72690892,6616.26646619753,317607.31334689
"24","b_t",1982,81596.8051687782,240947.532682001,5816.54499224217,287318.761595037
"25","b_t",1983,80628.4809226038,237046.075475018,5188.03355018226,262053.852784322
"26","b_t",1984,57446.9609758466,150408.809677033,4096.66183838401,192329.586548512
"27","b_t",1985,59043.7927242489,140771.635398017,4116.32447175828,218535.247898688
"28","b_t",1986,61545.941886543,157425.424071122,4178.09443858789,217663.615489857
"29","b_t",1987,55456.1277594412,138085.103914494,4102.22331543808,191664.718800753
"30","b_t",1988,63753.2465030832,181845.147530737,4396.25002195119,216566.869924545
"31","b_t",1989,62609.4518029524,167484.201071494,4579.73462555592,216328.18879593
"32","b_t",1990,65970.1879804133,160411.30888323,5026.59837921143,226631.099337415
"33","b_t",1991,62892.17726293,174281.545108302,4891.63396946909,202125.370378331
"34","b_t",1992,79719.0605387833,213894.884966641,5937.65386615322,267131.156376027
"35","b_t",1993,73613.8508867234,188111.521125759,5165.72071972375,258758.894145494
"36","b_t",1994,65467.2490709389,213729.719579095,4039.64721073188,222747.166714585
"37","b_t",1995,32767.4559336259,120898.339232226,2129.38227132921,106329.996663667
"38","b_t",1996,23480.0690783563,67379.4471329354,1741.28195964521,81744.3897045279
"39","b_t",1997,20938.4614384815,58893.6877214803,1570.92360380297,70552.1601552495
"40","b_t",1998,23911.0664196796,84722.2720667703,1722.53459277294,81833.5406792316
"41","b_t",1999,22833.4196166735,64357.8338564812,1484.14631159948,78362.3382102447
"42","b_t",2000,18216.4036995812,52724.463768772,1280.01296713373,60943.5608679281
"43","b_t",2001,16204.1965644347,41094.9176364545,1294.25879788351,56937.2180701405
"44","b_t",2002,17706.6159587526,47043.5097160307,1374.22071220875,61274.906176441
"45","b_t",2003,15789.2590660851,40104.0035113042,1336.33216459904,54540.7399794525
"46","b_t",2004,13001.1682503586,32767.9910957925,902.837473852908,44084.9381754679
"47","b_t",2005,11811.2382596648,28998.8114738912,877.712596553384,40772.2842375201
"48","b_t",2006,9548.74776355668,29795.5846429224,657.874587528672,31896.4894718564
"49","b_t",2007,6936.43149716019,19308.6072560975,534.305310714773,23856.4008671254
"50","b_t",2008,7089.91865345685,18910.6412982356,530.983074793141,24574.0627066145
"51","b_t",2009,7678.92216326712,22513.7580559127,529.381806600288,25661.371550014
"52","b_t",2010,7949.03019737097,19797.1877230157,566.893539573363,28167.3127302733
"53","b_t",2011,6553.05527801832,15754.4365501691,515.209987304308,22658.7372568913
"54","b_t",2012,5623.31952603451,15451.3306282901,404.731725113225,19162.7657369575
"55","b_t",2013,6765.36143048162,20809.1345724679,491.310993450475,22563.3889245983
"56","b_t",2014,11114.4655945264,38133.8684239506,810.540347525042,36161.663349304
"57","b_t",2015,16820.7286676052,53578.2684581279,1182.12564402966,54253.8645393075
"58","b_t",2016,22664.6922700724,59246.7391524854,1445.9827142128,77391.9151764526
"59","b_t",2017,31184.6189520476,84485.9754038012,1907.76768673288,108728.952756855
"60","b_t",2018,40945.7913463606,103858.965072313,2692.41029928327,135874.151745616
"61","bmsy",1959,60305.9491577384,150896.919063721,4836.36381411613,201177.840115879
"62","ck",1959,0.0144112760309038,0.0134369530794598,0.000994145371629168,0.0413534692390583
"63","ck",1960,0.0144112760309038,0.0134369530794598,0.000994145371629168,0.0413534692390583
"64","ck",1961,0.0108084570231779,0.0100777148095948,0.000745609028721876,0.0310151019292938
"65","ck",1962,0.0180140950386298,0.0167961913493247,0.00124268171453646,0.0516918365488229
"66","ck",1963,0.0180140950386298,0.0167961913493247,0.00124268171453646,0.0516918365488229
"67","ck",1964,0.0252197330540817,0.0235146678890546,0.00173975440035104,0.0723685711683521
"68","ck",1965,0.0216169140463557,0.0201554296191896,0.00149121805744375,0.0620302038585875
"69","ck",1966,0.00360281900772595,0.00335923826986494,0.000248536342907292,0.0103383673097646
"70","ck",1967,0.0612479231313412,0.0571070505877039,0.00422511782942396,0.175752244265998
"71","ck",1968,0.0540422851158893,0.0503885740479741,0.00372804514360938,0.155075509646469
"72","ck",1969,0.0396310090849855,0.0369516209685143,0.00273389977198021,0.11372204040741
"73","ck",1970,0.0324253710695336,0.0302331444287844,0.00223682708616563,0.0930453057878813
"74","ck",1971,0.0108084570231779,0.0100777148095948,0.000745609028721876,0.0310151019292938
"75","ck",1972,0.0072056380154519,0.00671847653972988,0.000497072685814584,0.0206767346195292
