"","variable","year","mean","sd","lower","upper"
"1","b_t",1975,14423.1296743455,9394.50785488107,5132.19753784536,31300.0278840253
"2","b_t",1976,1322.50925283874,1203.51460343033,310.106347775096,3279.23635072712
"3","b_t",1977,1321.77078883649,1148.76151499731,298.921420708377,3440.70500647192
"4","b_t",1978,2173.07434583322,2135.10664201418,471.969542326156,5693.66670017738
"5","b_t",1979,1540.75910744989,1453.01614254107,314.961247035603,4129.71445366296
"6","b_t",1980,1696.18673794986,1522.1506394525,375.127690287237,4301.27191417818
"7","b_t",1981,3601.28612303464,3089.70731787857,791.868233108176,9232.37662799687
"8","b_t",1982,6399.94906464944,5918.79899416657,1390.02965271581,16627.1818972766
"9","b_t",1983,8127.58059248345,7575.26837229714,1628.08387243682,21907.7352674747
"10","b_t",1984,8705.28783812362,7930.98501401388,1827.12878846068,23241.7693458767
"11","b_t",1985,10545.9091530913,9761.8900887499,2190.71522384453,27835.9504802447
"12","b_t",1986,11391.1575858391,9944.42769470187,2342.67541594515,28542.3187743005
"13","b_t",1987,15434.0640498026,16095.9423669038,3330.39764735863,39851.4291528453
"14","b_t",1988,16964.4342547064,15165.529983801,3502.37947313981,44102.3022695634
"15","b_t",1989,13826.6565515756,12188.0198282395,3047.83635666533,34499.6220453997
"16","b_t",1990,13745.214353497,12691.39713915,2948.69643210802,35852.962842657
"17","b_t",1991,14843.341899372,12651.7382564204,3304.77716918124,37795.2526049596
"18","b_t",1992,17553.8086978482,15274.820357386,4112.07627800719,43743.7211639709
"19","b_t",1993,18453.3978451947,16892.836318694,4139.80980719825,49078.6622629415
"20","b_t",1994,20865.647098697,19285.7626678871,4581.06486983059,53118.4522814537
"21","b_t",1995,21628.2724081885,19469.040545516,4889.82119250883,56036.2744510779
"22","b_t",1996,21675.7642081758,17968.5681208341,5187.56556148987,53381.3459767898
"23","b_t",1997,21472.2791740133,19288.6169355112,4521.2707417865,56000.4603286071
"24","b_t",1998,21668.0684925105,18862.9486340575,4894.52247129008,56663.6124105042
"25","b_t",1999,20065.2692306907,18128.8107467839,4770.9412958668,49627.068289401
"26","b_t",2000,20234.8090871134,17638.1122419668,4548.80396160161,49348.3888264507
"27","b_t",2001,21289.2061364766,17685.4462120725,5101.35471552741,52805.677621532
"28","b_t",2002,19497.5718483288,16662.4954981461,4528.56973206383,47162.0192822925
"29","b_t",2003,18189.7203516363,15571.8955828199,4192.89841098644,44321.2960972814
"30","b_t",2004,18823.2413399093,15925.1985384999,4309.50514758254,45404.3501466461
"31","b_t",2005,24467.5331861821,20769.1429001645,5872.25149082813,59155.0798115308
"32","b_t",2006,27734.5558638441,23139.7253895307,6729.74643167425,64439.5086451986
"33","b_t",2007,26196.115052747,20134.7984963166,6785.4832457211,60607.8972612545
"34","b_t",2008,28161.3540401754,24090.9300493818,7316.08170541319,69542.9919118008
"35","b_t",2009,29952.6793308965,24076.9951627843,7240.7858967204,71778.9028871332
"36","b_t",2010,25478.8510450082,19732.1390382854,6617.68437382628,60623.592343795
"37","b_t",2011,25842.5916048722,21186.8503789299,6382.91780428088,65253.2588315983
"38","b_t",2012,24580.5546383547,21328.6187982425,6092.06095482457,60712.4498441508
"39","b_t",2013,24407.25786499,20124.0922916736,5898.89595739509,59528.9713425279
"40","b_t",2014,24280.72707262,19916.4278565161,5908.50655914431,60472.8599036723
"41","b_t",2015,23118.1289073357,19927.5475790876,4756.56830767365,58586.2836736586
"42","b_t",2016,16890.947272997,18510.3564319399,2961.51348187949,46371.0001404874
"43","b_t",2017,13823.9590453244,15341.4841430572,2436.67823589306,43374.5541795165
"44","b_t",2018,7721.78965568135,5306.41367411939,2464.06165163928,17407.4896318958
"45","bmsy",1975,10588.7763892995,6670.51163325409,3796.64392845741,22467.6484844296
"46","ck",1975,0.00025376975739183,0.000137702321204508,8.90168852550014e-05,0.000526781409483563
"47","ck",1976,6.34424393479574e-05,3.4425580301127e-05,2.22542213137504e-05,0.000131695352370891
"48","ck",1977,0.000380654636087745,0.000206553481806762,0.000133525327882502,0.000790172114225345
"49","ck",1978,0.00272802489196217,0.00148029995294846,0.000956931516491266,0.00566290015194831
"50","ck",1979,0.000507539514783659,0.000275404642409016,0.000178033770510003,0.00105356281896713
"51","ck",1980,0.000444097075435702,0.000240979062107889,0.000155779549196253,0.000921867466596236
"52","ck",1981,0.00304523708870196,0.0016524278544541,0.00106820262306002,0.00632137691380276
"53","ck",1982,0.00577326198066413,0.00313272780740256,0.00202513413955128,0.0119842770657511
"54","ck",1983,0.00716899564631919,0.00389009057402735,0.00251472700845379,0.0148815748179107
"55","ck",1984,0.00704211076762328,0.0038212394134251,0.00247021856582629,0.0146181841131689
"56","ck",1985,0.0100239054169773,0.00543924168757806,0.00351616696757256,0.0208078656746008
"57","ck",1986,0.00951636590219362,0.00516383704516905,0.00333813319706255,0.0197543028556336
"58","ck",1987,0.0182714225322117,0.00991456712672457,0.0064092157383601,0.0379282614828166
"59","ck",1988,0.0281050006311451,0.0152505320733993,0.00985862004199141,0.0583410411003046
"60","ck",1989,0.0129422576269833,0.00702281838142991,0.00453986114800507,0.0268658518836617
